acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-4.12,-8.05,-1.06,-0.08,-0.87,0.07,FALL
-3.15,-8.33,-0.52,-0.14,-0.93,0.21,FALL
-4.62,-8.34,-1.16,-0.15,-1,0.12,FALL
-4.9,-8.38,-0.58,-0.16,-0.84,0.23,FALL
-6.89,-10.58,-0.81,-0.18,-0.92,0.1,FALL
-8.03,-4.84,-0.44,-0.49,-1.1,0.18,FALL
-8.52,-5.32,-0.81,-0.44,-0.2,1.26,FALL
-14.03,-6.85,2.37,-0.44,0.23,1.7,FALL
-26.69,-11.7,4.92,-0.06,-0.06,3.78,FALL
-22.97,-21.57,1.5,0.4,1.04,6.13,FALL
-19.3,-17.27,0.96,0.08,-0.71,6.78,FALL
-4.91,-10.71,-3.06,-0.26,-1.04,6.04,FALL
-4.38,-5.13,-4.67,0.16,-4.44,6.23,FALL
-2.72,-8.06,-2.36,0.44,-2.34,4.94,FALL
-0.4,-6.55,-4.21,2.83,-0.13,5.37,FALL
1.14,-4.17,-3.62,2.35,-0.09,2.85,FALL
2.98,-5.83,-4.85,3.55,3.79,1.97,FALL
2.48,-1.54,-3.78,1.91,2.09,-0.71,FALL
0.64,1.64,-4.88,1.16,3.26,-1.39,FALL
-1.39,6.42,-2.83,-0.15,4.07,-3.24,FALL
-10.36,6.9,1.52,1.9,5.36,-3.26,FALL
-16.18,5.32,-12.45,2.31,4.24,-3.36,FALL
-4.4,5.21,-11.7,1.03,1.56,-0.95,FALL
-7.97,7.56,-12.95,1.97,1.91,-0.76,FALL
-12.51,-6.08,-18.24,6.45,-3.19,-5.69,FALL
-7.14,-3.61,-23.22,-1.09,0.47,-0.51,FALL
-6.12,2.58,-16.49,-0.19,0.21,-1.49,FALL
-6.96,2.84,-2.23,-0.09,0.45,-0.37,FALL
-3.13,2.96,-9.97,0.35,2.17,-0.09,FALL
-0.93,2.25,-11.36,0.41,0.99,0.24,FALL
-1.93,-1.47,-11.23,-0.05,-0.25,-0.43,FALL
-1.01,1.05,-10.87,-0.21,-0.3,-0.05,FALL
-0.8,1.26,-9.49,-0.3,-0.6,0.19,FALL
-2.34,1.1,-9.96,-0.08,-0.06,-0.28,FALL
-2.06,0.67,-9.88,-0.31,0.07,-0.42,FALL
-1.53,0.12,-9.45,-0.37,0.13,0.08,FALL
-1.87,2.6,-10.11,-1.11,0.35,-0.36,FALL
-3.55,-0.5,-11.23,-1.07,0.66,0.04,FALL
-4.69,-2.77,-7.25,-0.7,-0.45,0.22,FALL
-4.71,-11.09,-10.81,1.77,-1.46,2.59,FALL
4.94,-16.81,-21.01,1.6,0.26,-0.19,FALL
-2.45,-8.29,-10.76,-2.03,-2.92,-0.86,FALL
-4.89,-3.56,-7.92,0.4,-1.12,-1.32,FALL
-7.79,-0.92,-9.66,1.13,1.24,-0.39,FALL
-6.69,-0.28,-8.65,2.63,-0.64,-1.41,FALL
-6.16,-0.89,-13.05,3.19,-1.88,-0.58,FALL
-12.05,0.82,-13.45,0.53,-3,-1.41,FALL
-7.49,0.41,-7.59,1.08,-1,0.13,FALL
-4.38,-0.25,-9.6,1.5,0.96,0.67,FALL
-3.52,-2.22,-7.81,0.62,-0.22,0.7,FALL
-6.81,-2.49,-7.03,0.96,-0.56,0.73,FALL
