acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-5.72,-6.61,2.34,0.16,-1.34,-0.18,FALL
-9.31,-6.64,1.53,-0.39,-0.95,0.38,FALL
-9.8,-6.8,1.82,-0.08,-0.38,1.31,FALL
-14.89,-7.37,2.97,-0.95,-0.82,2.56,FALL
-18.4,-8.82,1.87,-1.5,-0.38,3.92,FALL
-19.31,-8.19,8.02,-0.33,-1.94,5.51,FALL
-18.77,-10.33,-3.19,1.62,0.42,4.86,FALL
-10.34,-9.66,-7.14,1.66,-2.95,5.34,FALL
-5.47,-7.35,-7.25,2.31,-2.06,4.49,FALL
-1.28,-3.81,-11.63,1.09,0.14,3.41,FALL
1.46,-5.07,-13.69,1.26,1.54,2.66,FALL
-2.46,-5.91,-9.13,-1.37,-2.2,2.8,FALL
-0.85,-6.29,-0.63,-1.74,-2.51,1.3,FALL
9.6,-15.88,-2.01,0.1,5.91,1.11,FALL
-10.69,-5.85,18.83,-1.64,-3.04,-2.67,FALL
-15.75,-9.6,38.92,-0.8,0.02,-6.38,FALL
-18.17,0.25,20.89,-4.79,1.97,-1.98,FALL
-9.37,33.76,24.5,0.83,4.07,-1.69,FALL
-30.62,-3.24,-9.03,0.67,-1.68,-0.43,FALL
-7.52,5.15,10.23,-0.69,-0.74,-0.55,FALL
-10.14,3.53,3.01,0.46,-2.78,-0.33,FALL
-0.55,2.5,11.59,0.28,-1.48,0.01,FALL
-9.17,3.47,2.45,0.21,-0.95,0,FALL
1.04,4.36,1.96,0.31,0.01,0.21,FALL
-11.62,2.77,12.98,-0.23,2.74,-1.06,FALL
-6.7,3.76,12.96,0.21,-1.85,0.89,FALL
-3.21,6.85,5.43,-0.31,-0.01,-0.27,FALL
-7.3,3.15,4.89,-0.48,-1.13,0.05,LYI
-4.41,3.45,7.03,-0.13,-0.31,0.05,LYI
-5.95,4.05,6.4,-0.2,0.33,-0.03,LYI
-5.58,3.73,6.62,-0.07,-0.57,0.22,LYI
-4.5,3.96,7.52,-0.05,-0.19,-0.01,LYI
-5.21,4.01,6.54,-0.06,0.05,-0.07,LYI
-5.29,3.96,6.79,-0.08,0,-0.02,LYI
-5.44,3.9,6.94,-0.12,0,-0.02,LYI
-5.32,3.83,6.99,-0.03,-0.27,0.03,LYI
-4.87,4.12,6.81,-0.01,-0.2,0.06,LYI
-4.99,4.14,6.96,-0.05,-0.19,0.02,LYI
-4.67,4.11,6.99,-0.07,0.01,-0.02,LYI
-5.18,4.19,7.11,-0.06,-0.12,-0.01,LYI
-4.67,4.2,7.24,-0.06,-0.07,0,LYI
-5.25,4.07,7.33,-0.05,-0.15,0.02,LYI
-4.67,4.23,6.89,-0.06,-0.08,0,LYI
-4.71,4.16,7.34,-0.02,-0.2,0.05,LYI
-4.79,4.29,6.99,-0.05,-0.08,0.01,LYI
-4.46,4.23,7.24,-0.05,-0.14,0.04,LYI
-4.83,4.33,7.16,-0.07,-0.05,0,LYI
-4.46,4.24,7.31,-0.04,-0.19,0.04,LYI
-4.48,4.38,7.24,-0.06,-0.11,0.01,LYI
-4.32,4.33,7.19,-0.09,0.01,-0.02,LYI
-4.51,4.3,7.31,-0.09,-0.02,-0.01,LYI
