acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-9.97,3.21,-2.48,-2.29,0.47,2.18,JOG
-0.9,1.39,0.87,-1.47,0.66,0.86,JOG
-1.47,-1.64,1.39,-0.27,0.35,-0.19,JOG
0.47,-4.08,1.1,-0.04,0.45,-0.17,JOG
-0.22,-3.91,0.57,-0.25,-0.58,-0.29,JOG
-3.85,-0.89,2.74,0.05,-0.74,-0.62,JOG
-12.08,8.07,-0.83,0.58,-0.92,-1.11,JOG
-28.43,12.12,-4.85,0.89,-2.1,-2.1,JOG
-15.24,12.37,-2.47,0.82,0.18,-0.81,JOG
-5.56,10.15,-3.27,0.96,0.15,-0.43,JOG
-2.05,5.6,-4.28,0.86,0.67,0.03,JOG
0.55,3.34,-4.76,0.13,0.97,0.71,JOG
-0.95,3.63,-5.85,-1.01,0.45,1.28,JOG
-9.11,11.75,-5.95,-1.2,1.86,1.93,JOG
-15.63,13.28,-10.91,-1.2,1.27,1.4,JOG
-13.3,7.57,-4.48,-1.28,0.79,1.25,JOG
-2.63,1.49,-0.01,-0.86,1.35,0.01,JOG
-2.42,-2.52,1.98,-0.39,-1.02,-0.8,JOG
-3.64,-5,2.19,0.05,-0.28,-0.69,JOG
-2.03,-3.82,0.37,0.31,-1.3,-0.5,JOG
-8.56,1.72,0.82,0.49,-0.99,-1.07,JOG
-23.79,11.2,-4.91,0.99,-1.81,-2.66,JOG
-20.39,13.13,-4.9,0.95,-1.35,-1.22,JOG
-7.73,10.86,-3.88,1.17,0.13,-1.12,JOG
-2.71,7.35,-5.58,1.02,0.19,-0.49,JOG
-0.81,4.55,-5.96,-0.63,0.18,0.31,JOG
-0.18,4.47,-3.44,-1.1,0.39,1.18,JOG
-6.44,7.47,-5.32,-1.23,2.08,1.57,JOG
-22.05,16.45,-12.64,-1.31,0.89,1.64,JOG
-19.2,10.54,-8.48,-1.99,1.7,2.3,JOG
-8.51,3.52,-1.55,-1.49,1.09,1.07,JOG
-0.48,-3.18,3.41,-0.5,0.78,-0.17,JOG
-1.84,-7.88,1.1,-0.31,-0.35,-0.41,JOG
0.12,-6.04,3.96,-0.08,-0.8,-0.6,JOG
-6.28,-1.2,1.01,0.56,-0.9,-1.58,JOG
-13.75,8.25,-2.99,0.91,-2.66,-2.06,JOG
-26.36,13.25,-4.42,1.62,-1.04,-2.43,JOG
-13,11.23,-4.25,2.04,-0.56,-1.8,JOG
-3.91,8.45,-6.03,1.58,0.33,-0.88,JOG
-1.64,5.11,-7.09,0.47,-0.89,-0.38,JOG
-3.22,5.6,-3.86,-0.75,0.74,0.67,JOG
-4.99,5.79,-7.01,-1.25,1.24,1.49,JOG
-12.66,14.98,-8.26,-1.32,1.37,2.25,JOG
-25.32,11.31,-10.51,-2.23,2.12,3.18,JOG
-12.05,6.22,-4.07,-2.18,0.98,2.54,JOG
-3.99,0.27,0.24,-1.35,1.65,1.34,JOG
-0.22,-4.16,3.07,-0.86,-0.36,0.27,JOG
-0.72,-7.64,2.73,-0.03,0.37,-0.09,JOG
1.83,-5.17,2.58,0.48,-0.38,-0.64,JOG
-8.28,2.46,0.57,0.67,-1.61,-1.45,JOG
-20.69,12.29,-4.13,1.88,-1.38,-2.72,JOG
-17.2,14.85,-7.31,1.47,-1.84,-2.09,JOG
-12.54,11.33,-4.2,1.63,-0.73,-1.64,JOG
-2.32,8.07,-6.22,1.35,-0.22,-0.68,JOG
-0.98,4.68,-6.98,-0.41,-0.41,0.15,JOG
-0.25,5.41,-3.81,-1.05,0.18,0.89,JOG
-3,9.77,-6.77,-1.21,2.42,1.41,JOG
-25.06,15.8,-11.11,-1.81,-0.4,1.97,JOG
