acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
1.72,-8.38,6.00,2.40,-0.58,-1.52,JOG
-15.00,-5.57,2.86,3.51,-2.83,-1.50,JOG
-30.48,-0.39,-5.63,5.33,-0.43,-4.88,JOG
-18.66,5.28,-12.09,2.41,0.70,-1.39,JOG
-4.57,7.56,-8.90,1.19,-1.22,-0.81,JOG
-0.83,9.79,-7.96,0.06,1.71,-0.13,JOG
-9.16,7.08,-15.55,-1.16,-0.45,0.94,JOG
-18.68,4.81,-8.97,-3.31,2.70,2.87,JOG
-28.18,3.28,-12.05,-5.07,-1.10,2.99,JOG
-17.60,-1.03,2.95,-3.73,0.63,2.95,JOG
-2.98,-5.32,1.43,-2.06,0.68,1.09,JOG
2.22,-7.04,0.55,-0.65,0.21,0.09,JOG
5.85,-9.16,5.99,-0.12,0.90,-0.52,JOG
-4.35,-8.84,5.00,2.45,-1.66,-1.93,JOG
-18.26,1.61,3.48,2.38,-2.16,-2.48,JOG
-31.85,2.04,-10.20,3.94,0.14,-4.36,JOG
-8.04,9.43,-5.28,1.48,-0.88,-1.37,JOG
-7.72,6.33,-8.22,1.12,0.08,-1.40,JOG
0.75,10.39,-9.87,0.90,0.49,0.14,JOG
-16.91,7.81,-13.76,-2.38,2.50,0.97,JOG
-18.51,5.09,-15.59,-3.46,1.56,3.06,JOG
-28.64,-0.98,-4.48,-5.02,-1.33,3.73,JOG
-10.24,-4.14,-0.06,-2.61,1.61,1.84,JOG
-2.23,-5.42,0.83,-2.53,0.65,0.17,JOG
2.11,-7.39,3.12,-0.88,0.88,0.06,JOG
4.28,-6.21,8.88,0.83,-0.13,-0.50,JOG
-6.85,-9.33,2.01,2.45,-0.96,-2.10,JOG
-17.36,2.15,4.29,3.59,-3.03,-2.39,JOG
-28.19,1.39,-10.50,3.03,0.40,-3.83,JOG
-9.07,9.34,-5.64,2.95,-0.12,-1.74,JOG
-6.37,7.43,-12.19,0.77,0.14,-0.99,JOG
-3.73,10.55,-8.14,0.84,0.16,0.41,JOG
-17.36,5.31,-14.92,-2.80,2.14,1.70,JOG
-16.91,2.83,-9.37,-3.52,0.24,3.90,JOG
-29.14,-2.48,-5.85,-4.64,-0.73,2.41,JOG
-7.15,-3.29,0.41,-2.47,1.05,1.81,JOG
0.85,-4.37,2.49,-1.26,0.39,-0.14,JOG
2.04,-8.13,2.31,-0.20,1.49,-0.30,JOG
4.82,-5.77,10.77,1.39,-0.46,-1.06,JOG
-11.95,-6.87,1.32,2.59,-1.14,-2.49,JOG
-15.39,1.77,2.71,4.75,-2.70,-2.52,JOG
-28.71,0.89,-11.49,3.30,1.40,-2.72,JOG
-8.31,5.51,-8.24,1.89,-1.67,-1.22,JOG
-8.34,6.30,-8.47,1.10,0.21,-1.25,JOG
-4.86,9.00,-13.61,0.47,1.12,0.06,JOG
-12.21,6.23,-12.67,-2.90,0.86,2.30,JOG
-20.31,2.92,-10.41,-4.08,0.53,2.56,JOG
-31.34,-5.37,-1.50,-4.50,-2.14,4.02,JOG
-8.04,-3.83,4.16,-2.41,1.71,2.25,JOG
-0.49,-5.86,2.13,-0.99,0.29,0.63,JOG
4.54,-8.15,4.63,-0.28,0.55,0.80,JOG
3.02,-8.16,7.68,1.71,-1.72,-0.54,JOG
-16.48,-4.56,2.30,2.34,-2.81,-1.62,JOG
-20.54,2.94,2.19,4.78,-1.99,-3.80,JOG
-18.72,9.22,-8.91,2.37,0.77,-2.31,JOG
-6.77,11.48,-4.81,0.67,-1.90,-0.68,JOG
-0.83,11.86,-5.36,0.59,1.98,0.11,JOG
-10.69,6.85,-17.26,-0.99,-0.19,1.46,JOG
-15.01,9.65,-3.10,-3.68,0.64,3.78,JOG
-37.06,0.20,-12.09,-3.17,-0.35,2.54,JOG
-11.48,-2.46,6.01,-3.51,0.79,3.42,JOG
1.03,-7.05,5.10,-1.12,2.67,0.71,JOG
0.25,-8.48,7.47,-0.75,-0.19,0.15,JOG
7.46,-7.94,12.18,1.51,0.97,-0.61,JOG
-5.30,-7.78,3.61,3.36,-2.31,-2.15,JOG
-7.75,0.93,7.40,4.01,-0.76,-3.36,JOG
-43.31,-3.71,-24.37,4.06,-1.99,-3.94,JOG
-12.80,10.95,0.08,1.29,-1.30,-1.39,JOG
-9.29,6.05,-9.25,1.86,0.45,-1.41,JOG
-2.06,9.73,-9.75,0.61,1.44,-0.09,JOG
-8.30,6.10,-14.61,-1.85,1.95,0.61,JOG
-10.96,7.57,-12.98,-3.32,1.03,2.40,JOG
-34.71,2.69,-5.83,-4.02,-2.11,2.66,JOG
