acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-18.81,1.36,1.25,-0.07,1.26,3.77,JOG
-9.65,-3.02,1.9,-1.28,1.02,4.07,JOG
3.99,-4.09,2.2,-1.2,0.55,3.24,JOG
1.77,-2.69,-0.96,-1.44,-2.14,1.76,JOG
3.39,-3.52,2.37,-0.68,-0.64,0.65,JOG
2.97,-3.63,2.91,0.91,1.28,-0.96,JOG
-0.37,-3.25,7.66,2.04,1.89,-3.37,JOG
-20.01,1.5,7.62,1.68,-3.1,-3.54,JOG
-27.52,9.24,11.58,-0.71,-1.86,-2.58,JOG
-20.87,11.66,5.5,-0.13,-1.12,-1.3,JOG
-7.76,9.33,1.1,-0.49,-1.29,-0.18,JOG
-1.55,8.17,-3.35,0.39,-0.65,-0.49,JOG
-2.4,8.85,-6.32,0.98,1.65,0.56,JOG
-7.43,8.19,-5.49,1.11,3.54,2.1,JOG
-27.39,13.37,-3.42,-0.62,1.83,4.36,JOG
-22.85,7.16,8.34,-1.19,2.15,4.53,JOG
-5.98,1.29,1.63,-1.59,1.77,2.74,JOG
3.01,-2,2.88,-1.93,0.27,2.01,JOG
6.76,-6.32,0.9,-1.49,1.07,-0.66,JOG
1.86,-6.46,3.89,0.16,-0.52,-1.5,JOG
-0.55,-5.63,7.56,1.05,-0.41,-3.26,JOG
-16.83,0.11,10.29,2.57,-2.19,-4.55,JOG
-33.97,10.41,10.18,1.81,-2.61,-4.08,JOG
-23.61,9.92,1.27,1.84,-1.81,-2.24,JOG
-5.47,5.96,-4.44,1.06,-1.87,-0.91,JOG
-3.09,5.99,-10.24,0.05,-1.97,-0.1,JOG
-1.46,9.64,-8.85,-0.69,1.43,1.57,JOG
-8.92,10.12,-3.52,0.6,4.13,3.32,JOG
-33.87,17.92,-3.1,-1.15,1.69,4.87,JOG
-18.02,8.46,7.07,-2.3,2.62,4.45,JOG
-5.2,-0.87,-1.03,-2.47,1.88,2.17,JOG
-0.98,-4.35,3.94,-3.26,0.3,1.77,JOG
3.46,-8.42,0.29,-1.04,0.06,1.47,JOG
4.99,-7.97,2.64,-0.11,1.03,-1.6,JOG
-0.8,-6.39,7.87,1.17,0.98,-2.92,JOG
-21.12,4.69,14.54,1.94,-1.37,-5.28,JOG
-30.66,13.09,10.98,2.18,-2.24,-4.26,JOG
-20.1,8.74,7.81,1.38,-2,-2.62,JOG
-7.1,5.07,-2.28,2.53,-0.83,-2.1,JOG
-4.76,6.03,-10.72,1.7,-1.77,-0.23,JOG
-2.62,8.72,-11.06,0.12,0.45,1.44,JOG
-5.35,7.92,-6.98,1.07,2.96,3.62,JOG
-21.17,18.17,-4.33,0.51,2.81,3.98,JOG
-19.06,15.8,2.56,-1.37,2.85,3.38,JOG
-9.94,4.52,1.54,-0.82,2.8,1.62,JOG
-3.74,-2.63,-0.06,-2.16,1.44,1.13,JOG
-0.11,-7.92,3.53,-2.46,0.71,1.3,JOG
7.48,-8.07,6.12,-0.34,0.37,-0.42,JOG
-0.54,-4.86,7.52,1.13,-0.09,-2.54,JOG
-12.58,8.07,9.01,0.92,-2.64,-3.96,JOG
-30.75,19.42,12.77,1,-3.17,-3.89,JOG
-18.2,11.91,4.6,1.21,-3.15,-1.8,JOG
-5.39,5.6,-3.11,0.7,-2.93,-0.89,JOG
-1.56,4.48,-8.09,0.42,-2.63,-0.84,JOG
-0.66,7.35,-12.49,0.65,-0.05,0.23,JOG
-5.19,10.33,-7.8,1.1,3.34,2.27,JOG
-25.93,25.57,-1.5,-0.04,2.17,3.45,JOG
-18.9,17.97,7.79,0.93,4.1,3.38,JOG
-9.91,3.9,-1.62,-0.31,4.13,1.74,JOG
-5.94,-4.74,1.25,-3.64,2.35,1.72,JOG
-0.67,-11.15,6.39,-2.9,1.62,2.69,JOG
11.65,-9.61,8.47,-0.63,1.16,-0.5,JOG
