acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-26.38,4.67,-4.95,2.78,-0.39,-1.53,JOG
-17.65,6.48,-9.3,3,-0.89,0.05,JOG
-8.77,5.2,-7.02,2.61,-3.75,-0.37,JOG
-2.16,4.89,-7.75,2.51,-3.71,-0.3,JOG
-1.64,6.92,-8.37,1.63,1.2,-0.23,JOG
-7.27,6.75,-7.43,-0.01,4.74,1.86,JOG
-12.16,5.09,-13.84,-2.93,2.52,3.54,JOG
-22.08,6.16,-13.81,-3.34,-0.14,3.42,JOG
-14.16,3,-6.99,-3.94,0.8,2.15,JOG
-5.11,-0.87,-0.34,-3.45,0.44,-0.23,JOG
-2.53,-6.11,2.63,-2.13,-0.57,-1.76,JOG
-1.85,-8.15,4.9,-2.07,-1.51,-0.76,JOG
-0.59,-5.53,8.15,-1.14,-1.56,-0.59,JOG
-12.29,-0.11,6.3,0.32,0.08,-0.39,JOG
-18.22,6.48,4.32,1.08,2.51,-1.2,JOG
-14.29,8.57,0.41,0.66,-1.59,-0.11,JOG
-9.3,6.46,1.3,2.41,-2.68,-2.82,JOG
-5.77,3.47,-1.82,2.83,-1.46,-3.32,JOG
-5.1,4.93,-3.8,3.24,1.29,-2.53,JOG
-7.29,6.48,-5.54,2.17,2.48,-0.39,JOG
-13.44,5.56,-9.13,-0.26,-0.41,2.44,JOG
-17.26,5.53,-5.91,-2.67,1.17,4.52,JOG
-16.85,5.4,-5.25,-2.83,1.87,4.45,JOG
-11.22,4.65,-0.06,-3.25,0.07,2.73,JOG
-5.13,1.32,1.65,-2.92,0.84,0.55,JOG
-2.03,-2.14,3.59,-2.49,1.12,-0.94,JOG
-1.58,-4.55,3.77,-1.62,0.84,-0.86,JOG
-0.48,-4.42,4.07,-0.65,0.42,-0.88,JOG
-5.58,-2.17,5.9,0.51,-0.55,-0.53,JOG
-10.7,3.01,9.32,2.26,2.57,-0.88,JOG
-25.02,9.02,1.9,3.64,0.29,-1.73,JOG
-19.28,7.69,-1.19,3.58,-1.46,-0.86,JOG
-8.74,4.82,-3.27,4.15,-0.9,-1.85,JOG
-3.62,4.42,-6.22,3.11,-1.48,-1.51,JOG
-0.45,6.22,-9.37,0.51,0.06,-0.69,JOG
-3.71,6.76,-7.62,-1.8,1.69,0.74,JOG
-9.78,5.69,-9.82,-2.82,4.42,2.1,JOG
-20.73,7.13,-17.03,-3.17,0.62,2.26,JOG
-13.01,3.84,-9.23,-3.68,0.81,2.52,JOG
-5.3,2.57,-2.44,-3,-0.23,0.31,JOG
-2.82,-1.02,2.21,-2.76,-1.51,-0.74,JOG
-1.46,-5.54,5.35,-2.43,-0.92,-1.41,JOG
-2.98,-6.63,7.52,-1.23,-0.17,-1.29,JOG
-9.25,-2.56,10.31,0.74,-0.71,-0.74,JOG
-10.96,1.8,7.35,5.15,4.8,-2.59,JOG
-21.5,5.24,-8.66,3.86,-1.68,-0.7,JOG
-14.72,7.42,-1.7,2.05,-3.2,0.11,JOG
-9.49,4.22,-3.02,3.11,-2.94,-1.64,JOG
-3.78,2.73,-3.32,2.09,-2.55,-1.49,JOG
-3.81,5.68,-5.41,1.45,0.16,-1.21,JOG
-7.6,7.65,-7.6,0.79,2.3,0.85,JOG
-11.82,5.01,-11.09,-2.24,3.03,3.14,JOG
-17.91,8.36,-6.3,-3.69,1.55,3.35,JOG
-17.32,7.28,-3.17,-3.8,0.25,3.12,JOG
-9.62,4.8,1.21,-2.88,-0.22,0.91,JOG
0.67,-0.34,2.13,-1.87,2.41,-0.66,JOG
1.67,-5.93,1.91,-1.65,1.71,-1.67,JOG
1.42,-7.59,4.24,-1.63,0.7,-1.08,JOG
-8.91,-5.71,7.61,-0.5,-2.48,-1.14,JOG
-14.3,1.19,9.54,1.19,1.29,-2.82,JOG
-22.92,3.1,4.09,3.58,0.34,-2.03,JOG
-13.17,3.21,2.29,2.58,-2.65,-1.36,JOG
-9,1.62,1.24,2.66,-1.85,-3.87,JOG
-8.91,3.71,-3.42,2.41,-1.26,-3.01,JOG
-7.56,7.35,-4.52,0.78,0.35,-0.81,JOG
-10.75,7.43,-4.5,-0.63,0.91,1.53,JOG
-14.21,4.5,-3.74,-1.73,2.17,3.75,JOG
-23.4,4.71,-4.92,-2.14,2.35,4.36,JOG
-21.61,4.48,-3,-3.02,0.06,4.9,JOG
-10.07,2.96,0.09,-1.92,1.49,2.35,JOG
-2.65,-1.11,1.45,-2,1.05,0.66,JOG
0.02,-6.82,2.53,-2.48,-0.31,-0.12,JOG
-0.64,-7.02,3.92,-2.63,0.43,0.02,JOG
