acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-10.76,-23.35,-2.33,0.77,0.34,0.07,JUM
-11.08,-15.73,1.55,-0.23,-0.33,-1.48,JUM
-4.09,-3.72,-0.24,-0.01,-0.6,-0.38,JUM
-1.48,3.1,-1.56,-0.3,-0.16,-0.24,JUM
0.88,1.13,0.79,-0.56,-0.11,0.58,JUM
0.38,0.01,1.85,0.15,0.6,-0.04,JUM
-0.74,-0.58,-0.55,0.73,0.56,-0.02,JUM
-5.73,-4.91,-0.02,-0.33,-0.05,-0.02,JUM
-15.43,-37.94,5.54,-0.48,-1.03,0.4,JUM
-16.66,-26.85,1.91,0.01,-0.03,-0.69,JUM
-4.44,-0.96,1.14,-0.39,1.12,-0.17,JUM
2.49,4.67,1.28,0.06,1.79,0.85,JUM
2.53,2.02,0.25,-0.12,-0.77,-0.36,JUM
-2.41,0.69,0.15,-0.35,-1.31,-0.1,JUM
-2.58,0.14,0.76,-0.08,-0.43,0.07,JUM
-3.01,-3.21,-0.27,0.1,0.42,0.39,JUM
-12.14,-30.73,4.19,0.51,-0.46,0.48,JUM
-21.04,-32.16,3.48,-1.05,-1.57,-0.87,JUM
-7.49,-15.55,2.62,-0.43,1.51,-0.34,JUM
-2.88,2.06,0.27,0.17,0.75,-0.48,JUM
0.89,3.84,-0.81,-0.2,-0.34,0.11,JUM
0.69,0.75,0.83,-0.73,-0.44,-0.06,JUM
-2.12,0.16,2.24,0.03,-0.36,-0.09,JUM
-1.51,-0.46,-0.82,0.38,-0.04,0.21,JUM
-7.7,-10.4,2.29,0.05,0.23,0.51,JUM
-16.31,-33.35,1.58,-0.72,-1.64,-0.44,JUM
-13.3,-26.42,1.86,-0.23,1.05,-0.34,JUM
-4.53,-2.3,-0.2,-0.28,0.22,-0.4,JUM
1.92,3,-0.46,-0.11,0.27,0.19,JUM
0.21,1.69,0.6,-0.65,-0.7,-0.01,JUM
-0.25,-0.36,1.92,0.11,0.16,0.06,JUM
-1.62,0.04,-0.01,0.44,0.3,0.01,JUM
-1.77,-1.57,-0.52,-0.13,-0.12,0.23,JUM
-14.43,-30.23,4.36,0.04,-0.6,0.39,JUM
-18.99,-35.35,2.47,0.31,-0.39,-0.21,JUM
-8.29,-10.83,-0.02,0.24,2.73,-0.46,JUM
-1.96,3.11,0.98,0.01,1.5,0.85,JUM
3.98,2.12,-0.63,-0.1,-1.07,0.23,JUM
0.74,0.94,0,-0.2,-0.27,-0.27,JUM
-1.44,0.73,0.62,0.09,-0.09,-0.15,JUM
-1.45,-0.27,-0.66,0.11,-0.14,0.08,JUM
-8.6,-13.75,1.64,-0.09,-0.19,0.43,JUM
-18.96,-37.99,1.31,-0.43,-1.58,-0.84,JUM
-14.51,-22.72,-0.18,-0.61,0.3,-0.74,JUM
-4.64,0.84,0.48,-0.45,1.36,-0.2,JUM
2.66,2.56,1.35,-0.05,0.73,0.52,JUM
1.07,1.98,0.73,-0.28,-0.53,-0.14,JUM
-0.18,0.71,1.33,-0.01,-0.03,-0.17,JUM
-1.47,0.31,0.22,0.11,-0.34,-0.02,JUM
-4.76,-4.91,1.26,-0.28,-0.27,0.09,JUM
-16.58,-38.19,1.31,0.03,-1.88,0.07,JUM
-14.77,-27.08,-0.75,-0.11,0.73,-0.59,JUM
-5.6,-1.82,0.74,-0.45,1.62,-0.02,JUM
2.83,2.94,2.83,0.01,0.81,1.19,JUM
3.16,1.01,-0.36,0.42,-0.64,0.17,JUM
0.81,-0.06,-0.75,0.09,-0.51,-0.25,JUM
-1.71,0.37,-1.18,-0.06,-0.58,-0.12,JUM
-4.01,-5.31,0.05,-0.48,-0.42,0.26,JUM
-17.83,-38.6,2.49,-0.22,-2.21,-0.04,JUM
-12.84,-28.36,-0.45,-0.62,0.88,-0.69,JUM
-7.4,-3.01,2.49,-0.69,1.06,-0.29,JUM
3.56,3.16,1.71,0.09,1.23,0.6,JUM
1.77,2.09,0.51,-0.15,0.1,-0.15,JUM
-1.09,0.53,1.42,-0.13,-0.7,-0.29,JUM
-1.73,0.23,0.31,0.34,-0.2,0.01,JUM
-2.77,-1.8,-0.82,0.16,0.18,0.3,JUM
-13.02,-31.37,3.58,0.38,-0.85,0.65,JUM
-20.69,-33.92,-0.68,-0.85,-2.54,-0.79,JUM
-7.39,-12.89,1.29,-1.19,1.21,0.28,JUM
0.96,3.21,2.23,-0.32,1.57,0.43,JUM
2.92,2.75,1.5,0.04,0.11,0.22,JUM
1.9,-0.03,0.92,0.15,0.01,-0.3,JUM
-2.33,0.65,-0.09,0.25,-0.56,-0.1,JUM
-0.88,-0.46,-1.29,0.01,-0.35,0.12,JUM
-6.85,-11.65,1.93,0.01,0.06,0.44,JUM
-16.37,-37.5,1,0.13,-1.37,-0.82,JUM
-13.47,-25.34,-0.53,-0.26,0.89,-0.55,JUM
-4.49,-2.71,0.38,0,1.97,-0.64,JUM
0.66,3.51,-0.29,-0.13,0.55,0.23,JUM
0.96,1.56,1.47,-0.7,-1.14,0.09,JUM
-0.52,0.02,1.59,0.12,-0.34,-0.08,JUM
-1.41,-0.06,-0.48,0.51,0.07,0.03,JUM
-2.89,-2.6,-0.99,-0.03,-0.22,0.21,JUM
-13.25,-34,1.56,-0.04,-1.39,0.23,JUM
-15.72,-31.35,-0.28,-0.57,-0.56,-0.08,JUM
-6.49,-8.51,0.86,-0.99,1.11,-0.3,JUM
0.97,2.28,2.67,-0.31,1.11,0.61,JUM
1.24,2.33,0.51,0.29,-0.14,0.17,JUM
1.07,0.05,-0.08,0.01,-0.27,0.14,JUM
-1.66,0.47,0.14,0.25,-0.25,-0.11,JUM
-1.73,-1.05,-2.05,-0.15,-0.58,0.37,JUM
-10.07,-21.44,4.34,-0.14,-0.49,0.52,JUM
-17.93,-39.08,1.55,0.14,-1.2,-1.08,JUM
-11.4,-14.83,-1.44,0.23,2.83,-0.64,JUM
-2.36,2.62,0.32,-0.47,1.11,0.35,JUM
3.38,1.73,1.51,-0.45,-0.96,0.62,JUM
0.54,-0.23,0.55,-0.18,-0.76,-0.05,JUM
-1.08,-0.08,0.7,0.17,-0.15,0.04,JUM
-1.13,-0.43,-0.55,0.21,-0.54,0.2,JUM
-7.08,-12.44,2.91,0.1,0.08,0.44,JUM
-17.7,-38.63,-0.44,-0.76,-2.49,-1.08,JUM
-13.83,-20.44,2.49,-0.36,1.25,-0.1,JUM
-1.26,-0.73,0.91,0.83,2.94,0.24,JUM
3.42,4.64,-0.4,0.34,1.13,0.4,JUM
1.78,1.05,-0.19,-0.66,-1.52,-0.22,JUM
-1.75,0.19,1.69,-0.51,-1.7,-0.19,JUM
-1.94,0.09,0.07,0.65,0.36,-0.06,JUM
-7.36,-9.51,-0.24,0.52,0.59,0.56,JUM
-14.54,-37.34,2.3,0.54,-1.25,-0.5,JUM
-15.08,-23.93,-2.39,-1.74,-0.95,-0.56,JUM
-3.62,-1.72,5.91,-1.34,0.81,0.33,JUM
4.74,2.87,3.33,0.74,1.71,0.56,JUM
0.74,1.2,-0.67,0.79,0.61,-0.3,JUM
-1.32,0.1,-0.04,0.34,0.26,0.01,JUM
-1.34,0.16,-0.21,0.23,0.18,0.14,JUM
-3.13,-3.69,0.96,0.07,0.03,0.44,JUM
-13.35,-36.99,4.8,0.99,-0.73,-0.28,JUM
-22.1,-28.21,-1.22,-0.55,-0.76,-0.82,JUM
-7.27,-9.83,3.96,-0.82,1.26,0.7,JUM
2.55,3.99,0.95,-0.13,0.59,0.68,JUM
3.56,3.08,0.38,-0.34,-0.91,0.13,JUM
0.09,-0.01,2.07,-0.25,-0.83,-0.13,JUM
-1.71,0.11,0.59,0.72,0.02,-0.14,JUM
-3.32,-1.82,-1.25,0.59,0.37,0.22,JUM
-11.07,-29.82,4.47,0.73,0.16,0.72,JUM
-17.33,-31.38,1.17,-0.45,-0.71,-1.4,JUM
-10.94,-10.97,3.66,-0.71,0.87,-0.36,JUM
-0.21,3.77,0.28,0.26,1.41,0.54,JUM
1.65,1.53,0.46,-0.38,-0.4,0.06,JUM
0.11,0.18,0.76,-0.4,-1,0.03,JUM
