acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.72,-9.82,0.22,-0.11,0.06,0.05,RA
-1.11,-9.91,-0.29,-0.13,0.24,0.02,RA
-1.47,-9.9,-0.24,-0.16,0.6,0.04,RA
-3.37,-10.48,-1.97,-0.36,1.23,0.13,RA
-3.31,-10.29,-2.24,-1,1.02,0.9,RA
-4.18,-10.51,-4.02,-0.7,-0.22,1.03,RA
-5.36,-10.74,-5.8,-1.4,-0.35,1.11,RA
-6.12,-11.57,-8.34,-1.53,-1.57,1.76,RA
-7.55,-13.58,-9.5,-2.31,-2.26,2.19,RA
-7.52,-14.83,-10.09,-2.87,-2.81,3.06,RA
-7.61,-14.08,-8.24,-3.41,-3.87,3.64,RA
-7.53,-11.09,-5.79,-3.31,-5.68,4.49,RA
-5.27,-8.43,-3.24,-2.62,-5.88,4.84,RA
-5.58,-5.84,-1.74,-2.28,-6.66,5.22,RA
-1.56,-3.37,1.89,-1.98,-5.29,4.69,RA
-1.46,-2.3,2.74,-1.22,-5.63,4.44,RA
3.74,-2.04,3.94,-1.45,-4.34,3.51,RA
4.27,-1.02,5.39,-0.66,-2.66,2.53,RA
5.1,-0.59,6.72,-0.48,-1.03,1.16,RA
6.58,0.22,6.74,0.21,-0.49,0.62,RA
5.45,-0.01,6.73,-0.3,-0.23,0.37,RA
4.58,1.33,9.27,-0.24,0.25,0.12,RA
3.67,1.24,9.37,-0.5,0.36,-0.35,RA
5.07,1.21,9.68,-0.23,-0.07,-0.21,RA
3.7,1.42,9.77,-0.22,0.02,-0.11,RA
3.61,1.67,9.73,-0.14,0.45,-0.51,RA
3.4,1.42,9,-0.12,-0.09,-0.18,RA
2.72,1.69,9.74,-0.17,-0.12,-0.09,RA
3.41,1.38,8.77,0.08,0.5,-0.3,RA
3.2,1.74,9.3,-0.01,-0.02,0,RA
2.92,1.53,8.98,-0.08,0.15,-0.07,RA
3.21,1.55,8.89,0.04,0.13,0.01,RA
3.11,1.52,9.26,-0.1,0.22,-0.04,RA
3.12,1.47,9.02,-0.04,0.05,-0.04,RA
3.19,1.41,8.9,-0.19,0.05,-0.07,RA
3.25,1.65,9.6,-0.07,0.07,0,RA
