acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-6.916,-6.066,0.46,0.025,-0.034,-0.002,FALL
-7.334,-6.218,0.594,0.07,-0.017,0.082,FALL
-6.985,-6.082,0.472,-0.021,0.031,0.0,FALL
-7.02,-5.766,0.521,0.016,0.064,-0.014,FALL
-7.371,-6.281,0.564,-0.007,-0.008,0.072,FALL
-6.993,-6.266,0.538,0.001,0.023,-0.044,FALL
-7.162,-5.926,0.461,0.018,0.003,0.005,FALL
-7.345,-5.838,0.592,0.108,0.026,0.063,FALL
-6.981,-6.233,0.313,0.01,-0.009,0.086,FALL
-6.802,-6.155,0.375,0.075,0.032,0.011,FALL
-7.137,-6.065,0.525,0.049,0.096,-0.056,FALL
-7.069,-6.051,0.612,-0.008,0.078,0.028,FALL
-7.233,-6.065,0.386,0.064,0.033,0.033,FALL
-7.188,-6.142,0.56,0.034,0.057,-0.031,FALL
-7.018,-6.014,0.48,0.022,-0.031,0.025,FALL
-7.305,-6.09,0.292,-0.036,-0.003,0.033,FALL
-7.05,-5.93,0.604,0.01,-0.058,-0.007,FALL
-7.061,-5.837,0.421,0.016,-0.036,-0.014,FALL
-6.902,-6.127,0.627,-0.054,-0.041,-0.064,FALL
-6.917,-6.321,0.251,-0.037,-0.026,-0.027,FALL
-7.058,-6.1,0.672,-0.001,-0.046,0.093,FALL
-6.945,-6.274,0.546,-0.014,-0.079,0.04,FALL
-7.23,-6.018,0.219,-0.048,0.037,0.01,FALL
-7.086,-6.443,0.497,-0.109,-0.058,-0.085,FALL
-7.247,-6.035,0.656,-0.009,0.007,0.038,FALL
-7.054,-6.311,0.489,-0.002,0.031,-0.02,FALL
-7.09,-6.027,0.429,0.043,0.099,0.022,FALL
-7.24,-5.98,0.667,0.002,0.009,-0.024,FALL
-7.121,-5.955,0.57,0.027,-0.035,0.075,FALL
-6.835,-5.965,0.732,-0.082,0.04,0.013,FALL
-6.941,-6.144,0.521,0.001,-0.067,-0.003,FALL
-7.134,-6.182,0.499,-0.068,-0.027,-0.024,FALL
-7.023,-6.154,0.35,-0.017,-0.048,0.021,FALL
-6.783,-6.201,0.561,0.005,-0.068,0.009,FALL
-7.047,-5.928,0.544,-0.064,-0.01,0.004,FALL
-7.0,-6.002,0.728,-0.005,0.05,0.009,FALL
-7.057,-6.109,0.481,-0.011,0.043,0.013,FALL
-6.989,-6.153,0.326,-0.015,-0.012,0.007,FALL
-7.124,-6.101,0.486,-0.049,-0.006,-0.046,FALL
-6.967,-6.239,0.463,-0.009,-0.022,-0.047,FALL
-7.068,-6.016,0.335,-0.034,0.03,-0.005,FALL
-7.092,-5.943,0.368,0.004,0.003,-0.061,FALL
-7.074,-6.329,0.484,-0.01,0.014,-0.017,FALL
-7.17,-6.317,0.305,-0.025,0.047,-0.012,FALL
-6.965,-6.113,0.457,0.034,0.009,0.081,FALL
-6.883,-6.025,0.787,0.021,-0.053,0.061,FALL
-6.926,-6.12,0.555,0.03,-0.026,-0.017,FALL
-7.189,-6.17,0.313,0.077,-0.046,0.006,FALL
-6.997,-6.286,0.373,-0.024,0.07,0.076,FALL
-6.879,-6.116,0.727,0.05,0.055,-0.024,FALL
-7.076,-6.183,0.735,0.068,-0.054,-0.02,FALL
-7.017,-6.125,0.563,0.021,-0.069,0.023,FALL
-6.862,-6.192,0.502,0.081,-0.047,-0.005,FALL
-7.061,-6.195,0.446,0.059,-0.052,0.009,FALL
-6.832,-6.095,0.806,0.161,-0.144,0.114,FALL
-6.692,-6.163,0.748,0.198,-0.078,0.114,FALL
-6.618,-6.3,0.722,0.361,-0.341,0.204,FALL
-6.561,-6.482,0.888,0.486,-0.425,0.38,FALL
-6.678,-6.447,0.617,0.772,-0.527,0.415,FALL
-6.414,-6.644,0.962,1.041,-0.761,0.532,FALL
-6.066,-6.671,0.844,1.364,-0.964,0.746,FALL
-5.925,-7.223,1.314,1.792,-1.231,0.949,FALL
-5.315,-7.482,0.937,2.161,-1.63,1.242,FALL
-4.925,-7.886,1.408,2.866,-2.013,1.441,FALL
-4.637,-7.685,1.602,3.34,-2.416,1.773,FALL
-4.1,-8.294,1.969,3.921,-2.863,2.177,FALL
-3.823,-8.431,1.968,4.475,-3.22,2.488,FALL
-3.319,-8.72,2.082,4.842,-3.565,2.643,FALL
-3.333,-8.881,2.438,5.258,-3.708,2.854,FALL
-3.135,-8.925,2.357,5.375,-3.954,2.922,FALL
-3.09,-8.902,2.549,5.551,-4.049,3.043,FALL
-2.984,-8.837,2.414,5.449,-3.938,2.98,FALL
-3.002,-8.823,2.427,5.198,-3.773,2.953,FALL
-3.652,-8.831,2.403,4.801,-3.543,2.679,FALL
-3.947,-8.553,2.163,4.383,-3.184,2.328,FALL
-4.235,-8.234,2.143,3.861,-2.881,2.152,FALL
-4.431,-8.156,1.8,3.303,-2.398,1.866,FALL
-5.071,-7.467,1.74,2.708,-1.934,1.494,FALL
-5.576,-7.462,1.174,2.237,-1.608,1.229,FALL
-5.798,-7.047,1.028,1.901,-1.399,1.016,FALL
-6.088,-7.13,1.106,1.641,-1.209,0.872,FALL
-5.396,-7.455,1.946,1.89,-1.425,1.132,FALL
-4.353,-7.846,3.534,3.016,-2.211,1.745,FALL
-2.456,-9.665,5.955,5.274,-3.837,3.113,FALL
0.455,-11.558,9.609,8.25,-6.28,4.864,FALL
2.806,-13.403,13.129,11.015,-8.232,6.382,FALL
3.943,-14.381,14.672,12.23,-9.098,7.038,FALL
3.013,-13.407,12.922,10.913,-8.164,6.332,FALL
0.269,-11.332,9.811,7.973,-6.031,4.607,FALL
-2.968,-9.307,6.043,4.724,-3.532,2.836,FALL
-4.914,-7.589,3.091,2.307,-1.724,1.327,FALL
-6.436,-6.857,1.655,0.873,-0.608,0.484,FALL
-6.757,-6.407,0.629,0.218,-0.147,0.116,FALL
-6.54,-5.727,1.091,0.004,-0.024,0.012,FALL
-6.391,-5.677,1.294,-0.037,-0.034,-0.02,FALL
-6.1,-5.491,1.538,0.02,-0.048,0.028,FALL
-5.742,-4.886,2.049,-0.0,0.042,0.016,FALL
-5.366,-4.834,2.455,-0.018,-0.035,0.012,FALL
-5.107,-4.477,2.902,-0.009,0.041,-0.001,FALL
-4.993,-4.158,3.206,-0.036,0.004,-0.035,FALL
-4.558,-4.182,3.773,0.028,-0.019,-0.043,FALL
-4.159,-4.047,4.243,-0.02,0.043,0.003,FALL
-4.046,-3.616,4.685,-0.089,-0.021,-0.001,FALL
-3.673,-3.257,5.165,0.042,-0.018,0.007,FALL
-3.089,-2.774,5.319,0.028,-0.034,-0.007,FALL
-2.74,-2.779,5.736,0.009,0.046,-0.012,FALL
-2.483,-2.66,6.348,-0.043,0.066,0.004,FALL
-2.292,-2.191,6.682,-0.075,-0.011,-0.003,FALL
-1.706,-1.935,6.934,0.069,-0.066,0.009,FALL
-1.383,-1.509,7.517,-0.018,0.064,-0.02,FALL
-1.092,-1.318,7.541,0.001,0.08,-0.061,FALL
-0.814,-1.168,8.116,-0.003,0.044,-0.049,FALL
-0.176,-0.867,8.685,-0.021,0.03,0.04,FALL
-0.243,-0.56,8.961,0.017,0.031,0.043,FALL
0.158,-0.228,9.354,-0.02,0.021,0.03,FALL
0.252,-0.544,9.418,0.031,0.054,0.058,FALL
0.105,-0.433,9.334,0.021,0.008,-0.003,FALL
0.108,-0.208,9.403,-0.008,0.016,0.083,FALL
0.199,-0.146,9.682,0.08,0.004,0.021,FALL
0.206,-0.347,9.478,0.018,-0.093,-0.012,FALL
0.24,-0.369,9.322,-0.04,0.01,0.071,FALL
0.025,0.06,9.601,-0.022,-0.005,-0.012,FALL
0.378,-0.346,9.365,-0.003,0.077,-0.024,FALL
0.296,-0.349,9.617,0.04,-0.02,-0.029,FALL
0.047,-0.18,9.528,-0.046,0.101,-0.014,FALL
0.293,-0.228,9.346,-0.053,-0.071,-0.056,FALL
0.244,-0.151,9.463,0.09,0.062,0.002,FALL
0.31,-0.247,9.599,-0.05,-0.032,0.018,FALL
0.279,-0.172,9.538,0.01,-0.06,-0.023,FALL
0.248,-0.391,9.677,0.028,0.042,0.069,FALL
0.22,-0.325,9.598,0.018,0.027,0.013,FALL
0.308,-0.44,9.558,-0.031,0.018,-0.037,FALL
0.171,-0.19,9.411,-0.041,-0.018,-0.01,FALL
0.214,-0.336,9.631,-0.026,0.045,-0.029,FALL
0.122,-0.224,9.342,0.122,-0.08,-0.02,FALL
0.131,-0.503,9.395,0.079,0.015,0.045,FALL
0.442,-0.277,9.566,0.0,0.05,-0.025,FALL
0.049,-0.374,9.567,-0.021,-0.012,0.034,FALL
0.198,-0.415,9.652,-0.039,-0.011,0.025,FALL
0.036,-0.486,9.756,0.101,0.016,-0.009,FALL
0.319,-0.215,9.393,-0.025,-0.026,-0.049,FALL
0.178,-0.405,9.472,-0.035,0.057,0.012,FALL
0.324,-0.296,9.637,-0.02,-0.022,-0.022,FALL
0.146,-0.132,9.438,0.047,0.041,-0.053,FALL
0.23,-0.439,9.506,0.01,0.068,0.007,FALL
0.32,0.086,9.58,-0.053,0.06,-0.043,FALL
0.014,-0.423,9.713,0.006,-0.059,-0.013,FALL
-0.073,-0.16,9.693,0.123,-0.061,0.044,FALL
0.142,-0.225,9.512,-0.039,-0.004,-0.032,FALL
-0.039,-0.248,9.577,-0.003,0.064,0.012,FALL
0.197,-0.051,9.394,-0.023,0.07,0.031,FALL
0.347,-0.356,9.61,-0.042,-0.032,-0.056,FALL
0.033,-0.321,9.526,-0.05,-0.069,-0.012,FALL
0.298,-0.281,9.458,0.032,0.009,0.075,FALL
0.134,-0.32,9.61,-0.028,0.004,-0.046,FALL
-0.145,-0.049,9.292,0.004,0.001,-0.002,FALL
0.28,-0.358,9.464,0.038,-0.021,-0.061,FALL
0.024,-0.371,9.677,-0.099,-0.025,0.028,FALL
-0.191,-0.242,9.535,0.025,-0.094,0.005,FALL
0.138,-0.329,9.63,-0.129,0.05,-0.016,FALL
0.275,-0.246,9.643,0.007,-0.024,-0.014,FALL
0.246,-0.376,9.528,0.017,0.049,-0.062,FALL
0.451,-0.315,9.288,0.006,-0.006,-0.039,FALL
0.284,-0.428,9.423,0.03,-0.129,-0.05,FALL
0.215,-0.167,9.574,0.057,-0.012,-0.007,FALL
0.286,-0.217,9.423,0.004,0.003,-0.001,FALL
0.084,-0.348,9.664,0.007,0.057,-0.037,FALL
0.326,-0.167,9.391,-0.044,-0.014,0.073,FALL
0.029,-0.333,9.733,-0.027,-0.065,-0.058,FALL
-0.037,-0.468,9.584,0.008,-0.041,-0.06,FALL
0.176,-0.48,9.449,0.039,-0.058,-0.006,FALL
0.112,-0.271,9.443,0.064,0.015,-0.098,FALL
0.126,0.191,9.644,-0.033,-0.007,0.042,FALL
0.469,-0.3,9.428,0.028,0.084,0.021,FALL
0.071,-0.462,9.551,-0.038,-0.05,0.021,FALL
0.039,0.048,9.306,0.0,-0.003,-0.082,FALL
0.258,-0.676,9.351,0.026,-0.013,0.091,FALL
-0.074,-0.186,9.409,0.067,-0.061,0.008,FALL
0.05,-0.39,9.661,0.066,-0.052,0.01,FALL
0.04,-0.422,9.309,0.007,-0.101,-0.001,FALL
