acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.388,-6.538,0.548,0.017,0.014,0.033,FALL
-7.268,-6.226,0.498,-0.032,-0.009,-0.03,FALL
-7.315,-6.267,0.409,0.068,0.012,-0.01,FALL
-7.274,-6.31,0.421,-0.048,0.088,-0.038,FALL
-7.316,-6.303,0.486,0.056,0.02,-0.102,FALL
-7.174,-6.328,0.612,0.08,-0.015,-0.067,FALL
-7.238,-6.274,0.428,-0.028,-0.061,-0.046,FALL
-7.271,-6.379,0.588,0.04,-0.061,0.082,FALL
-6.899,-6.517,0.3,-0.007,0.048,0.038,FALL
-7.369,-6.44,0.66,0.028,0.001,-0.006,FALL
-7.213,-6.309,0.386,-0.016,0.01,-0.028,FALL
-7.088,-6.35,0.558,0.051,-0.075,-0.005,FALL
-7.269,-6.269,0.543,0.04,0.042,-0.055,FALL
-7.107,-6.279,0.519,0.034,-0.081,-0.093,FALL
-7.242,-6.164,0.547,-0.008,-0.013,-0.034,FALL
-7.409,-6.352,0.585,0.087,-0.024,0.018,FALL
-7.243,-6.161,0.474,-0.042,-0.001,0.085,FALL
-7.421,-6.374,0.397,0.026,0.007,0.057,FALL
-6.948,-6.284,0.426,-0.099,0.051,0.044,FALL
-7.304,-6.273,0.536,0.002,0.037,-0.002,FALL
-7.241,-6.181,0.505,-0.024,-0.019,-0.056,FALL
-7.288,-6.19,0.409,-0.083,0.05,-0.017,FALL
-7.157,-6.419,0.394,0.067,-0.041,0.009,FALL
-7.234,-6.213,0.632,0.069,-0.036,0.003,FALL
-7.252,-6.385,0.602,-0.005,-0.102,-0.061,FALL
-7.138,-6.093,0.623,0.013,0.009,-0.046,FALL
-6.948,-6.274,0.572,0.024,-0.013,-0.066,FALL
-7.129,-6.11,0.56,-0.057,0.057,0.041,FALL
-7.323,-6.23,0.25,0.025,-0.044,0.097,FALL
-7.289,-6.169,0.735,-0.0,0.058,-0.0,FALL
-7.124,-6.146,0.613,0.006,-0.039,-0.048,FALL
-6.987,-6.245,0.566,-0.055,0.038,0.099,FALL
-7.007,-6.175,0.497,-0.013,-0.104,-0.092,FALL
-7.031,-6.223,0.369,-0.037,-0.121,0.022,FALL
-7.234,-6.312,0.325,-0.072,-0.053,-0.017,FALL
-7.08,-6.257,0.612,-0.116,0.009,-0.01,FALL
-7.231,-6.157,0.418,0.022,0.034,0.036,FALL
-7.414,-6.042,0.362,-0.05,-0.003,-0.041,FALL
-7.16,-6.061,0.553,0.029,-0.002,-0.028,FALL
-6.943,-6.339,0.473,-0.004,0.02,-0.019,FALL
-7.005,-6.404,0.739,0.053,0.029,-0.038,FALL
-7.098,-6.182,0.471,-0.056,0.005,0.066,FALL
-7.207,-6.021,0.303,-0.016,0.039,-0.031,FALL
-7.038,-6.271,0.463,0.004,-0.061,0.003,FALL
-7.267,-6.255,0.567,0.099,-0.035,-0.034,FALL
-7.099,-6.107,0.347,0.153,-0.058,-0.052,FALL
-7.346,-6.161,0.548,-0.054,-0.003,-0.004,FALL
-7.118,-6.352,0.544,-0.0,-0.005,-0.097,FALL
-7.32,-6.143,0.329,0.05,0.026,0.087,FALL
-6.991,-6.141,0.341,-0.012,-0.015,0.035,FALL
-7.149,-6.125,0.605,0.01,-0.088,-0.027,FALL
-7.043,-6.175,0.354,0.067,-0.023,0.048,FALL
-7.068,-6.122,0.495,0.023,-0.062,0.055,FALL
-6.968,-6.255,0.51,0.105,-0.015,-0.055,FALL
-7.192,-6.175,0.264,0.217,-0.035,0.109,FALL
-7.124,-6.435,0.486,0.217,-0.208,0.062,FALL
-6.819,-6.538,0.747,0.357,-0.31,0.213,FALL
-6.762,-6.496,0.535,0.513,-0.443,0.35,FALL
-6.729,-6.616,0.702,0.649,-0.536,0.445,FALL
-6.521,-6.748,0.824,0.996,-0.74,0.575,FALL
-6.21,-7.02,0.731,1.521,-1.046,0.747,FALL
-5.844,-7.208,1.298,1.753,-1.45,0.958,FALL
-5.548,-7.402,1.403,2.217,-1.658,1.186,FALL
-5.088,-7.595,1.439,2.718,-1.948,1.547,FALL
-4.824,-8.013,1.813,3.368,-2.387,1.854,FALL
