acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.418,-6.354,0.633,-0.04,-0.043,0.004,FALL
-7.398,-6.304,0.585,-0.001,0.047,-0.037,FALL
-7.517,-6.335,0.486,0.045,0.095,-0.012,FALL
-7.106,-6.521,0.585,-0.148,0.019,-0.023,FALL
-7.33,-6.266,0.356,-0.01,-0.018,-0.079,FALL
-7.223,-6.468,0.503,-0.02,-0.016,-0.026,FALL
-7.228,-6.447,0.417,0.044,0.017,-0.066,FALL
-7.376,-6.416,0.382,0.055,0.008,0.023,FALL
-7.077,-6.446,0.622,-0.006,-0.042,0.009,FALL
-7.341,-6.347,0.464,0.056,0.051,-0.047,FALL
-7.316,-6.279,0.598,-0.045,-0.049,-0.081,FALL
-7.255,-6.389,0.583,-0.035,0.069,-0.026,FALL
-7.341,-6.168,0.558,0.053,0.139,0.029,FALL
-7.252,-6.415,0.529,-0.016,0.055,-0.046,FALL
-7.213,-6.349,0.578,-0.059,-0.076,0.027,FALL
-7.374,-6.278,0.701,-0.054,0.039,-0.022,FALL
-7.434,-6.544,0.463,0.063,-0.089,0.084,FALL
-7.457,-6.292,0.39,-0.079,0.009,-0.037,FALL
-7.398,-6.275,0.421,0.005,0.075,-0.026,FALL
-7.359,-6.411,0.482,0.004,0.052,0.072,FALL
-7.387,-6.355,0.488,0.058,0.025,-0.013,FALL
-7.34,-6.179,0.46,0.141,0.041,0.046,FALL
-7.262,-6.317,0.362,0.078,-0.034,0.039,FALL
-7.304,-6.329,0.499,-0.067,0.028,-0.005,FALL
-7.301,-6.34,0.386,-0.076,0.068,-0.065,FALL
-7.301,-6.437,0.526,0.012,-0.053,-0.014,FALL
-7.105,-6.272,0.672,0.021,-0.041,0.029,FALL
-7.387,-6.384,0.449,0.12,-0.026,0.005,FALL
-7.103,-6.385,0.563,-0.007,-0.185,0.001,FALL
-7.205,-6.377,0.513,0.002,-0.048,0.075,FALL
-7.426,-6.48,0.442,-0.014,0.038,0.02,FALL
-7.302,-6.292,0.49,-0.11,0.13,0.049,FALL
-7.301,-6.219,0.423,0.094,-0.017,-0.004,FALL
-7.214,-6.298,0.512,0.051,-0.012,-0.044,FALL
-7.385,-6.191,0.606,-0.013,-0.032,0.008,FALL
-7.197,-6.25,0.466,-0.037,-0.001,0.038,FALL
-7.339,-6.397,0.588,0.041,0.02,0.002,FALL
-7.189,-6.273,0.522,0.04,-0.034,-0.013,FALL
-7.138,-6.318,0.429,-0.008,-0.047,0.045,FALL
-7.191,-6.462,0.531,0.055,0.023,0.017,FALL
-7.233,-6.373,0.625,-0.136,-0.072,-0.035,FALL
-7.132,-6.201,0.59,0.089,0.007,0.049,FALL
-7.223,-6.415,0.567,0.049,-0.021,0.023,FALL
-7.287,-6.293,0.647,0.002,-0.004,-0.112,FALL
-7.528,-6.162,0.404,-0.053,0.056,0.111,FALL
-7.277,-6.538,0.535,-0.054,-0.051,-0.075,FALL
-7.231,-6.439,0.617,0.018,0.016,0.068,FALL
-7.351,-6.275,0.552,-0.062,0.054,-0.078,FALL
-7.206,-6.222,0.467,-0.104,-0.018,0.018,FALL
-7.119,-6.267,0.498,0.111,0.064,-0.004,FALL
-7.154,-6.396,0.442,-0.008,0.028,0.007,FALL
-7.423,-6.269,0.31,0.117,0.034,0.049,FALL
-7.27,-6.423,0.46,-0.024,-0.016,0.022,FALL
-7.191,-6.323,0.497,0.165,-0.123,0.116,FALL
-7.018,-6.38,0.576,0.191,-0.109,0.062,FALL
-6.966,-6.569,0.517,0.166,-0.186,0.189,FALL
-6.876,-6.6,0.822,0.421,-0.292,0.221,FALL
-6.731,-6.494,0.725,0.58,-0.367,0.252,FALL
-6.736,-6.497,0.944,0.698,-0.495,0.437,FALL
-6.596,-6.918,0.887,1.054,-0.687,0.527,FALL
-6.214,-7.094,1.127,1.312,-0.985,0.737,FALL
-6.081,-7.209,1.076,1.825,-1.286,0.975,FALL
-5.684,-7.428,1.421,2.3,-1.615,1.271,FALL
-5.288,-7.891,1.569,2.733,-1.995,1.483,FALL
-4.979,-8.061,1.601,3.371,-2.438,1.866,FALL
-4.327,-8.397,1.958,3.879,-2.833,2.143,FALL
-3.972,-8.636,2.117,4.271,-3.16,2.411,FALL
-3.645,-9.04,2.123,4.762,-3.436,2.588,FALL
-3.401,-9.224,2.383,5.248,-3.758,2.792,FALL
