acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-6.244,-6.294,0.423,0.689,-0.035,0.368,JOG
-6.054,-5.77,1.143,0.961,0.528,0.668,JOG
-6.194,-5.78,2.0,1.1,0.907,0.909,JOG
-6.351,-5.694,2.526,1.085,1.244,0.737,JOG
-6.51,-5.515,2.754,0.969,1.46,0.205,JOG
-6.871,-5.782,2.67,0.846,1.512,-0.355,JOG
-7.252,-5.576,2.788,0.529,1.4,-0.79,JOG
-7.73,-5.723,2.166,0.239,1.186,-0.902,JOG
-7.964,-6.133,1.871,-0.104,0.77,-0.693,JOG
-8.245,-6.284,1.078,-0.534,0.42,-0.238,JOG
-8.406,-6.69,0.171,-0.763,-0.147,0.354,JOG
-8.352,-7.053,-0.23,-0.973,-0.551,0.878,JOG
-8.348,-6.984,-0.317,-1.153,-0.99,0.761,JOG
-8.097,-7.204,-0.277,-1.096,-1.322,0.596,JOG
-8.029,-7.228,-0.345,-0.949,-1.474,0.044,JOG
-7.91,-7.159,-0.184,-0.752,-1.472,-0.384,JOG
-7.242,-6.957,-0.598,-0.436,-1.302,-0.781,JOG
-6.775,-6.791,-0.178,-0.138,-1.12,-0.83,JOG
-6.616,-6.579,-0.139,0.223,-0.747,-0.539,JOG
-6.483,-6.514,0.235,0.574,-0.288,-0.041,JOG
-6.125,-6.234,0.916,0.787,0.287,0.518,JOG
-6.25,-6.15,1.624,1.015,0.685,0.731,JOG
-6.01,-5.595,2.114,1.072,1.054,0.855,JOG
-6.416,-5.754,2.415,1.044,1.349,0.494,JOG
-6.639,-5.676,2.785,0.908,1.52,-0.065,JOG
-7.008,-5.755,2.89,0.665,1.431,-0.623,JOG
-7.393,-5.961,2.695,0.409,1.324,-0.861,JOG
-7.707,-6.041,2.19,0.067,1.006,-0.801,JOG
-8.162,-6.227,1.569,-0.283,0.646,-0.474,JOG
-8.313,-6.441,0.613,-0.587,0.05,0.02,JOG
-8.649,-6.572,0.003,-0.956,-0.384,0.648,JOG
-8.427,-7.04,-0.144,-1.076,-0.745,0.807,JOG
-8.362,-7.196,-0.254,-1.145,-1.162,0.726,JOG
-8.272,-7.142,-0.104,-1.03,-1.377,0.356,JOG
-7.738,-7.318,-0.283,-0.847,-1.507,-0.113,JOG
-7.407,-7.219,-0.229,-0.708,-1.469,-0.673,JOG
-7.015,-6.836,-0.318,-0.333,-1.261,-0.92,JOG
-6.938,-6.737,-0.294,0.082,-0.87,-0.666,JOG
-6.5,-6.736,-0.321,0.422,-0.517,-0.309,JOG
-6.087,-6.25,0.484,0.654,0.044,0.248,JOG
-6.307,-6.032,1.1,0.904,0.538,0.744,JOG
-6.064,-5.805,1.873,1.02,0.887,0.858,JOG
-6.265,-5.696,2.411,1.144,1.18,0.728,JOG
-6.493,-5.543,2.813,1.037,1.448,0.298,JOG
-6.812,-5.359,2.826,0.813,1.526,-0.415,JOG
-6.954,-5.706,2.783,0.565,1.354,-0.746,JOG
-7.658,-5.979,2.696,0.224,1.184,-0.875,JOG
-7.931,-6.009,1.852,-0.181,0.832,-0.653,JOG
-8.362,-6.387,1.057,-0.434,0.42,-0.206,JOG
-8.314,-6.691,0.106,-0.762,-0.092,0.339,JOG
-8.679,-6.895,-0.132,-0.917,-0.605,0.882,JOG
-8.557,-6.929,-0.297,-1.092,-0.979,0.902,JOG
-8.325,-7.346,-0.364,-1.077,-1.284,0.593,JOG
-8.162,-7.176,-0.271,-1.042,-1.46,0.097,JOG
-7.826,-7.217,-0.297,-0.729,-1.442,-0.393,JOG
-7.347,-7.078,-0.336,-0.458,-1.447,-0.873,JOG
