acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-6.648,-6.308,0.402,0.694,-0.131,0.373,JOG
-6.531,-6.109,1.241,0.909,0.512,0.675,JOG
-6.572,-5.742,1.779,1.159,1.017,0.947,JOG
-6.501,-5.719,2.682,1.022,1.273,0.516,JOG
-6.768,-5.717,2.849,0.898,1.467,-0.025,JOG
-7.124,-5.811,2.792,0.64,1.434,-0.603,JOG
-7.42,-5.97,2.622,0.333,1.318,-0.951,JOG
-7.826,-6.052,1.922,-0.073,0.961,-0.705,JOG
-8.463,-6.35,0.979,-0.415,0.267,-0.312,JOG
-8.614,-6.621,0.487,-0.814,-0.157,0.413,JOG
-8.274,-6.84,-0.18,-0.936,-0.678,0.728,JOG
-8.527,-7.156,-0.226,-1.101,-1.159,0.93,JOG
-8.195,-7.235,-0.221,-0.985,-1.35,0.506,JOG
-8.004,-7.158,-0.232,-0.964,-1.493,-0.227,JOG
-7.638,-7.077,-0.417,-0.736,-1.489,-0.687,JOG
-7.331,-7.051,-0.476,-0.329,-1.163,-0.939,JOG
-6.897,-6.758,-0.244,0.116,-0.761,-0.694,JOG
-6.511,-6.517,0.03,0.478,-0.339,-0.0,JOG
-6.232,-6.089,0.639,0.839,0.334,0.431,JOG
-6.309,-5.81,1.928,0.963,0.608,0.802,JOG
-6.383,-5.712,2.398,1.212,1.164,0.718,JOG
-6.57,-5.534,2.957,0.99,1.418,0.384,JOG
-6.63,-5.729,3.035,0.721,1.511,-0.286,JOG
-7.312,-5.801,2.538,0.585,1.326,-0.85,JOG
-7.556,-5.851,2.471,0.069,1.12,-0.946,JOG
-7.944,-5.944,1.437,-0.232,0.717,-0.541,JOG
-8.297,-6.309,0.801,-0.541,0.283,-0.089,JOG
-8.611,-6.807,0.008,-0.884,-0.279,0.541,JOG
-8.58,-7.327,-0.147,-1.065,-0.809,0.855,JOG
-8.483,-7.203,-0.23,-1.032,-1.143,0.727,JOG
-8.268,-7.506,-0.189,-1.016,-1.451,0.295,JOG
-7.969,-7.33,-0.481,-0.862,-1.426,-0.382,JOG
-7.613,-7.215,-0.324,-0.365,-1.291,-0.774,JOG
-7.202,-7.028,-0.147,-0.08,-1.075,-0.84,JOG
-6.777,-6.496,-0.335,0.269,-0.651,-0.49,JOG
-6.244,-6.338,0.639,0.696,-0.212,0.0,JOG
-6.499,-6.02,1.268,0.984,0.444,0.721,JOG
-6.302,-5.775,1.775,1.151,0.938,0.841,JOG
-6.466,-5.78,2.597,0.965,1.254,0.627,JOG
-6.47,-5.407,2.657,0.978,1.487,0.079,JOG
-6.992,-5.605,2.757,0.74,1.439,-0.433,JOG
-7.406,-5.851,2.713,0.491,1.381,-0.928,JOG
-7.895,-5.954,2.085,0.037,1.0,-0.849,JOG
-8.409,-6.249,1.477,-0.356,0.494,-0.418,JOG
-8.455,-6.38,0.46,-0.565,0.031,0.188,JOG
-8.697,-6.878,-0.393,-0.895,-0.53,0.702,JOG
-8.473,-7.159,-0.189,-1.056,-0.982,0.948,JOG
-8.188,-7.376,-0.252,-1.066,-1.381,0.598,JOG
-8.119,-7.227,-0.149,-0.954,-1.513,0.017,JOG
-7.707,-7.205,-0.032,-0.63,-1.429,-0.609,JOG
-7.326,-6.948,-0.064,-0.402,-1.256,-0.912,JOG
-7.012,-6.937,-0.319,0.16,-0.931,-0.706,JOG
-6.445,-6.439,-0.171,0.389,-0.448,-0.257,JOG
-6.369,-6.111,0.533,0.783,0.115,0.324,JOG
-6.02,-6.05,1.618,0.887,0.668,0.814,JOG
-6.45,-5.68,2.282,0.993,1.06,0.742,JOG
-6.743,-5.778,2.496,1.062,1.393,0.494,JOG
-6.812,-5.543,3.028,0.97,1.47,-0.096,JOG
-7.162,-5.644,2.939,0.579,1.322,-0.61,JOG
-7.896,-5.779,2.389,0.224,1.282,-0.916,JOG
-7.956,-6.029,1.902,-0.166,0.724,-0.731,JOG
-8.331,-6.24,0.918,-0.437,0.321,-0.111,JOG
-8.518,-6.745,0.066,-0.752,-0.204,0.505,JOG
-8.515,-7.185,-0.201,-0.998,-0.679,0.946,JOG
-8.532,-7.264,-0.167,-1.198,-1.14,0.791,JOG
-8.487,-7.136,-0.425,-0.974,-1.319,0.204,JOG
-7.956,-7.491,-0.477,-0.907,-1.495,-0.33,JOG
-7.678,-7.395,-0.296,-0.613,-1.382,-0.746,JOG
-6.981,-6.992,-0.077,-0.229,-1.158,-0.879,JOG
-6.853,-6.723,-0.424,0.219,-0.738,-0.576,JOG
-6.71,-6.439,0.358,0.55,-0.221,-0.002,JOG
-6.386,-6.049,0.923,0.811,0.368,0.536,JOG
-6.262,-5.984,1.884,1.046,0.806,0.831,JOG
-6.608,-5.477,2.345,1.145,1.135,0.72,JOG
-6.722,-5.503,2.96,1.009,1.459,0.193,JOG
-7.076,-5.537,2.966,0.831,1.638,-0.446,JOG
-7.238,-5.574,2.527,0.407,1.337,-0.825,JOG
-8.051,-5.988,2.196,0.119,1.042,-0.78,JOG
-8.145,-6.243,1.345,-0.416,0.637,-0.489,JOG
-8.639,-6.544,0.581,-0.654,0.147,0.137,JOG
-8.834,-6.892,-0.104,-0.924,-0.474,0.575,JOG
-8.503,-6.871,-0.122,-1.057,-0.878,0.846,JOG
-8.498,-7.366,-0.008,-1.153,-1.24,0.662,JOG
-8.171,-7.362,-0.408,-0.988,-1.441,0.03,JOG
-7.983,-7.113,-0.323,-0.802,-1.407,-0.456,JOG
-7.31,-7.204,-0.382,-0.386,-1.311,-0.866,JOG
-6.774,-6.893,-0.21,-0.064,-0.963,-0.759,JOG
-6.458,-6.452,-0.204,0.347,-0.558,-0.327,JOG
-6.464,-6.054,0.692,0.748,0.013,0.363,JOG
-6.456,-5.947,1.152,0.892,0.442,0.883,JOG
-6.395,-5.826,2.099,1.053,0.877,0.77,JOG
-6.318,-5.772,2.561,1.063,1.292,0.539,JOG
-6.78,-5.574,3.09,0.917,1.575,0.012,JOG
-7.323,-5.489,3.134,0.713,1.591,-0.604,JOG
-7.583,-5.809,2.564,0.29,1.328,-1.009,JOG
-7.9,-6.151,2.178,0.019,0.932,-0.744,JOG
-8.078,-6.459,1.142,-0.358,0.415,-0.201,JOG
-8.436,-6.811,0.265,-0.631,-0.138,0.35,JOG
-8.492,-6.666,-0.057,-0.886,-0.561,0.813,JOG
-8.631,-7.1,-0.133,-1.068,-1.1,0.975,JOG
-8.402,-7.253,-0.088,-1.061,-1.46,0.525,JOG
-8.115,-7.261,-0.285,-0.87,-1.465,-0.034,JOG
-7.711,-7.302,-0.191,-0.663,-1.54,-0.726,JOG
-7.178,-6.95,-0.345,-0.243,-1.204,-0.85,JOG
-6.967,-6.747,-0.095,0.098,-0.771,-0.648,JOG
-6.415,-6.623,0.025,0.439,-0.324,-0.059,JOG
-6.205,-6.241,0.797,0.785,0.231,0.587,JOG
-6.244,-6.113,1.822,0.937,0.838,0.821,JOG
-6.325,-5.927,2.327,0.999,1.183,0.808,JOG
-6.728,-5.667,2.872,0.99,1.427,0.408,JOG
-6.902,-5.628,3.144,0.841,1.522,-0.265,JOG
-7.449,-5.602,2.664,0.579,1.41,-0.759,JOG
-7.893,-5.806,2.212,0.115,1.137,-0.912,JOG
-8.292,-6.505,1.535,-0.146,0.745,-0.516,JOG
-8.609,-6.46,0.867,-0.601,0.212,0.014,JOG
-8.485,-6.965,-0.003,-0.868,-0.397,0.633,JOG
-8.761,-6.947,0.016,-1.035,-0.811,0.936,JOG
-8.5,-6.988,-0.217,-0.962,-1.296,0.72,JOG
-8.387,-7.126,-0.311,-0.928,-1.376,0.334,JOG
-7.911,-7.247,-0.268,-0.842,-1.5,-0.391,JOG
-7.466,-6.994,-0.085,-0.461,-1.409,-0.671,JOG
-7.172,-6.774,-0.263,-0.208,-1.009,-0.814,JOG
-6.674,-6.643,-0.226,0.347,-0.707,-0.533,JOG
-6.249,-6.071,0.428,0.566,-0.117,0.064,JOG
