acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-6.376,-6.34,0.546,0.784,-0.017,0.283,JOG
-6.259,-6.16,1.447,0.893,0.481,0.804,JOG
-6.188,-5.724,1.943,1.117,0.919,0.911,JOG
-6.555,-5.814,2.189,1.047,1.316,0.647,JOG
-6.641,-5.753,2.811,0.993,1.523,0.246,JOG
-7.243,-5.646,2.828,0.757,1.488,-0.341,JOG
-7.314,-5.758,2.641,0.47,1.265,-0.889,JOG
-8.112,-6.076,2.155,0.156,1.105,-0.766,JOG
-7.957,-6.543,1.27,-0.252,0.647,-0.572,JOG
-8.225,-6.557,0.924,-0.594,0.251,-0.009,JOG
-8.823,-6.872,0.121,-0.803,-0.292,0.566,JOG
-8.6,-7.228,-0.487,-1.078,-0.672,0.884,JOG
-8.564,-7.052,-0.11,-1.104,-1.103,0.878,JOG
-8.325,-7.333,-0.152,-0.966,-1.415,0.351,JOG
-8.276,-7.283,-0.354,-1.089,-1.421,-0.071,JOG
-7.464,-7.281,-0.39,-0.624,-1.453,-0.667,JOG
-7.691,-7.061,-0.09,-0.354,-1.197,-0.913,JOG
-7.057,-6.721,-0.101,0.063,-0.958,-0.793,JOG
-6.917,-6.464,-0.254,0.38,-0.442,-0.373,JOG
-6.204,-6.283,0.146,0.668,0.014,0.23,JOG
-6.347,-5.895,1.28,0.919,0.524,0.688,JOG
-6.134,-5.87,2.033,1.014,0.817,0.851,JOG
-6.364,-5.772,2.582,1.155,1.216,0.689,JOG
-6.637,-5.7,2.949,0.886,1.515,0.187,JOG
-6.92,-5.714,2.852,0.744,1.552,-0.446,JOG
-7.448,-5.754,2.73,0.553,1.373,-0.743,JOG
-7.889,-5.995,2.237,0.041,1.089,-1.0,JOG
-8.119,-6.284,1.899,-0.174,0.727,-0.617,JOG
-8.709,-6.545,0.882,-0.55,0.239,-0.074,JOG
-8.679,-7.041,0.268,-0.773,-0.276,0.552,JOG
-8.994,-6.843,-0.136,-1.079,-0.676,0.883,JOG
-8.705,-7.178,-0.403,-1.11,-1.167,0.784,JOG
-8.418,-7.18,0.017,-0.987,-1.404,0.432,JOG
-8.339,-7.273,-0.061,-0.866,-1.536,-0.088,JOG
-7.825,-7.019,-0.394,-0.674,-1.455,-0.673,JOG
-7.528,-6.985,-0.119,-0.294,-1.278,-0.918,JOG
-6.929,-6.968,-0.285,0.03,-0.894,-0.792,JOG
-6.691,-6.352,-0.348,0.456,-0.457,-0.322,JOG
-6.195,-6.468,0.441,0.661,-0.016,0.208,JOG
-6.075,-5.839,1.344,0.936,0.587,0.654,JOG
-6.182,-5.999,1.807,1.117,0.872,0.971,JOG
-6.529,-5.815,2.298,1.125,1.225,0.787,JOG
-6.835,-5.626,2.946,1.091,1.455,0.198,JOG
-6.949,-5.769,3.127,0.804,1.467,-0.423,JOG
-7.449,-5.626,2.61,0.486,1.317,-0.809,JOG
-7.91,-5.921,2.449,0.051,1.075,-0.847,JOG
-8.475,-6.083,1.88,-0.28,0.654,-0.618,JOG
-8.394,-6.426,1.104,-0.564,0.214,-0.023,JOG
-8.645,-6.875,0.232,-0.888,-0.139,0.428,JOG
-8.812,-7.241,-0.118,-1.038,-0.569,0.923,JOG
-8.672,-7.321,-0.487,-1.115,-1.152,0.814,JOG
-8.493,-7.55,-0.268,-1.061,-1.26,0.547,JOG
-7.999,-7.42,0.018,-0.93,-1.453,-0.177,JOG
-7.623,-7.215,-0.22,-0.594,-1.443,-0.685,JOG
-7.207,-6.883,-0.257,-0.405,-1.301,-0.866,JOG
-7.086,-6.937,-0.368,-0.052,-1.01,-0.777,JOG
-6.442,-6.513,-0.202,0.316,-0.511,-0.373,JOG
-6.521,-6.232,0.711,0.789,0.062,0.268,JOG
-6.189,-6.176,1.265,0.98,0.527,0.791,JOG
-6.436,-5.762,1.894,1.01,0.892,0.826,JOG
-6.458,-5.779,2.471,1.062,1.165,0.674,JOG
-6.667,-6.046,2.531,1.033,1.477,0.143,JOG
-6.794,-5.698,3.076,0.811,1.506,-0.379,JOG
-7.513,-5.841,2.607,0.422,1.407,-0.829,JOG
-7.753,-6.082,2.279,0.125,1.048,-0.812,JOG
-7.896,-5.976,1.67,-0.224,0.742,-0.527,JOG
-8.37,-6.249,1.112,-0.511,0.263,0.039,JOG
-8.791,-6.626,0.269,-0.847,-0.245,0.49,JOG
-8.56,-7.071,-0.279,-1.005,-0.711,0.892,JOG
-8.597,-7.21,-0.25,-1.145,-1.088,0.852,JOG
-8.349,-7.139,0.017,-1.096,-1.345,0.511,JOG
-7.745,-7.213,-0.152,-0.904,-1.508,-0.047,JOG
-7.658,-7.256,-0.133,-0.628,-1.394,-0.727,JOG
-7.372,-7.046,-0.332,-0.286,-1.263,-0.886,JOG
-7.008,-6.956,-0.299,0.025,-0.899,-0.808,JOG
-6.686,-6.808,-0.345,0.365,-0.445,-0.374,JOG
-6.248,-6.297,0.669,0.689,-0.069,0.242,JOG
-6.153,-5.967,1.425,0.94,0.458,0.681,JOG
-6.275,-5.863,1.958,1.122,0.908,0.911,JOG
-6.52,-5.437,2.683,1.022,1.314,0.727,JOG
-6.728,-5.945,2.694,0.934,1.385,0.233,JOG
-6.925,-5.722,2.681,0.718,1.559,-0.286,JOG
-7.355,-5.785,2.497,0.483,1.371,-0.853,JOG
-7.692,-5.975,2.063,0.183,1.174,-0.923,JOG
-8.012,-6.152,1.508,-0.2,0.804,-0.518,JOG
-8.474,-6.876,0.86,-0.598,0.317,-0.062,JOG
-8.44,-6.646,0.434,-0.892,-0.217,0.548,JOG
-8.404,-7.032,-0.165,-1.039,-0.712,0.918,JOG
-8.444,-7.381,0.052,-1.144,-1.123,0.838,JOG
-8.289,-7.381,-0.092,-1.036,-1.335,0.546,JOG
-8.379,-7.226,-0.166,-0.924,-1.454,-0.048,JOG
-7.744,-7.156,-0.479,-0.674,-1.444,-0.619,JOG
-7.192,-7.025,-0.313,-0.341,-1.339,-0.908,JOG
-7.163,-6.912,-0.119,0.052,-0.903,-0.755,JOG
-6.519,-6.619,-0.148,0.291,-0.505,-0.361,JOG
-6.403,-6.299,0.573,0.757,-0.015,0.263,JOG
-6.337,-6.083,1.205,0.921,0.419,0.745,JOG
-6.129,-5.884,1.699,1.053,0.903,0.805,JOG
-6.592,-5.625,2.454,1.082,1.299,0.698,JOG
-6.746,-5.733,2.855,0.929,1.431,0.191,JOG
-7.178,-5.78,3.001,0.807,1.523,-0.324,JOG
-7.241,-5.847,2.613,0.493,1.314,-0.805,JOG
-7.809,-5.892,2.247,0.213,1.101,-0.818,JOG
-8.274,-6.276,1.668,-0.199,0.734,-0.631,JOG
-7.987,-6.291,0.893,-0.57,0.232,-0.088,JOG
-8.624,-6.94,0.067,-0.836,-0.374,0.417,JOG
-8.835,-7.11,-0.148,-1.047,-0.733,0.835,JOG
-8.625,-7.192,-0.236,-1.065,-1.089,0.888,JOG
-8.794,-7.368,-0.115,-1.023,-1.329,0.431,JOG
-8.133,-7.264,-0.265,-0.872,-1.513,-0.195,JOG
-7.81,-7.359,-0.424,-0.602,-1.448,-0.615,JOG
-7.604,-7.011,-0.108,-0.321,-1.301,-0.932,JOG
-6.819,-7.183,-0.293,0.014,-0.936,-0.791,JOG
-6.775,-6.652,-0.294,0.371,-0.587,-0.348,JOG
-6.538,-6.307,0.675,0.672,0.022,0.235,JOG
-6.14,-6.244,1.032,0.974,0.414,0.742,JOG
-6.426,-5.927,1.915,1.071,0.858,0.862,JOG
-6.595,-5.858,2.617,1.07,1.254,0.69,JOG
-6.817,-5.627,2.715,1.001,1.464,0.27,JOG
-6.873,-5.669,2.769,0.744,1.419,-0.349,JOG
-7.35,-5.781,2.694,0.492,1.365,-0.801,JOG
-7.572,-6.07,2.261,0.147,1.049,-0.854,JOG
-8.209,-6.222,1.739,-0.21,0.742,-0.477,JOG
-8.146,-6.687,1.106,-0.562,0.229,-0.047,JOG
-8.637,-6.837,0.115,-0.858,-0.235,0.5,JOG
-8.666,-7.036,-0.223,-1.081,-0.697,0.912,JOG
-8.602,-7.149,-0.073,-1.092,-1.072,0.933,JOG
-8.35,-6.926,-0.099,-1.055,-1.294,0.44,JOG
-8.295,-7.359,0.024,-0.892,-1.48,-0.084,JOG
-7.687,-7.371,-0.252,-0.528,-1.481,-0.553,JOG
-7.587,-7.452,-0.26,-0.349,-1.339,-0.909,JOG
-7.001,-6.894,-0.487,0.042,-0.966,-0.801,JOG
-6.854,-6.497,-0.272,0.36,-0.455,-0.348,JOG
-6.346,-6.514,0.31,0.67,0.016,0.34,JOG
