acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.231,-6.263,0.478,-0.008,-0.005,0.006,JUM
-7.405,-6.268,0.398,0.033,-0.02,-0.057,JUM
-7.37,-6.18,0.479,-0.025,0.085,0.046,JUM
-7.314,-6.231,0.594,-0.032,-0.073,0.084,JUM
-7.303,-6.218,0.616,-0.018,0.006,-0.1,JUM
-7.415,-6.552,0.513,-0.016,-0.039,0.005,JUM
-7.259,-6.497,0.517,-0.06,0.042,0.071,JUM
-7.517,-6.313,0.568,0.107,0.037,-0.055,JUM
-7.303,-6.452,0.528,0.048,-0.113,0.074,JUM
-7.3,-6.298,0.386,-0.09,-0.093,0.042,JUM
-7.224,-6.309,0.513,0.048,0.089,-0.044,JUM
-7.168,-6.222,0.445,0.06,0.088,-0.06,JUM
-7.298,-6.29,0.545,0.011,0.031,0.012,JUM
-7.423,-6.225,0.634,0.006,0.005,0.005,JUM
-7.208,-6.363,0.562,0.086,-0.039,0.093,JUM
-7.314,-6.317,0.568,0.003,-0.01,-0.064,JUM
-7.131,-6.242,0.456,-0.014,0.044,0.027,JUM
-7.348,-6.398,0.451,0.112,0.013,-0.049,JUM
-7.474,-6.392,0.57,0.167,0.025,-0.068,JUM
-7.487,-6.233,0.933,0.15,0.102,-0.016,JUM
-7.377,-6.306,1.034,0.266,-0.0,-0.031,JUM
-7.293,-6.321,1.461,0.482,0.005,-0.057,JUM
-7.318,-6.396,1.65,0.655,0.069,0.005,JUM
-7.346,-6.564,2.355,1.158,-0.048,0.034,JUM
-7.235,-6.534,3.019,1.351,0.008,0.018,JUM
-7.344,-6.342,3.414,1.691,0.011,-0.041,JUM
-7.246,-6.379,3.866,1.791,-0.005,-0.033,JUM
-7.28,-6.177,3.789,1.896,0.017,0.006,JUM
-7.379,-6.365,3.798,1.895,-0.036,-0.035,JUM
-7.39,-6.359,3.53,1.657,0.044,0.02,JUM
-7.435,-6.327,3.018,1.416,0.006,-0.057,JUM
-7.26,-6.356,2.75,1.045,0.131,-0.006,JUM
-7.267,-6.357,2.036,0.639,-0.015,0.043,JUM
-7.331,-6.185,1.687,0.444,0.203,-0.005,JUM
-7.298,-6.29,1.662,0.319,0.179,-0.036,JUM
-7.39,-6.405,2.079,0.212,0.232,0.0,JUM
-7.309,-6.558,2.219,0.074,0.492,0.024,JUM
-7.235,-6.398,2.864,0.101,0.604,-0.102,JUM
-7.328,-6.357,3.523,-0.05,0.78,0.053,JUM
-7.554,-6.614,4.106,0.015,0.984,0.008,JUM
-7.317,-6.315,4.947,-0.029,1.107,-0.054,JUM
-7.393,-6.365,5.566,0.018,1.326,-0.045,JUM
-7.274,-6.476,5.801,-0.001,1.482,-0.004,JUM
-7.278,-6.274,5.996,-0.055,1.49,-0.02,JUM
-7.393,-6.37,5.863,-0.017,1.426,0.0,JUM
-7.241,-6.291,5.463,0.061,1.424,0.039,JUM
-7.33,-6.268,4.87,-0.031,1.121,-0.066,JUM
-7.347,-6.44,4.118,-0.116,0.961,0.02,JUM
-7.264,-6.502,3.458,-0.017,0.735,-0.046,JUM
-7.356,-6.178,2.858,-0.065,0.61,-0.02,JUM
-7.244,-6.179,2.06,0.049,0.435,0.039,JUM
-7.222,-6.258,1.52,-0.011,0.301,0.039,JUM
-7.331,-6.266,1.308,0.028,0.196,0.006,JUM
-7.313,-6.261,1.026,-0.026,0.083,-0.061,JUM
-7.388,-6.302,0.728,-0.042,0.083,0.017,JUM
-7.349,-6.308,0.638,0.008,0.02,0.013,JUM
-7.184,-6.559,0.423,0.03,0.012,-0.044,JUM
-7.29,-6.188,0.505,-0.054,-0.106,0.039,JUM
-7.321,-6.332,0.299,0.036,-0.069,0.054,JUM
-7.402,-6.243,0.43,0.006,-0.067,0.031,JUM
-7.343,-6.446,0.695,-0.071,-0.003,-0.006,JUM
-7.282,-6.442,0.561,-0.065,0.021,0.058,JUM
-7.4,-6.392,0.45,0.035,-0.018,0.097,JUM
-7.322,-6.245,0.381,0.034,0.073,-0.06,JUM
-7.188,-6.27,0.405,0.002,0.085,0.005,JUM
-7.184,-6.238,0.622,-0.02,0.003,0.031,JUM
-7.425,-6.436,0.683,-0.009,0.004,-0.04,JUM
-7.565,-6.302,0.451,0.029,0.019,0.028,JUM
-7.372,-6.542,0.556,0.045,-0.009,-0.027,JUM
-7.444,-6.318,0.7,0.144,0.045,-0.094,JUM
-7.285,-6.226,0.974,0.277,0.031,-0.038,JUM
-7.306,-6.22,1.333,0.479,0.001,0.046,JUM
-7.236,-6.275,1.771,0.828,-0.002,0.002,JUM
-7.345,-6.467,2.296,1.066,0.109,0.071,JUM
-7.447,-6.428,2.889,1.456,-0.002,0.079,JUM
-7.353,-6.214,3.473,1.553,0.02,-0.004,JUM
-7.403,-6.28,3.653,1.752,-0.054,0.061,JUM
-7.403,-6.493,3.935,1.868,-0.036,-0.023,JUM
-7.122,-6.169,3.648,1.822,-0.024,0.119,JUM
-7.45,-6.266,3.678,1.664,-0.043,-0.075,JUM
-7.315,-6.521,2.955,1.408,0.003,0.102,JUM
-7.297,-6.318,2.351,1.064,0.073,0.037,JUM
-7.283,-6.433,2.045,0.788,0.091,0.029,JUM
-7.302,-6.417,1.737,0.552,0.051,0.012,JUM
-7.212,-6.366,1.737,0.335,0.198,-0.007,JUM
-7.445,-6.321,1.851,0.234,0.403,-0.046,JUM
-7.14,-6.378,2.426,0.081,0.47,-0.017,JUM
-7.417,-6.355,2.703,0.098,0.559,0.001,JUM
-7.362,-6.326,3.489,0.08,0.859,0.03,JUM
-7.372,-6.361,4.162,0.096,1.03,0.033,JUM
-7.22,-6.446,4.937,-0.055,1.143,-0.051,JUM
-7.437,-6.427,5.358,0.028,1.334,0.025,JUM
-7.156,-6.316,5.811,-0.005,1.451,-0.01,JUM
-7.241,-6.312,6.064,-0.087,1.569,-0.034,JUM
-7.22,-6.461,5.918,-0.02,1.574,-0.081,JUM
-7.477,-6.363,5.514,0.073,1.287,0.006,JUM
-7.217,-6.486,4.875,0.014,1.129,-0.047,JUM
-7.492,-6.368,4.187,0.005,0.999,-0.025,JUM
-7.408,-6.459,3.361,-0.033,0.84,-0.09,JUM
-7.277,-6.217,2.623,-0.004,0.513,0.093,JUM
-7.371,-6.324,2.153,-0.046,0.465,-0.008,JUM
-7.163,-6.389,1.663,-0.002,0.331,-0.015,JUM
-7.233,-6.394,1.298,-0.013,0.291,-0.054,JUM
-7.353,-6.372,1.02,-0.025,0.122,0.03,JUM
-7.204,-6.306,0.802,0.023,0.018,0.019,JUM
-7.359,-6.368,0.809,-0.056,0.034,0.019,JUM
-7.333,-6.291,0.535,0.051,-0.077,-0.03,JUM
-7.283,-6.088,0.341,-0.05,-0.022,0.046,JUM
-7.414,-6.454,0.434,-0.002,0.02,0.002,JUM
-7.424,-6.433,0.595,0.095,0.003,0.059,JUM
-7.216,-6.314,0.57,0.04,-0.026,0.104,JUM
-7.341,-6.297,0.514,-0.033,0.075,0.046,JUM
-7.187,-6.455,0.352,0.044,0.087,0.056,JUM
-7.438,-6.221,0.631,-0.002,0.092,0.001,JUM
-7.123,-6.329,0.435,0.07,-0.107,0.079,JUM
-7.393,-6.424,0.587,-0.049,0.055,-0.025,JUM
-7.192,-6.561,0.536,0.029,0.016,-0.013,JUM
-7.417,-6.306,0.641,0.025,0.015,0.004,JUM
-7.261,-6.243,0.596,0.014,0.008,-0.001,JUM
-7.272,-6.34,0.798,0.192,0.018,0.018,JUM
-7.331,-6.375,1.096,0.277,-0.009,0.053,JUM
-7.234,-6.471,1.367,0.467,0.016,-0.054,JUM
-7.592,-6.382,1.989,0.833,0.081,-0.042,JUM
-7.217,-6.333,2.288,1.02,-0.069,-0.031,JUM
-7.368,-6.313,2.783,1.338,0.026,0.032,JUM
-7.479,-6.243,3.439,1.576,0.05,-0.075,JUM
-7.354,-6.32,3.762,1.794,-0.009,0.02,JUM
-7.39,-6.42,3.895,1.843,0.115,-0.005,JUM
-7.252,-6.244,3.759,1.878,0.043,-0.054,JUM
-7.345,-6.266,3.479,1.636,-0.015,-0.094,JUM
-7.372,-6.432,2.936,1.25,0.041,0.042,JUM
-7.211,-6.255,2.575,1.029,-0.039,-0.032,JUM
-7.301,-6.48,1.999,0.754,0.002,0.022,JUM
-7.327,-6.277,1.774,0.506,0.051,-0.093,JUM
-7.113,-6.315,1.732,0.333,0.097,-0.087,JUM
