acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.257,-6.507,0.483,0.012,0.025,0.072,JUM
-7.373,-6.342,0.685,0.032,-0.017,-0.03,JUM
-7.531,-6.304,0.446,0.041,-0.013,0.002,JUM
-7.468,-6.42,0.719,-0.008,-0.104,0.038,JUM
-7.525,-6.353,0.613,0.055,-0.055,0.031,JUM
-7.289,-6.207,0.532,-0.013,0.032,0.053,JUM
-7.373,-6.309,0.53,-0.113,0.019,-0.033,JUM
-7.117,-6.421,0.517,-0.047,-0.063,-0.003,JUM
-7.275,-6.418,0.579,-0.083,0.043,0.019,JUM
-7.32,-6.339,0.549,-0.071,-0.033,-0.055,JUM
-7.168,-6.429,0.442,-0.002,-0.075,-0.022,JUM
-7.408,-6.555,0.446,-0.088,0.069,-0.001,JUM
-7.299,-6.284,0.513,0.032,0.02,-0.045,JUM
-7.496,-6.497,0.36,-0.001,-0.005,0.013,JUM
-7.485,-6.529,0.455,-0.007,0.044,0.054,JUM
-7.178,-6.331,0.535,0.061,0.062,0.085,JUM
-7.501,-6.321,0.622,0.063,-0.033,-0.031,JUM
-7.14,-6.669,0.623,-0.009,-0.069,0.046,JUM
-7.179,-6.46,0.632,0.091,-0.048,-0.07,JUM
-7.31,-6.366,0.748,0.091,0.044,-0.098,JUM
-7.26,-6.273,0.941,0.413,-0.065,-0.038,JUM
-7.45,-6.346,1.363,0.5,-0.005,0.065,JUM
-7.372,-6.467,1.881,0.676,-0.055,-0.028,JUM
-7.224,-6.379,2.218,1.01,-0.003,0.083,JUM
-7.551,-6.395,2.945,1.357,0.059,0.016,JUM
-7.446,-6.381,3.131,1.619,-0.055,0.012,JUM
-7.237,-6.203,3.802,1.808,-0.052,0.012,JUM
-7.411,-6.384,3.98,1.932,-0.072,0.064,JUM
-7.461,-6.212,3.799,1.831,0.037,0.116,JUM
-7.484,-6.27,3.574,1.546,0.06,0.006,JUM
-7.377,-6.519,3.314,1.316,-0.006,0.012,JUM
-7.303,-6.352,2.542,1.037,0.063,-0.012,JUM
-7.631,-6.491,2.086,0.721,0.061,0.003,JUM
-7.361,-6.267,1.785,0.477,0.17,0.011,JUM
-7.298,-6.198,1.751,0.274,0.166,-0.022,JUM
-7.292,-6.431,1.729,0.205,0.253,0.052,JUM
-7.401,-6.459,2.311,0.161,0.415,-0.017,JUM
-7.364,-6.503,2.549,0.064,0.632,0.003,JUM
-7.294,-6.409,3.273,0.056,0.756,0.039,JUM
-7.404,-6.3,4.047,-0.008,0.943,-0.014,JUM
-7.389,-6.329,4.768,-0.001,1.233,0.0,JUM
-7.306,-6.191,5.467,0.023,1.359,0.041,JUM
-7.307,-6.283,6.058,-0.024,1.48,-0.056,JUM
-7.477,-6.269,5.854,-0.013,1.477,-0.072,JUM
-7.387,-6.369,5.756,-0.062,1.497,0.065,JUM
-7.471,-6.366,5.239,0.012,1.326,-0.036,JUM
-7.409,-6.335,4.816,-0.017,1.183,0.032,JUM
-7.203,-6.551,4.091,-0.025,1.056,0.052,JUM
-7.502,-6.412,3.453,0.029,0.778,0.003,JUM
-7.345,-6.296,2.675,-0.047,0.571,0.025,JUM
-7.411,-6.548,1.932,0.007,0.482,0.087,JUM
-7.238,-6.151,1.596,-0.057,0.266,-0.075,JUM
-7.376,-6.385,1.322,0.024,0.187,-0.023,JUM
-7.342,-6.292,0.741,0.048,0.199,0.035,JUM
-7.336,-6.318,0.791,-0.015,0.028,-0.031,JUM
