acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.394,-6.309,0.409,-0.024,-0.008,-0.028,JUM
-7.219,-6.282,0.322,-0.036,0.018,0.034,JUM
-7.266,-6.327,0.545,0.051,0.015,0.037,JUM
-7.39,-6.389,0.474,-0.022,0.068,0.026,JUM
-7.329,-6.299,0.434,0.004,0.012,0.018,JUM
-7.52,-6.269,0.183,0.033,-0.031,-0.038,JUM
-7.338,-6.396,0.677,-0.036,-0.071,0.029,JUM
-7.164,-6.268,0.531,-0.0,-0.006,0.042,JUM
-7.467,-6.412,0.463,0.051,-0.027,0.024,JUM
-7.529,-6.387,0.257,-0.029,0.027,0.017,JUM
-7.093,-6.411,0.708,-0.009,-0.007,-0.025,JUM
-7.446,-6.204,0.646,0.049,0.021,0.007,JUM
-7.369,-6.56,0.584,0.015,0.029,-0.056,JUM
-7.128,-6.309,0.458,0.056,0.008,0.004,JUM
-7.39,-6.533,0.402,0.038,0.076,0.021,JUM
-7.372,-6.413,0.508,-0.028,-0.011,-0.066,JUM
-7.346,-6.464,0.371,0.052,0.066,-0.026,JUM
-7.287,-6.32,0.289,0.054,-0.001,0.023,JUM
-7.263,-6.288,0.514,0.01,-0.042,0.109,JUM
-7.053,-6.21,0.713,0.157,0.01,0.005,JUM
-7.436,-6.313,1.146,0.276,-0.007,-0.025,JUM
-7.205,-6.383,1.312,0.547,0.029,0.05,JUM
-7.362,-6.163,1.744,0.751,-0.04,0.044,JUM
-7.323,-6.358,2.305,1.055,0.043,0.079,JUM
-7.388,-6.387,2.981,1.32,0.046,0.019,JUM
-7.495,-6.444,3.624,1.728,-0.027,0.01,JUM
-7.442,-5.957,3.64,1.909,-0.071,-0.054,JUM
-7.349,-6.397,3.883,1.893,-0.043,0.09,JUM
-7.302,-6.376,3.793,1.792,0.018,-0.061,JUM
-7.164,-6.372,3.596,1.653,-0.043,0.089,JUM
-7.153,-6.385,2.971,1.346,0.022,0.028,JUM
-7.148,-6.38,2.6,0.951,0.078,-0.016,JUM
-7.276,-6.423,2.2,0.703,0.138,-0.064,JUM
-7.116,-6.294,2.016,0.461,0.096,0.09,JUM
-7.299,-6.189,1.676,0.331,0.183,-0.025,JUM
-7.395,-6.206,1.882,0.146,0.349,0.019,JUM
-7.212,-6.368,2.397,0.14,0.441,0.018,JUM
