acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.218,-0.288,9.83,-0.045,0.015,-0.005,LYI
0.148,-0.375,9.569,-0.023,-0.008,0.08,LYI
0.113,-0.387,9.744,0.009,-0.007,0.008,LYI
0.369,-0.443,9.931,-0.062,-0.028,0.012,LYI
0.298,-0.413,9.965,0.007,0.018,0.051,LYI
0.363,-0.165,9.95,-0.009,0.045,-0.002,LYI
0.164,-0.191,9.607,0.051,0.03,0.043,LYI
0.337,-0.207,9.93,0.014,-0.063,-0.007,LYI
0.288,-0.355,9.889,-0.03,0.004,-0.021,LYI
-0.063,-0.43,10.227,0.002,0.043,-0.005,LYI
0.244,-0.256,9.664,0.037,-0.037,0.034,LYI
0.157,-0.477,9.778,0.105,-0.01,0.059,LYI
0.022,-0.337,9.711,0.007,0.008,-0.041,LYI
0.147,-0.453,10.012,0.12,0.051,0.023,LYI
0.336,-0.287,9.767,-0.042,0.072,0.008,LYI
0.157,-0.251,9.884,-0.012,0.081,0.053,LYI
0.281,-0.348,9.957,-0.064,0.048,-0.019,LYI
0.215,-0.375,10.156,0.077,0.083,0.027,LYI
0.123,-0.243,9.859,0.075,0.11,-0.001,LYI
0.058,-0.621,9.837,0.024,-0.003,0.033,LYI
0.246,-0.223,9.869,-0.038,-0.01,-0.013,LYI
0.274,-0.25,9.665,0.025,-0.005,0.072,LYI
0.214,-0.541,9.938,0.0,-0.016,0.017,LYI
0.342,-0.377,10.012,-0.095,0.009,0.05,LYI
0.205,-0.468,10.102,0.075,0.008,0.054,LYI
0.274,-0.303,9.592,0.068,-0.027,0.09,LYI
0.099,-0.275,9.8,0.009,-0.032,0.103,LYI
0.319,-0.189,10.123,0.021,-0.001,0.035,LYI
0.169,-0.522,9.907,0.015,0.037,0.096,LYI
0.103,-0.418,9.664,-0.056,0.016,0.13,LYI
0.118,-0.199,9.782,0.061,-0.048,0.002,LYI
0.298,-0.265,9.77,0.066,-0.034,0.081,LYI
0.084,-0.087,9.82,0.029,0.064,0.033,LYI
0.347,-0.354,9.634,-0.024,0.028,0.057,LYI
0.357,-0.357,9.881,-0.079,-0.013,-0.006,LYI
0.104,-0.25,9.921,-0.043,-0.037,-0.003,LYI
0.432,-0.422,9.78,0.049,0.004,0.056,LYI
0.132,-0.446,9.768,0.076,-0.07,0.069,LYI
0.255,-0.216,9.734,-0.02,-0.045,0.064,LYI
0.078,-0.496,9.8,0.011,-0.048,0.143,LYI
0.158,-0.135,9.633,0.048,0.049,0.046,LYI
0.354,-0.401,9.867,-0.039,0.076,0.094,LYI
-0.004,-0.464,9.823,0.034,0.058,0.092,LYI
0.182,-0.159,9.973,0.023,0.056,0.038,LYI
0.301,-0.283,10.06,-0.063,-0.033,0.051,LYI
0.3,-0.323,9.954,0.101,0.093,0.033,LYI
0.078,-0.305,9.821,-0.021,0.034,0.041,LYI
0.102,-0.048,9.812,0.01,-0.022,0.064,LYI
0.026,-0.217,9.867,-0.003,-0.122,0.079,LYI
0.122,-0.333,9.911,-0.029,-0.002,0.041,LYI
0.242,-0.003,9.814,0.003,0.021,-0.004,LYI
0.128,-0.212,9.665,-0.047,-0.016,0.095,LYI
0.082,-0.374,9.813,0.008,-0.035,-0.014,LYI
0.345,-0.339,10.043,0.055,-0.006,0.04,LYI
0.168,-0.232,9.893,-0.025,-0.09,0.064,LYI
-0.009,-0.256,9.791,0.013,0.0,0.065,LYI
0.067,-0.346,9.951,0.069,-0.079,0.029,LYI
-0.006,-0.17,9.795,-0.008,-0.061,0.045,LYI
0.199,-0.237,9.952,-0.023,-0.064,0.048,LYI
0.107,-0.245,10.077,-0.061,0.043,0.058,LYI
0.171,-0.121,9.903,0.02,0.12,0.091,LYI
-0.001,-0.276,9.836,-0.026,0.091,0.084,LYI
-0.048,-0.498,9.928,-0.007,-0.033,0.075,LYI
0.4,-0.417,9.98,-0.055,-0.048,0.119,LYI
0.106,-0.322,9.942,-0.077,-0.036,0.049,LYI
0.291,-0.557,10.109,-0.003,0.011,0.116,LYI
0.225,-0.1,9.924,-0.009,-0.04,0.02,LYI
0.388,-0.287,10.148,-0.063,0.004,0.152,LYI
0.211,-0.259,9.743,0.082,-0.085,0.03,LYI
0.271,-0.61,9.807,0.001,-0.01,0.092,LYI
0.117,-0.291,9.82,0.043,0.043,0.036,LYI
0.113,-0.209,9.878,0.012,0.042,0.072,LYI
0.053,-0.282,9.939,-0.065,0.014,0.051,LYI
0.25,-0.316,9.927,0.029,-0.016,0.112,LYI
0.08,-0.256,9.816,-0.031,-0.005,0.156,LYI
0.141,-0.494,9.962,-0.041,0.009,0.106,LYI
0.025,-0.391,9.801,-0.034,0.01,-0.014,LYI
0.072,-0.066,10.09,-0.02,-0.074,0.067,LYI
0.218,-0.102,9.958,0.015,0.085,0.017,LYI
0.191,-0.405,9.635,0.043,0.07,0.141,LYI
0.193,-0.134,9.771,-0.002,-0.002,0.067,LYI
0.098,-0.246,9.711,0.034,0.066,0.134,LYI
0.09,-0.364,9.909,-0.077,0.012,0.037,LYI
0.313,-0.321,9.648,-0.025,0.068,0.03,LYI
0.091,-0.367,9.765,-0.015,0.016,0.04,LYI
0.119,-0.221,9.912,-0.087,0.009,-0.029,LYI
0.083,-0.282,9.995,-0.043,0.059,0.008,LYI
0.313,-0.211,9.995,0.025,0.049,0.059,LYI
0.148,-0.468,9.855,0.028,0.049,0.078,LYI
0.315,-0.533,9.851,-0.077,-0.059,0.178,LYI
0.148,-0.453,9.705,-0.06,0.094,0.079,LYI
0.098,-0.439,9.73,0.061,0.003,-0.015,LYI
0.16,-0.157,9.907,0.037,-0.055,0.107,LYI
0.29,-0.161,10.12,0.004,-0.03,0.064,LYI
0.212,-0.442,10.176,-0.054,-0.044,0.09,LYI
0.388,-0.419,9.69,-0.029,0.02,0.131,LYI
0.446,-0.206,9.897,-0.099,-0.034,-0.021,LYI
0.026,-0.529,9.853,0.022,-0.047,0.093,LYI
0.376,-0.409,9.775,-0.077,0.023,-0.08,LYI
0.136,-0.287,9.764,0.04,-0.015,0.018,LYI
0.466,-0.285,9.676,-0.024,-0.025,-0.017,LYI
-0.04,-0.336,9.615,-0.069,0.024,0.015,LYI
0.256,-0.286,9.797,0.013,-0.019,0.056,LYI
0.199,-0.046,9.75,0.015,-0.023,0.042,LYI
0.055,-0.495,9.892,0.053,-0.017,0.055,LYI
-0.018,-0.167,9.752,-0.042,-0.005,0.024,LYI
0.245,-0.028,9.703,0.044,0.015,-0.005,LYI
0.042,-0.309,9.849,0.036,0.013,0.094,LYI
0.187,-0.3,9.752,-0.039,0.015,0.025,LYI
0.209,-0.008,9.621,0.004,-0.018,0.07,LYI
0.399,-0.294,9.331,-0.028,-0.027,0.014,LYI
-0.008,-0.199,9.866,0.02,0.027,0.031,LYI
0.065,-0.201,9.909,0.026,-0.056,-0.055,LYI
0.277,-0.203,9.961,-0.003,0.043,0.096,LYI
0.152,-0.287,9.726,0.013,-0.077,-0.0,LYI
0.197,-0.188,9.614,-0.045,0.05,0.033,LYI
0.37,-0.35,9.719,-0.012,0.057,0.028,LYI
0.354,-0.437,9.576,-0.022,-0.003,0.013,LYI
0.062,-0.284,9.586,-0.112,0.027,-0.048,LYI
0.392,-0.309,9.787,-0.032,-0.114,-0.013,LYI
0.392,-0.376,9.82,-0.019,0.065,-0.026,LYI
0.004,-0.322,9.734,0.005,-0.087,-0.053,LYI
0.238,-0.318,9.844,0.038,-0.019,-0.083,LYI
