acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.174,-0.534,9.811,0.027,0.018,0.033,LYI
-0.077,-0.085,9.777,-0.04,-0.038,-0.056,LYI
0.187,-0.19,9.629,-0.039,0.028,-0.018,LYI
0.147,-0.265,9.728,-0.008,0.027,-0.022,LYI
0.331,-0.293,9.854,0.029,0.063,-0.03,LYI
0.039,-0.304,9.887,-0.041,-0.061,-0.067,LYI
0.045,-0.25,9.648,-0.001,-0.025,0.078,LYI
0.062,-0.325,9.652,-0.013,-0.046,0.028,LYI
0.023,-0.303,9.625,-0.001,-0.006,-0.027,LYI
0.269,-0.228,9.918,0.029,-0.028,-0.016,LYI
0.31,-0.231,9.692,-0.031,-0.089,0.038,LYI
0.042,-0.311,9.897,-0.027,0.068,-0.002,LYI
0.239,-0.534,9.753,-0.022,-0.0,0.076,LYI
0.071,-0.463,9.762,-0.033,0.041,0.043,LYI
0.136,-0.237,9.972,-0.055,-0.052,0.013,LYI
0.29,-0.078,9.798,0.033,0.031,0.028,LYI
0.218,-0.23,10.043,-0.003,-0.045,-0.079,LYI
0.383,-0.232,9.887,0.045,-0.035,0.009,LYI
0.101,-0.361,10.071,-0.031,0.001,0.013,LYI
0.067,-0.058,9.898,-0.031,0.066,0.179,LYI
0.343,-0.397,9.792,-0.057,-0.047,0.034,LYI
0.33,-0.114,9.859,-0.082,-0.061,0.047,LYI
0.204,-0.329,9.918,-0.025,-0.012,0.164,LYI
0.174,-0.198,9.796,-0.017,0.008,0.023,LYI
0.113,-0.127,9.969,0.001,-0.089,0.005,LYI
0.186,-0.465,9.994,0.03,0.046,-0.059,LYI
0.288,-0.305,9.81,-0.085,0.069,0.083,LYI
0.332,-0.403,9.946,0.036,-0.023,-0.03,LYI
0.097,-0.314,9.787,0.068,0.008,0.088,LYI
0.348,-0.187,9.773,-0.017,-0.082,0.001,LYI
0.394,-0.214,9.954,0.008,0.065,0.036,LYI
0.084,-0.279,9.831,0.028,0.002,0.067,LYI
0.253,-0.512,9.75,-0.012,-0.014,0.089,LYI
0.087,0.026,10.008,-0.001,0.002,0.046,LYI
0.057,-0.271,9.984,0.11,0.057,0.094,LYI
-0.137,-0.136,9.761,-0.093,-0.045,-0.053,LYI
