acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.191,-0.264,9.692,0.019,-0.005,0.029,LYI
0.248,-0.264,9.928,0.023,-0.048,-0.002,LYI
0.338,-0.556,9.811,0.069,-0.037,-0.068,LYI
0.366,-0.309,10.055,-0.114,-0.023,-0.116,LYI
0.037,-0.157,9.895,-0.002,-0.089,0.037,LYI
-0.163,-0.447,9.85,0.029,-0.026,-0.025,LYI
0.402,-0.121,9.953,0.015,0.006,0.027,LYI
0.414,-0.358,9.818,-0.019,-0.007,0.008,LYI
0.113,-0.26,9.927,0.001,-0.056,-0.045,LYI
0.205,-0.199,9.829,-0.001,-0.068,0.015,LYI
0.272,-0.064,9.642,-0.003,0.048,0.068,LYI
0.26,-0.637,9.995,0.007,0.125,0.083,LYI
0.214,-0.465,10.022,0.087,-0.03,-0.045,LYI
0.134,-0.125,9.768,0.021,-0.057,-0.023,LYI
0.254,-0.4,9.934,0.064,0.001,-0.071,LYI
0.492,-0.207,9.802,0.073,-0.073,0.063,LYI
0.206,-0.455,9.936,0.036,-0.047,0.018,LYI
0.219,-0.363,10.142,-0.01,-0.082,0.015,LYI
0.409,-0.311,10.195,-0.042,-0.042,0.021,LYI
0.217,-0.411,9.738,-0.022,-0.053,0.059,LYI
0.382,-0.483,10.088,0.019,-0.101,-0.081,LYI
0.293,-0.311,9.966,-0.037,0.059,0.019,LYI
0.382,-0.293,10.054,-0.085,-0.132,0.044,LYI
0.125,-0.27,9.943,-0.062,-0.08,0.068,LYI
0.241,-0.544,10.077,0.089,-0.022,0.08,LYI
0.212,-0.395,9.873,0.028,-0.005,-0.008,LYI
0.253,-0.215,9.913,-0.047,0.012,0.059,LYI
0.18,-0.032,10.217,0.069,0.019,0.023,LYI
0.151,-0.175,9.989,-0.074,-0.047,-0.025,LYI
-0.182,-0.097,9.871,0.108,-0.016,0.006,LYI
0.408,-0.18,9.773,-0.041,0.102,0.041,LYI
-0.065,-0.449,9.874,0.057,0.035,0.04,LYI
0.242,-0.351,9.694,0.083,0.033,0.047,LYI
0.344,-0.352,10.331,0.009,-0.039,0.073,LYI
0.248,-0.128,9.942,-0.09,0.02,0.061,LYI
0.166,-0.056,9.621,-0.103,0.063,0.091,LYI
0.024,-0.224,9.84,0.013,-0.012,-0.061,LYI
0.14,-0.296,9.898,-0.054,0.045,0.004,LYI
0.257,-0.409,9.675,0.006,-0.001,0.023,LYI
-0.007,-0.356,10.029,-0.077,0.062,0.044,LYI
0.128,-0.069,10.007,-0.092,0.067,0.005,LYI
0.423,-0.396,9.939,0.015,-0.035,0.067,LYI
0.266,-0.344,10.18,-0.06,0.025,0.054,LYI
0.469,0.031,9.899,-0.029,-0.032,0.054,LYI
0.192,-0.172,9.89,0.023,0.067,0.005,LYI
0.075,-0.348,9.81,0.007,-0.027,0.051,LYI
0.12,-0.264,9.935,-0.115,0.026,0.035,LYI
0.051,-0.533,9.905,-0.012,-0.057,0.071,LYI
0.559,-0.426,9.641,0.069,0.034,0.035,LYI
-0.0,-0.255,9.79,-0.064,0.069,0.058,LYI
0.024,-0.251,9.921,0.011,0.034,0.034,LYI
0.189,-0.648,10.007,0.033,0.082,0.091,LYI
0.602,-0.084,10.015,-0.078,-0.051,0.041,LYI
0.217,-0.327,9.85,0.06,0.031,-0.038,LYI
0.285,-0.072,9.839,0.051,0.018,0.032,LYI
0.281,-0.345,9.743,-0.094,0.068,0.012,LYI
0.231,-0.154,10.249,-0.049,-0.065,0.051,LYI
0.1,-0.556,9.893,0.014,0.026,0.027,LYI
0.283,-0.27,9.963,0.035,0.006,0.223,LYI
0.31,-0.241,10.154,0.005,0.029,0.043,LYI
0.291,-0.287,9.967,-0.054,-0.039,0.137,LYI
0.028,-0.272,9.661,-0.094,-0.148,0.054,LYI
-0.023,-0.142,9.74,0.012,-0.023,0.076,LYI
0.338,-0.18,10.042,0.058,0.046,-0.047,LYI
0.445,-0.64,9.819,0.066,0.056,0.015,LYI
0.033,-0.122,10.055,-0.048,0.047,0.165,LYI
0.424,-0.444,9.778,-0.032,0.032,0.146,LYI
0.177,-0.373,9.691,-0.002,-0.007,0.141,LYI
0.011,-0.399,9.934,-0.033,-0.099,0.089,LYI
0.23,-0.102,9.947,-0.006,-0.057,0.063,LYI
0.447,-0.226,9.939,0.021,-0.011,0.033,LYI
0.255,-0.257,9.727,-0.077,-0.045,-0.006,LYI
-0.006,-0.402,9.864,-0.012,0.027,0.011,LYI
0.202,-0.374,9.806,-0.035,-0.026,0.008,LYI
0.029,-0.473,9.875,0.14,-0.034,0.127,LYI
0.154,-0.364,10.429,-0.111,0.015,0.069,LYI
0.268,-0.404,9.837,0.001,-0.009,0.07,LYI
0.285,-0.251,9.935,0.046,0.003,0.106,LYI
0.052,-0.188,10.156,0.072,-0.053,0.124,LYI
0.034,-0.416,9.989,-0.104,0.044,0.163,LYI
0.068,-0.513,10.117,-0.009,-0.071,0.037,LYI
0.454,-0.295,9.927,0.069,-0.058,-0.029,LYI
0.613,-0.384,9.733,-0.048,-0.102,0.04,LYI
0.135,-0.239,9.958,0.001,0.034,0.141,LYI
0.298,-0.291,9.969,0.007,0.023,0.095,LYI
0.019,-0.334,9.956,-0.03,0.064,0.08,LYI
0.206,-0.299,9.814,0.022,0.021,-0.019,LYI
0.285,-0.413,9.804,-0.043,-0.093,0.015,LYI
0.059,-0.104,9.988,0.004,0.014,0.118,LYI
-0.125,-0.295,9.987,-0.04,-0.044,0.012,LYI
0.019,-0.304,9.74,0.075,-0.073,0.086,LYI
0.132,-0.157,10.146,0.01,-0.061,-0.033,LYI
0.056,-0.143,10.032,-0.066,0.014,0.003,LYI
0.195,-0.358,10.087,0.018,-0.06,0.046,LYI
0.477,-0.318,9.749,0.096,-0.01,0.03,LYI
0.234,-0.113,9.856,-0.011,-0.005,-0.009,LYI
0.247,-0.36,10.108,0.037,0.039,0.098,LYI
0.114,-0.401,9.908,-0.002,-0.054,0.052,LYI
0.213,-0.108,9.446,0.013,0.029,0.003,LYI
0.429,-0.197,9.582,-0.055,0.014,0.041,LYI
0.135,-0.243,9.78,0.034,0.069,0.032,LYI
0.153,-0.555,9.684,0.049,0.021,-0.045,LYI
0.208,-0.211,10.045,0.029,0.011,0.061,LYI
0.287,-0.676,9.783,0.029,0.035,-0.001,LYI
0.257,-0.249,9.877,-0.031,0.033,0.042,LYI
0.36,-0.334,9.847,0.014,0.022,0.007,LYI
0.334,-0.206,10.03,-0.045,-0.004,-0.027,LYI
-0.013,-0.225,9.937,0.008,-0.006,-0.016,LYI
