acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.542,-6.078,0.872,0.045,1.615,-0.04,RA
-7.022,-5.82,1.182,0.899,1.943,0.729,RA
-6.726,-6.064,1.293,1.63,1.948,1.293,RA
-6.568,-5.935,0.863,2.388,1.821,1.228,RA
-6.344,-6.307,0.93,2.688,1.514,0.617,RA
-6.671,-6.221,-0.167,2.818,1.018,-0.161,RA
-6.74,-6.477,0.044,2.549,0.38,-0.901,RA
-6.695,-6.278,-0.169,2.07,-0.297,-1.293,RA
-7.187,-6.54,0.022,1.354,-0.973,-1.142,RA
-7.328,-6.711,0.629,0.614,-1.444,-0.531,RA
-7.664,-6.747,0.991,-0.352,-1.81,0.299,RA
-7.937,-6.756,1.113,-1.224,-1.995,1.001,RA
-8.232,-6.541,0.89,-1.997,-2.018,1.346,RA
-8.315,-7.017,0.888,-2.482,-1.66,0.985,RA
-8.396,-6.943,0.25,-2.77,-1.363,0.434,RA
-8.343,-6.47,0.235,-2.687,-0.775,-0.426,RA
-8.325,-6.635,-0.351,-2.497,-0.111,-1.139,RA
-7.856,-6.566,0.075,-1.873,0.465,-1.283,RA
-7.979,-6.099,0.261,-1.09,1.144,-0.985,RA
-7.5,-6.117,0.559,-0.369,1.565,-0.197,RA
-7.289,-5.939,0.766,0.637,1.812,0.524,RA
-6.773,-5.947,1.125,1.484,1.994,1.156,RA
-6.68,-5.792,1.355,2.155,1.904,1.324,RA
-6.6,-6.223,0.788,2.658,1.627,0.796,RA
-6.532,-5.938,0.315,2.7,1.145,0.136,RA
-6.594,-6.264,0.04,2.682,0.551,-0.686,RA
-6.737,-6.391,-0.24,2.359,-0.01,-1.164,RA
-7.043,-6.57,0.128,1.784,-0.66,-1.25,RA
-7.011,-6.646,0.425,0.794,-1.274,-0.744,RA
-7.436,-6.746,0.69,-0.045,-1.726,0.052,RA
-7.637,-6.7,1.072,-0.902,-1.972,0.846,RA
-7.979,-7.049,1.165,-1.732,-2.001,1.258,RA
-8.12,-6.778,0.945,-2.385,-1.872,1.121,RA
-8.131,-6.777,0.546,-2.643,-1.45,0.6,RA
-8.509,-6.841,0.182,-2.817,-0.975,-0.141,RA
-8.231,-6.567,-0.258,-2.601,-0.306,-0.972,RA
-8.288,-6.301,-0.014,-2.064,0.326,-1.341,RA
-7.776,-6.396,0.161,-1.489,0.881,-1.115,RA
-7.584,-6.344,0.351,-0.525,1.454,-0.48,RA
-7.387,-5.971,0.581,0.4,1.779,0.381,RA
-6.913,-6.0,1.179,1.297,1.938,1.102,RA
-6.562,-6.063,0.985,1.897,2.024,1.309,RA
-6.631,-5.988,0.703,2.424,1.704,1.024,RA
-6.687,-6.245,0.355,2.768,1.296,0.369,RA
-6.661,-6.19,-0.128,2.721,0.78,-0.405,RA
-6.878,-6.309,-0.116,2.384,0.082,-0.982,RA
-6.784,-6.451,-0.002,1.858,-0.536,-1.228,RA
