acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.554,-6.286,0.766,-0.058,1.695,0.036,RA
-7.475,-6.034,0.853,0.606,1.918,0.561,RA
-6.917,-6.124,1.134,1.35,2.009,1.12,RA
-7.06,-6.025,1.177,1.901,1.941,1.344,RA
-6.734,-6.112,0.999,2.374,1.853,1.208,RA
-6.598,-6.152,0.71,2.702,1.551,0.866,RA
-6.562,-6.411,0.228,2.855,1.285,0.216,RA
-6.818,-6.467,-0.025,2.797,0.917,-0.334,RA
-6.723,-6.479,-0.257,2.563,0.3,-0.856,RA
-6.75,-6.538,-0.027,2.259,-0.145,-1.203,RA
-6.921,-6.349,0.049,1.795,-0.652,-1.283,RA
-7.142,-6.748,0.18,1.239,-1.077,-1.034,RA
-7.235,-6.836,0.346,0.606,-1.418,-0.596,RA
-7.574,-6.933,0.6,-0.077,-1.716,0.06,RA
-7.871,-6.972,0.975,-0.716,-1.908,0.754,RA
-8.118,-7.044,1.244,-1.452,-1.979,1.123,RA
-8.287,-6.857,1.129,-2.009,-2.032,1.251,RA
-8.286,-7.03,0.976,-2.307,-1.873,1.24,RA
-8.666,-7.074,0.634,-2.598,-1.564,0.825,RA
-8.771,-6.851,0.407,-2.836,-1.24,0.264,RA
-8.607,-7.038,0.115,-2.831,-0.795,-0.477,RA
-8.308,-6.754,-0.161,-2.546,-0.324,-0.923,RA
-8.311,-6.747,-0.221,-2.239,0.158,-1.254,RA
-7.946,-6.548,-0.19,-1.861,0.587,-1.181,RA
-8.196,-6.34,0.198,-1.162,1.058,-1.03,RA
-7.741,-6.374,0.567,-0.502,1.462,-0.47,RA
-7.771,-6.318,0.765,0.174,1.815,0.207,RA
-7.146,-6.219,1.083,0.804,1.976,0.708,RA
-6.93,-6.216,1.017,1.408,1.956,1.106,RA
-6.884,-6.073,1.178,2.024,2.0,1.276,RA
-6.778,-6.126,0.98,2.356,1.802,1.158,RA
-6.619,-6.31,0.548,2.686,1.541,0.689,RA
-6.587,-6.0,0.346,2.847,1.05,0.176,RA
-6.698,-6.367,-0.087,2.74,0.788,-0.479,RA
-6.605,-6.436,-0.175,2.452,0.342,-1.007,RA
-6.913,-6.501,-0.25,2.188,-0.256,-1.196,RA
-7.109,-6.702,0.14,1.771,-0.692,-1.259,RA
-7.07,-6.507,0.413,0.998,-1.13,-0.812,RA
-7.351,-6.79,0.692,0.444,-1.45,-0.38,RA
-7.838,-7.035,1.027,-0.257,-1.794,0.173,RA
-7.726,-7.135,1.059,-0.931,-1.982,0.802,RA
-8.234,-6.91,1.18,-1.555,-2.049,1.16,RA
-8.398,-6.965,0.972,-2.082,-1.944,1.386,RA
-8.388,-7.066,0.948,-2.411,-1.805,1.109,RA
-8.394,-7.104,0.607,-2.684,-1.479,0.768,RA
-8.568,-6.753,0.255,-2.763,-1.156,-0.016,RA
-8.529,-6.869,-0.087,-2.801,-0.695,-0.542,RA
-8.344,-6.656,-0.126,-2.516,-0.135,-1.112,RA
