acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.177,-6.244,0.749,0.031,1.681,0.016,RA
-6.875,-5.89,1.151,0.837,2.032,0.671,RA
-6.589,-5.952,0.903,1.67,1.986,1.215,RA
-6.564,-5.829,1.076,2.253,1.913,1.318,RA
-6.457,-6.038,0.573,2.638,1.513,0.772,RA
-6.183,-6.061,0.253,2.827,1.092,-0.004,RA
-6.445,-6.38,-0.022,2.657,0.482,-0.773,RA
-6.546,-6.26,-0.088,2.181,-0.116,-1.25,RA
-6.573,-6.502,-0.105,1.613,-0.693,-1.237,RA
-6.995,-6.54,0.35,0.849,-1.266,-0.723,RA
-7.186,-6.671,0.891,-0.065,-1.756,-0.056,RA
-7.441,-6.612,1.01,-0.857,-1.947,0.772,RA
-7.945,-6.831,1.102,-1.596,-1.981,1.222,RA
-8.07,-6.587,0.687,-2.241,-1.87,1.283,RA
-8.439,-6.67,0.398,-2.72,-1.575,0.751,RA
-8.182,-6.538,0.102,-2.821,-1.09,-0.044,RA
-8.21,-6.596,-0.216,-2.675,-0.506,-0.837,RA
-7.994,-6.298,-0.1,-2.207,0.151,-1.194,RA
-7.945,-6.533,-0.315,-1.711,0.806,-1.265,RA
-7.534,-5.961,0.415,-0.902,1.209,-0.72,RA
-7.222,-6.094,0.679,0.032,1.672,0.039,RA
-7.265,-6.118,1.047,0.76,1.93,0.798,RA
-6.68,-5.946,1.093,1.636,2.003,1.255,RA
-6.435,-5.896,0.99,2.275,1.86,1.267,RA
-6.226,-5.804,0.676,2.709,1.491,0.766,RA
-6.468,-6.017,0.445,2.788,1.123,0.066,RA
-6.214,-6.011,0.037,2.617,0.555,-0.711,RA
-6.398,-6.149,-0.247,2.287,-0.193,-1.327,RA
-6.496,-6.223,0.042,1.694,-0.756,-1.26,RA
-6.725,-6.719,0.368,0.883,-1.241,-0.691,RA
-7.219,-6.754,0.481,0.054,-1.613,0.019,RA
-7.576,-6.631,1.113,-0.851,-1.929,0.818,RA
-7.86,-6.639,1.165,-1.634,-2.077,1.254,RA
-7.929,-6.58,0.99,-2.28,-1.877,1.189,RA
-8.17,-6.758,0.828,-2.641,-1.596,0.707,RA
-8.18,-6.766,-0.014,-2.768,-1.092,-0.02,RA
-8.352,-6.535,-0.075,-2.654,-0.583,-0.724,RA
-8.254,-6.49,-0.11,-2.285,0.113,-1.205,RA
-7.802,-6.185,-0.143,-1.587,0.702,-1.243,RA
-7.468,-5.928,0.443,-0.874,1.176,-0.681,RA
-7.413,-5.871,0.977,-0.024,1.673,0.001,RA
-6.931,-6.199,0.874,0.819,2.011,0.751,RA
-6.832,-5.833,1.087,1.708,2.004,1.256,RA
-6.448,-5.877,0.858,2.284,1.847,1.259,RA
-6.401,-5.891,0.425,2.641,1.48,0.766,RA
-6.433,-6.015,0.371,2.769,1.138,0.012,RA
-6.212,-6.181,-0.221,2.568,0.441,-0.784,RA
-6.597,-6.439,-0.184,2.25,-0.142,-1.225,RA
-6.927,-6.559,0.129,1.715,-0.763,-1.2,RA
-6.807,-6.498,0.374,0.818,-1.297,-0.794,RA
-7.159,-6.725,0.686,-0.07,-1.701,0.016,RA
-7.288,-6.659,1.017,-0.836,-1.973,0.769,RA
-7.792,-6.802,1.194,-1.617,-2.014,1.243,RA
-7.969,-6.686,0.832,-2.262,-1.85,1.187,RA
-8.422,-6.435,0.698,-2.74,-1.539,0.759,RA
-8.216,-6.642,0.323,-2.891,-1.089,-0.007,RA
-8.196,-6.565,-0.306,-2.737,-0.57,-0.756,RA
-7.924,-6.404,-0.206,-2.224,0.146,-1.29,RA
-7.739,-6.138,-0.045,-1.615,0.784,-1.162,RA
-7.716,-5.924,0.457,-0.913,1.237,-0.806,RA
-7.269,-6.002,0.771,-0.01,1.72,-0.004,RA
-7.035,-6.037,1.002,0.854,1.984,0.754,RA
-6.624,-5.933,1.237,1.7,2.031,1.165,RA
-6.645,-5.714,0.976,2.307,1.764,1.272,RA
-6.489,-5.73,0.497,2.6,1.492,0.773,RA
-6.337,-6.14,0.161,2.836,1.089,-0.067,RA
-6.29,-6.09,-0.12,2.641,0.502,-0.765,RA
-6.478,-6.306,-0.006,2.352,-0.091,-1.277,RA
-6.674,-6.495,-0.031,1.647,-0.698,-1.264,RA
-7.047,-6.609,0.212,0.82,-1.303,-0.745,RA
-7.086,-6.728,0.662,0.048,-1.692,0.019,RA
-7.854,-6.687,1.007,-0.92,-1.958,0.795,RA
-7.844,-6.6,0.825,-1.678,-1.938,1.236,RA
-8.062,-6.619,0.959,-2.256,-1.897,1.236,RA
-8.325,-6.877,0.463,-2.679,-1.476,0.791,RA
-8.144,-6.358,0.4,-2.822,-1.113,-0.009,RA
-8.076,-6.586,-0.296,-2.668,-0.407,-0.809,RA
-8.322,-6.262,-0.194,-2.275,0.075,-1.281,RA
