acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.045,-6.086,0.615,-0.031,0.001,0.032,STD
-7.3,-6.52,0.519,-0.094,-0.05,0.101,STD
-7.274,-6.105,0.533,-0.019,0.009,0.009,STD
-7.043,-6.773,0.229,0.049,0.033,0.152,STD
-7.216,-6.459,0.344,0.022,-0.052,-0.032,STD
-7.252,-6.37,0.443,0.014,-0.015,0.002,STD
-7.226,-6.363,0.575,-0.088,0.064,0.108,STD
-7.151,-6.397,0.525,-0.013,-0.061,0.107,STD
-7.252,-6.473,0.54,0.005,0.011,0.045,STD
-7.326,-6.33,0.578,-0.029,0.017,-0.041,STD
-7.354,-6.258,0.52,0.063,0.066,0.084,STD
-7.014,-6.574,0.721,-0.031,0.109,0.13,STD
-7.098,-6.445,0.494,-0.009,0.041,0.076,STD
-7.457,-6.346,0.411,-0.047,-0.022,0.036,STD
-7.156,-6.339,0.308,0.068,0.087,0.056,STD
-7.119,-6.257,0.508,0.011,0.078,0.024,STD
-7.485,-6.191,0.338,0.041,0.043,0.127,STD
-7.421,-6.449,0.539,-0.044,-0.058,0.045,STD
-7.348,-6.302,0.554,-0.028,0.0,-0.0,STD
-7.362,-6.214,0.451,-0.097,-0.102,0.01,STD
-7.182,-6.55,0.319,0.074,-0.001,0.062,STD
-7.127,-6.226,0.422,-0.013,0.016,0.031,STD
-7.322,-6.451,0.62,-0.016,0.002,0.08,STD
-7.17,-6.15,0.272,0.07,0.07,0.017,STD
-7.245,-6.277,0.453,-0.014,-0.068,0.024,STD
-7.405,-6.18,0.331,-0.052,-0.077,0.114,STD
-7.306,-6.492,0.536,0.018,-0.022,0.072,STD
-7.179,-5.97,0.584,-0.003,-0.011,-0.03,STD
-7.344,-6.524,0.371,-0.043,-0.114,0.114,STD
-7.216,-6.239,0.521,-0.006,-0.043,0.081,STD
-7.605,-6.423,0.691,-0.012,0.071,0.127,STD
-7.377,-6.338,0.629,-0.05,0.019,0.116,STD
-7.659,-6.279,0.582,-0.077,-0.07,0.049,STD
-7.259,-6.287,0.584,0.037,-0.068,0.148,STD
-7.297,-6.123,0.501,-0.057,-0.047,0.05,STD
-7.393,-6.173,0.428,0.044,0.068,0.062,STD
-7.352,-5.971,0.233,-0.045,-0.035,0.038,STD
-7.549,-6.203,0.457,0.035,0.039,0.115,STD
-7.399,-6.734,0.638,0.029,-0.035,0.133,STD
-7.356,-6.097,0.5,-0.035,-0.08,0.166,STD
-7.316,-6.323,0.326,0.024,-0.041,0.047,STD
-7.35,-6.177,0.584,0.014,-0.009,0.0,STD
-7.487,-6.225,0.588,-0.106,-0.096,0.064,STD
-7.482,-6.193,0.72,-0.037,0.03,0.104,STD
-7.415,-6.68,0.541,0.012,0.053,0.07,STD
-7.402,-6.584,0.589,0.012,-0.018,0.072,STD
-7.085,-6.197,0.722,0.131,-0.019,0.131,STD
-7.494,-6.036,0.564,0.004,-0.012,0.203,STD
-7.496,-6.392,0.127,-0.007,-0.023,0.02,STD
-7.554,-6.288,0.535,0.029,0.01,0.108,STD
-7.439,-6.273,0.716,0.092,-0.051,0.108,STD
-7.51,-6.283,0.679,-0.086,-0.053,0.183,STD
-7.278,-6.264,0.478,-0.034,0.051,0.228,STD
-7.367,-6.635,0.319,0.004,0.014,0.161,STD
-7.302,-6.268,0.39,0.0,-0.071,0.132,STD
-7.298,-6.246,0.681,-0.067,0.049,0.116,STD
-7.43,-6.062,0.326,-0.053,0.022,0.246,STD
-7.561,-6.344,0.624,-0.067,0.022,0.117,STD
-7.017,-6.238,0.38,0.065,0.071,0.161,STD
-7.436,-6.189,0.223,-0.067,0.009,0.139,STD
-7.423,-6.357,0.302,0.085,0.027,0.136,STD
-7.372,-6.324,0.559,-0.08,-0.004,0.108,STD
-7.463,-6.222,0.389,-0.006,-0.06,0.115,STD
-7.482,-6.34,0.403,0.041,0.128,0.135,STD
-7.375,-6.184,0.583,0.024,-0.027,0.171,STD
-7.74,-6.117,0.459,-0.01,0.034,0.167,STD
-7.423,-6.356,0.281,-0.045,0.024,0.156,STD
-7.381,-6.334,0.77,0.034,-0.038,0.129,STD
-7.51,-6.176,0.262,0.04,0.02,0.143,STD
-7.45,-6.517,0.519,0.012,0.074,0.103,STD
-7.784,-6.296,0.415,-0.064,-0.065,0.159,STD
-7.343,-6.091,0.38,0.008,0.013,0.111,STD
-7.826,-6.086,0.43,0.025,0.031,0.16,STD
-7.315,-6.295,0.686,-0.067,0.051,0.152,STD
-7.227,-6.397,0.48,-0.016,-0.017,0.092,STD
-7.618,-6.392,0.534,0.021,0.004,0.136,STD
-7.718,-6.204,0.214,0.071,-0.102,0.078,STD
-7.36,-6.309,0.493,0.033,-0.106,0.048,STD
-7.287,-6.104,0.357,-0.069,0.007,0.05,STD
-7.336,-6.371,0.52,0.001,-0.093,0.108,STD
-7.465,-6.291,0.698,-0.017,0.045,0.017,STD
-7.519,-6.268,0.583,0.074,0.019,0.128,STD
-7.333,-6.255,0.652,0.017,-0.059,0.063,STD
-7.385,-6.369,0.685,-0.018,-0.064,0.193,STD
-7.562,-6.304,0.553,0.042,-0.021,0.116,STD
-7.485,-6.185,0.523,-0.098,0.088,0.072,STD
-7.377,-6.325,0.51,0.022,0.056,0.099,STD
-7.39,-6.388,0.644,0.041,-0.037,0.01,STD
-7.6,-6.354,0.678,0.002,-0.063,0.014,STD
-7.389,-6.235,0.563,-0.007,0.017,-0.019,STD
-7.487,-6.057,0.532,0.036,-0.038,0.061,STD
-7.549,-6.201,0.35,0.002,-0.071,0.05,STD
-7.421,-6.479,0.531,-0.042,-0.095,0.059,STD
-7.426,-6.289,0.368,0.018,-0.022,0.05,STD
-7.382,-6.603,0.339,-0.048,-0.012,0.08,STD
-7.649,-6.475,0.403,-0.048,0.064,0.029,STD
-7.6,-6.502,0.754,-0.03,-0.039,0.046,STD
-7.388,-6.181,0.409,-0.064,-0.019,0.002,STD
-7.395,-6.155,0.671,0.016,-0.037,0.132,STD
-7.455,-6.136,0.468,-0.073,0.005,0.021,STD
-7.578,-6.436,0.317,0.04,-0.074,0.065,STD
-7.456,-6.314,0.566,-0.083,-0.044,-0.007,STD
-7.598,-6.294,0.469,-0.009,-0.011,0.081,STD
-7.264,-6.196,0.566,-0.17,-0.056,0.095,STD
-7.502,-6.364,0.495,-0.035,0.024,0.109,STD
-7.558,-6.173,0.384,-0.01,-0.056,0.019,STD
-7.513,-6.58,0.436,0.014,0.021,-0.05,STD
-7.557,-6.443,0.531,0.015,0.084,-0.021,STD
-7.641,-6.113,0.441,-0.129,0.003,0.109,STD
-7.484,-6.012,0.495,-0.065,0.055,0.058,STD
-7.487,-6.354,0.29,-0.035,0.005,0.03,STD
-7.316,-6.182,0.5,0.013,-0.041,-0.031,STD
-7.714,-5.936,0.332,-0.006,0.062,-0.047,STD
-7.355,-6.106,0.764,-0.009,0.01,-0.016,STD
-7.534,-6.083,0.521,0.114,-0.009,-0.011,STD
-7.584,-6.46,0.355,0.019,-0.024,0.078,STD
-7.491,-6.299,0.643,0.068,0.011,0.086,STD
-7.666,-6.309,0.487,-0.044,-0.048,-0.012,STD
-7.753,-6.31,0.428,-0.025,-0.03,0.018,STD
-7.392,-6.161,0.544,-0.04,0.048,-0.058,STD
-7.314,-6.127,0.449,0.056,0.006,0.004,STD
-7.291,-5.919,0.41,-0.02,-0.064,-0.008,STD
-7.489,-6.282,0.399,-0.009,-0.13,-0.038,STD
-7.098,-5.878,0.331,-0.022,-0.026,-0.038,STD
-7.765,-6.072,0.319,0.099,-0.005,0.06,STD
-7.529,-6.204,0.642,0.034,0.05,0.083,STD
-7.383,-6.486,0.568,-0.071,0.031,-0.059,STD
-7.38,-5.964,0.493,-0.059,0.001,-0.07,STD
-7.378,-6.399,0.635,0.027,-0.026,-0.049,STD
-7.541,-6.105,0.585,0.031,0.006,-0.114,STD
-7.532,-6.137,0.486,0.062,-0.022,-0.068,STD
-7.53,-6.046,0.384,0.005,0.017,0.014,STD
-7.429,-6.137,0.518,-0.097,-0.002,-0.002,STD
-7.652,-6.369,0.378,0.023,0.036,-0.083,STD
-7.591,-6.23,0.305,-0.021,-0.012,-0.004,STD
-7.547,-6.177,0.74,-0.091,0.058,-0.135,STD
-7.423,-6.429,0.455,0.005,0.033,-0.062,STD
-7.424,-6.244,0.555,-0.058,-0.111,-0.111,STD
-7.497,-6.19,0.315,0.006,0.063,-0.028,STD
-7.692,-6.184,0.527,0.096,0.026,-0.127,STD
-7.395,-6.608,0.752,0.011,-0.018,-0.053,STD
-7.369,-6.163,0.275,-0.072,0.023,0.002,STD
-7.612,-6.182,0.613,0.063,0.025,-0.097,STD
-7.294,-6.251,0.785,-0.04,0.049,-0.017,STD
-7.304,-6.604,0.445,-0.064,-0.14,-0.11,STD
-7.4,-6.2,0.54,0.057,-0.013,-0.119,STD
-7.589,-6.216,0.523,0.1,0.037,-0.114,STD
-7.322,-6.328,0.434,0.01,0.009,-0.054,STD
-7.352,-6.169,0.395,0.008,-0.005,-0.127,STD
-7.656,-6.198,0.66,0.037,0.015,-0.192,STD
-7.217,-6.438,0.479,-0.008,0.127,-0.068,STD
-7.508,-6.498,0.319,0.09,0.026,-0.123,STD
-7.226,-6.516,0.463,-0.068,-0.028,-0.135,STD
-7.247,-6.187,0.504,0.057,0.106,-0.07,STD
-7.589,-6.046,1.012,0.01,-0.04,-0.174,STD
-7.543,-6.346,0.382,-0.058,-0.002,-0.017,STD
-7.472,-6.405,0.356,0.085,-0.062,-0.159,STD
-7.426,-6.225,0.785,-0.014,0.033,-0.024,STD
-7.175,-6.501,0.594,0.013,-0.08,-0.19,STD
-7.505,-6.47,0.657,0.023,-0.054,-0.082,STD
-7.532,-6.2,0.448,0.031,0.038,-0.091,STD
-7.331,-6.269,0.536,0.064,0.005,-0.075,STD
-7.136,-6.419,0.537,-0.039,-0.003,-0.156,STD
-7.344,-6.038,0.36,0.014,0.063,-0.168,STD
-7.364,-6.54,0.775,0.032,0.013,-0.066,STD
-7.604,-6.334,0.282,-0.04,-0.025,-0.109,STD
-7.452,-6.375,0.309,-0.066,-0.015,-0.108,STD
-7.276,-6.235,0.708,0.014,-0.008,-0.159,STD
-7.502,-6.244,0.355,-0.11,0.008,-0.168,STD
-7.407,-6.334,0.378,0.021,-0.007,0.005,STD
-7.548,-6.425,0.403,-0.0,-0.087,-0.187,STD
-7.377,-6.535,0.496,-0.033,-0.018,-0.162,STD
-7.84,-6.281,0.34,0.085,-0.045,-0.177,STD
-7.346,-6.187,0.627,-0.032,-0.019,-0.068,STD
-7.382,-6.305,0.506,0.072,0.075,-0.002,STD
-7.471,-6.548,0.492,0.093,-0.018,-0.125,STD
-7.294,-6.597,0.526,0.078,0.104,-0.056,STD
-7.461,-6.382,0.578,-0.033,-0.039,-0.131,STD
-7.317,-6.29,0.519,-0.006,-0.078,-0.176,STD
-7.459,-6.133,0.236,-0.033,0.041,-0.107,STD
