acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.156,-6.052,0.71,-0.072,0.007,-0.003,STD
-7.108,-6.354,0.623,0.017,-0.036,-0.011,STD
-7.378,-6.443,0.566,0.031,-0.033,-0.022,STD
-7.175,-6.351,0.435,-0.045,0.005,-0.009,STD
-7.225,-6.495,0.606,0.04,-0.039,0.046,STD
-7.253,-6.299,0.591,0.032,-0.081,-0.045,STD
-6.945,-6.304,0.4,-0.015,0.028,0.112,STD
-7.318,-6.21,0.574,0.036,0.01,0.03,STD
-7.323,-6.246,0.507,-0.032,0.04,-0.001,STD
-7.044,-6.162,0.089,-0.095,-0.02,0.052,STD
-7.292,-6.345,0.541,-0.072,0.05,-0.1,STD
-7.14,-6.483,0.494,-0.018,-0.009,0.053,STD
-7.137,-6.292,0.366,-0.003,0.048,-0.036,STD
-7.222,-6.481,0.608,-0.022,-0.031,0.048,STD
-7.329,-6.194,0.399,-0.013,-0.017,0.055,STD
-7.178,-6.258,0.447,0.001,0.046,0.036,STD
-7.238,-6.223,0.4,-0.029,-0.006,0.031,STD
-7.267,-6.24,0.489,-0.072,-0.028,0.091,STD
-7.224,-6.251,0.613,0.056,-0.049,0.053,STD
-7.2,-6.184,0.43,0.077,-0.071,0.061,STD
-7.216,-6.323,0.373,-0.001,0.033,0.024,STD
-7.08,-5.991,0.514,0.003,0.063,0.002,STD
-7.336,-6.288,0.447,-0.026,0.036,0.105,STD
-7.057,-6.384,0.584,-0.018,0.042,0.046,STD
-7.076,-6.278,0.499,-0.065,-0.118,0.146,STD
-7.109,-6.047,0.354,0.058,0.043,0.088,STD
-7.187,-6.169,0.342,-0.093,-0.021,0.089,STD
-7.077,-6.309,0.349,0.039,0.029,0.024,STD
-7.484,-6.303,0.659,-0.008,-0.021,0.128,STD
-7.365,-6.257,0.437,0.037,-0.08,0.024,STD
-7.121,-6.518,0.405,-0.01,-0.028,0.077,STD
-7.24,-6.366,0.417,-0.053,0.088,0.142,STD
-7.268,-6.232,0.654,-0.01,0.041,0.055,STD
-7.164,-6.291,0.504,-0.007,-0.032,0.152,STD
-7.272,-6.188,0.43,-0.017,-0.013,0.087,STD
-7.27,-6.072,0.508,0.001,-0.023,0.146,STD
-7.014,-6.335,0.716,0.035,0.035,0.116,STD
-7.384,-6.172,0.483,0.04,-0.052,0.096,STD
-7.281,-6.134,0.632,0.024,0.04,0.087,STD
-7.154,-6.411,0.563,-0.003,-0.017,0.07,STD
-7.019,-5.977,0.59,0.011,0.061,0.085,STD
-6.785,-6.225,0.401,0.037,-0.041,0.08,STD
-7.021,-6.019,0.362,-0.068,-0.028,0.109,STD
-7.47,-6.273,0.375,0.016,-0.001,0.143,STD
-7.178,-6.468,0.585,0.018,0.026,0.127,STD
-7.347,-6.16,0.419,0.052,0.019,0.135,STD
-7.008,-6.273,0.622,-0.042,-0.061,0.173,STD
-6.927,-6.101,0.558,0.025,-0.039,0.06,STD
-7.615,-6.292,0.528,0.03,0.009,0.147,STD
-7.455,-6.327,0.583,0.05,-0.025,0.038,STD
-7.21,-6.28,0.574,0.007,-0.055,0.163,STD
-7.18,-6.229,0.408,0.03,-0.009,0.203,STD
-7.546,-6.352,0.437,-0.072,-0.007,0.151,STD
-7.436,-6.33,0.387,-0.03,-0.001,0.152,STD
-7.137,-6.506,0.467,0.055,0.012,0.094,STD
-7.195,-6.076,0.348,-0.006,-0.049,0.086,STD
-7.398,-6.284,0.422,0.024,0.026,0.111,STD
-7.149,-6.283,0.437,-0.036,0.019,0.163,STD
