acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.507,-6.339,0.576,0.036,0.041,-0.087,STD
-7.226,-6.381,0.482,0.035,0.012,0.023,STD
-7.493,-6.36,0.403,0.048,-0.002,-0.001,STD
-7.667,-6.22,0.414,0.023,-0.003,-0.001,STD
-7.435,-6.323,0.318,-0.008,-0.099,0.059,STD
-7.474,-6.63,0.467,-0.021,-0.009,0.066,STD
-7.315,-6.373,0.356,0.02,0.149,-0.054,STD
-7.323,-6.434,0.407,0.041,0.035,0.136,STD
-7.243,-6.525,0.49,-0.054,0.009,0.126,STD
-7.632,-6.359,0.347,-0.031,-0.01,0.192,STD
-7.367,-6.479,0.332,-0.015,-0.04,-0.004,STD
-7.333,-6.137,0.565,0.034,0.029,0.104,STD
-7.459,-6.549,0.54,-0.02,0.098,0.091,STD
-7.769,-6.438,0.551,0.046,-0.011,0.117,STD
-7.183,-6.363,0.489,0.071,-0.041,0.001,STD
-7.495,-6.497,0.402,-0.013,0.01,0.156,STD
-7.372,-6.436,0.731,0.018,0.035,0.056,STD
-7.477,-6.3,0.594,-0.016,0.141,0.05,STD
-7.303,-6.479,0.342,0.004,-0.004,0.026,STD
-7.311,-6.4,0.755,-0.081,0.014,0.167,STD
-7.62,-6.176,0.671,-0.016,-0.078,0.104,STD
-7.193,-6.343,0.559,-0.013,0.081,0.07,STD
-7.396,-6.686,0.644,0.05,0.073,0.05,STD
-7.486,-6.3,0.301,0.034,0.01,0.117,STD
-7.809,-6.426,0.37,-0.016,-0.017,0.067,STD
-7.495,-6.297,0.484,-0.006,-0.019,0.024,STD
-7.4,-6.476,0.353,-0.035,0.057,0.081,STD
-7.499,-6.194,0.481,0.001,0.016,0.131,STD
-7.613,-6.572,0.504,0.061,0.035,0.108,STD
-7.741,-6.409,0.558,-0.025,0.05,0.142,STD
-7.521,-6.379,0.549,-0.0,0.036,0.107,STD
-7.673,-6.219,0.573,-0.029,-0.02,0.149,STD
-7.471,-6.351,0.51,-0.057,0.031,0.103,STD
-7.588,-6.172,0.414,0.002,-0.021,0.015,STD
-7.407,-6.38,0.422,-0.023,0.057,0.09,STD
-7.545,-6.455,0.45,0.016,-0.026,0.096,STD
-7.322,-6.403,0.379,0.005,0.047,0.154,STD
-7.519,-6.19,0.378,0.05,0.073,-0.024,STD
-7.51,-6.529,0.444,0.088,-0.011,0.06,STD
-7.586,-6.319,0.477,-0.042,0.015,0.045,STD
-7.408,-6.247,0.378,-0.009,-0.049,0.159,STD
-7.535,-6.138,0.555,0.03,-0.036,0.043,STD
-7.642,-6.199,0.504,-0.019,0.005,0.105,STD
-7.579,-6.368,0.159,0.058,-0.015,0.155,STD
-7.377,-6.215,0.502,-0.013,0.085,0.19,STD
-7.288,-6.417,0.535,-0.005,0.021,0.111,STD
-7.678,-6.133,0.322,0.049,0.085,0.146,STD
-7.499,-6.548,0.39,-0.006,-0.053,0.193,STD
-7.479,-6.267,0.399,0.035,-0.032,0.097,STD
-7.525,-6.296,0.497,-0.043,-0.001,0.155,STD
-7.68,-6.357,0.544,-0.014,-0.008,0.141,STD
-7.363,-6.308,0.82,0.025,0.02,0.134,STD
-7.601,-6.184,0.305,-0.007,-0.082,0.136,STD
-7.486,-6.361,0.37,-0.008,-0.084,0.195,STD
-7.527,-6.474,0.581,0.043,-0.022,0.101,STD
-7.561,-6.308,0.557,0.004,0.067,0.112,STD
-7.436,-6.314,0.575,-0.087,-0.096,0.163,STD
-7.585,-6.363,0.216,0.042,-0.016,0.042,STD
-7.746,-6.332,0.566,-0.144,-0.076,0.065,STD
-7.249,-6.266,0.404,0.065,-0.02,0.196,STD
-7.37,-6.559,0.577,0.035,0.018,0.063,STD
-7.574,-6.392,0.333,-0.001,0.009,0.126,STD
-7.75,-6.534,0.455,0.029,-0.024,0.11,STD
-7.382,-6.378,0.41,0.097,0.069,0.062,STD
-7.406,-6.348,0.419,0.066,-0.009,0.064,STD
-7.43,-6.464,0.403,0.034,-0.046,0.17,STD
-7.553,-6.151,0.274,0.02,-0.052,0.084,STD
-7.518,-6.376,0.327,0.063,-0.025,0.173,STD
-7.337,-6.426,0.613,0.034,-0.02,0.154,STD
-7.57,-6.483,0.546,-0.104,-0.035,0.17,STD
-7.507,-6.624,0.306,-0.049,0.097,0.123,STD
-7.333,-6.435,0.529,0.05,-0.003,0.049,STD
-7.424,-6.146,0.431,-0.001,0.057,0.098,STD
-7.431,-6.443,0.573,0.127,-0.027,0.002,STD
-7.469,-6.238,0.561,0.049,-0.012,0.116,STD
-7.655,-6.397,0.165,0.013,-0.053,0.055,STD
-7.445,-6.058,0.541,0.042,-0.049,0.081,STD
-7.409,-6.271,0.278,-0.096,0.034,0.122,STD
-7.571,-6.278,0.348,-0.038,-0.034,0.038,STD
-7.515,-6.34,0.273,-0.016,-0.056,0.133,STD
-7.292,-6.369,0.489,0.063,0.056,0.035,STD
-7.527,-6.234,0.436,0.012,0.033,0.028,STD
-7.42,-6.64,0.52,-0.027,-0.119,0.178,STD
-7.55,-6.341,0.748,0.104,-0.005,0.039,STD
-7.446,-6.189,0.353,0.034,0.01,0.1,STD
-7.453,-6.197,0.293,-0.018,-0.019,0.123,STD
-7.569,-6.438,0.324,-0.077,-0.013,0.157,STD
-7.421,-6.152,0.418,0.023,-0.014,0.117,STD
-7.337,-6.507,0.374,-0.051,0.077,0.065,STD
-7.307,-6.1,0.588,-0.071,0.036,0.029,STD
-7.521,-6.16,0.584,0.05,-0.093,0.161,STD
-7.356,-6.434,0.692,-0.034,0.009,0.038,STD
-7.399,-6.069,0.557,0.073,-0.036,0.055,STD
-7.277,-6.217,0.524,0.029,0.068,0.105,STD
-7.521,-6.169,0.318,0.057,-0.002,0.035,STD
-7.343,-6.328,0.381,0.042,-0.057,0.116,STD
-7.509,-6.27,0.506,-0.114,-0.084,0.075,STD
-7.283,-6.232,0.645,-0.012,-0.008,0.047,STD
-7.562,-6.477,0.435,-0.071,0.01,0.048,STD
-7.123,-6.369,0.565,-0.018,-0.056,-0.042,STD
-7.447,-6.485,0.502,-0.015,0.015,0.003,STD
-7.624,-6.346,0.383,0.015,0.03,-0.061,STD
-7.364,-6.216,0.533,-0.118,-0.016,0.076,STD
-7.151,-6.081,0.485,0.072,0.053,0.03,STD
-7.283,-6.131,0.675,-0.012,-0.05,0.034,STD
-7.392,-6.228,0.585,-0.123,0.045,0.04,STD
-7.437,-6.035,0.212,-0.051,0.053,0.108,STD
-7.454,-6.384,0.313,-0.054,-0.015,0.075,STD
-7.433,-6.265,0.524,0.015,0.03,-0.014,STD
-7.471,-6.201,0.726,0.034,-0.053,0.075,STD
-7.326,-6.365,0.486,0.031,-0.014,-0.076,STD
-7.401,-6.503,0.293,0.023,-0.066,-0.027,STD
-7.288,-6.298,0.726,-0.036,-0.092,0.042,STD
-7.398,-6.351,0.625,-0.033,-0.039,-0.022,STD
-7.263,-6.25,0.419,-0.049,0.09,-0.082,STD
-7.441,-6.129,0.468,-0.001,-0.043,-0.043,STD
-7.452,-6.117,0.751,-0.034,-0.008,0.006,STD
-7.278,-6.178,0.515,-0.035,0.015,-0.034,STD
-7.349,-6.242,0.703,0.059,-0.061,-0.009,STD
-7.423,-6.053,0.526,0.041,-0.056,-0.009,STD
-7.382,-6.338,0.379,0.021,-0.041,-0.019,STD
-7.382,-6.273,0.487,0.039,0.166,-0.045,STD
-7.433,-6.627,0.494,0.031,-0.016,0.04,STD
-7.296,-6.205,0.348,-0.084,0.033,-0.062,STD
-7.346,-6.562,0.738,-0.027,-0.05,0.065,STD
-7.161,-6.239,0.317,-0.021,-0.093,-0.069,STD
-7.512,-6.205,0.532,0.046,-0.034,-0.044,STD
-7.302,-6.249,0.407,0.098,-0.042,0.007,STD
-7.101,-6.465,0.484,-0.027,-0.014,0.031,STD
-7.4,-6.332,0.626,0.002,-0.069,-0.123,STD
-7.403,-6.176,0.429,0.052,-0.012,0.009,STD
-7.195,-6.067,0.35,0.12,-0.089,0.04,STD
