acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-6.739,-6.258,0.509,-0.034,-0.061,0.009,WAL
-6.639,-6.435,0.835,0.024,0.19,0.29,WAL
-6.613,-6.342,1.143,0.044,0.31,0.402,WAL
-6.938,-6.201,1.443,0.065,0.615,0.481,WAL
-6.847,-6.272,1.399,0.006,0.741,0.519,WAL
-6.996,-6.308,1.555,-0.016,0.751,0.345,WAL
-7.019,-6.273,1.774,0.011,0.881,0.231,WAL
-7.175,-6.214,1.908,0.011,0.87,-0.057,WAL
-7.353,-6.235,1.806,-0.124,0.876,-0.334,WAL
-7.668,-6.237,1.454,-0.068,0.749,-0.496,WAL
-7.539,-6.556,1.564,-0.035,0.661,-0.651,WAL
-7.879,-6.34,1.254,-0.054,0.512,-0.508,WAL
-7.988,-6.505,0.845,0.067,0.265,-0.429,WAL
-8.149,-6.698,0.617,-0.01,0.116,-0.143,WAL
-7.89,-6.753,0.455,-0.028,-0.098,0.165,WAL
-7.932,-6.483,0.164,-0.038,-0.34,0.373,WAL
-8.078,-6.814,-0.006,0.004,-0.522,0.486,WAL
-8.268,-6.973,-0.068,0.057,-0.642,0.491,WAL
-8.143,-6.778,-0.136,-0.034,-0.761,0.438,WAL
-7.966,-6.592,0.012,-0.069,-0.862,0.373,WAL
-7.913,-6.605,0.15,-0.002,-0.857,0.061,WAL
-7.579,-6.924,0.026,-0.014,-0.88,-0.125,WAL
-7.727,-6.858,-0.009,-0.021,-0.839,-0.374,WAL
-7.254,-6.707,-0.169,0.032,-0.714,-0.521,WAL
-7.151,-6.822,-0.149,0.025,-0.596,-0.562,WAL
-7.156,-6.535,0.064,0.057,-0.391,-0.479,WAL
-6.877,-6.46,0.318,0.034,-0.192,-0.289,WAL
-6.767,-6.458,0.398,-0.05,-0.067,-0.094,WAL
-7.036,-6.345,0.656,0.03,0.169,0.253,WAL
-6.786,-6.161,1.015,-0.036,0.43,0.392,WAL
-6.844,-5.946,1.226,0.023,0.521,0.611,WAL
-7.025,-6.19,1.356,-0.085,0.75,0.581,WAL
-6.904,-6.119,1.644,-0.001,0.796,0.428,WAL
-7.062,-6.079,1.652,0.034,0.931,0.286,WAL
-7.325,-6.222,1.794,0.06,0.812,-0.058,WAL
-7.496,-6.251,1.615,-0.062,0.892,-0.309,WAL
-7.545,-6.267,1.471,-0.04,0.806,-0.418,WAL
-7.737,-6.39,1.411,-0.016,0.634,-0.526,WAL
-7.973,-6.562,1.277,0.011,0.567,-0.469,WAL
-7.973,-6.525,0.962,0.006,0.352,-0.346,WAL
-8.136,-6.623,0.56,0.015,0.156,-0.245,WAL
-8.203,-6.773,0.372,0.013,-0.072,0.06,WAL
-7.999,-6.81,0.189,0.052,-0.271,0.279,WAL
-8.14,-6.787,-0.079,0.037,-0.42,0.485,WAL
-8.057,-6.917,-0.001,0.018,-0.627,0.584,WAL
-7.851,-6.887,-0.014,-0.039,-0.688,0.45,WAL
-7.778,-6.928,-0.107,0.009,-0.835,0.366,WAL
-7.906,-6.977,-0.304,0.006,-0.898,0.084,WAL
-7.589,-6.763,0.019,-0.04,-0.864,-0.132,WAL
-7.497,-6.789,-0.023,-0.04,-0.864,-0.366,WAL
-7.49,-6.698,-0.048,-0.076,-0.813,-0.631,WAL
-7.247,-6.69,-0.027,0.035,-0.641,-0.532,WAL
-7.071,-6.656,0.036,0.023,-0.456,-0.418,WAL
-6.905,-6.398,0.122,0.033,-0.238,-0.313,WAL
-7.061,-6.145,0.458,-0.031,-0.059,-0.119,WAL
-6.791,-6.342,0.842,-0.002,0.193,0.212,WAL
-6.758,-6.538,1.001,0.033,0.437,0.381,WAL
-6.688,-6.15,1.093,-0.006,0.548,0.581,WAL
-6.983,-6.119,1.189,-0.016,0.62,0.57,WAL
-6.9,-6.023,1.482,0.071,0.81,0.51,WAL
-7.033,-6.169,1.646,-0.036,0.911,0.23,WAL
-7.198,-6.148,1.839,0.006,0.959,0.105,WAL
-7.266,-6.197,1.612,0.046,0.876,-0.264,WAL
-7.353,-6.199,1.382,0.032,0.877,-0.425,WAL
-7.92,-6.324,1.256,0.029,0.738,-0.498,WAL
-8.003,-6.385,1.328,-0.049,0.49,-0.549,WAL
-7.989,-6.549,0.952,-0.013,0.367,-0.356,WAL
-7.905,-6.466,0.747,-0.02,0.14,-0.171,WAL
-7.848,-6.652,0.467,0.126,-0.053,0.094,WAL
-7.991,-6.52,0.151,0.029,-0.22,0.245,WAL
-8.046,-6.648,-0.238,0.025,-0.458,0.434,WAL
-8.077,-6.715,0.084,0.018,-0.511,0.567,WAL
-8.192,-6.945,0.001,-0.014,-0.816,0.529,WAL
-7.729,-6.938,0.132,-0.057,-0.885,0.363,WAL
-7.674,-6.904,0.159,0.006,-0.87,0.178,WAL
-7.771,-6.98,-0.046,-0.011,-0.928,-0.086,WAL
-7.466,-6.887,0.164,-0.019,-0.856,-0.327,WAL
-6.97,-6.531,0.025,0.03,-0.761,-0.527,WAL
-7.195,-6.491,-0.061,-0.005,-0.595,-0.622,WAL
-7.336,-6.255,-0.055,-0.008,-0.5,-0.431,WAL
-7.031,-6.497,0.191,0.004,-0.289,-0.339,WAL
-7.015,-6.554,0.347,-0.008,-0.072,-0.098,WAL
-6.94,-6.149,0.661,0.023,0.128,0.114,WAL
-6.871,-6.057,0.923,-0.04,0.361,0.341,WAL
-6.604,-6.283,1.257,-0.018,0.488,0.501,WAL
-6.864,-6.075,1.47,-0.018,0.686,0.563,WAL
-7.006,-6.052,1.443,-0.045,0.794,0.453,WAL
-6.821,-6.108,1.563,-0.042,0.911,0.201,WAL
-7.084,-6.102,1.911,-0.034,0.928,0.046,WAL
-7.526,-5.957,1.742,0.024,0.858,-0.235,WAL
-7.621,-6.108,1.714,0.003,0.763,-0.376,WAL
-7.508,-5.935,1.399,-0.013,0.691,-0.581,WAL
-7.888,-6.281,1.098,0.0,0.57,-0.659,WAL
-8.031,-6.553,0.863,-0.047,0.432,-0.386,WAL
-7.993,-6.495,0.672,0.018,0.193,-0.212,WAL
-8.125,-6.764,0.218,-0.006,-0.041,0.015,WAL
-8.086,-6.48,0.154,0.026,-0.276,0.186,WAL
-8.057,-6.711,-0.177,-0.047,-0.407,0.45,WAL
-8.113,-6.845,-0.021,-0.007,-0.65,0.478,WAL
-7.876,-6.705,-0.071,-0.003,-0.83,0.504,WAL
-7.881,-6.809,-0.05,0.022,-0.805,0.411,WAL
-7.864,-6.64,-0.011,0.013,-0.953,0.152,WAL
