acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-7.0,-6.524,0.434,0.03,-0.019,-0.041,WAL
-6.739,-6.156,0.917,-0.025,0.204,0.202,WAL
-6.841,-6.21,1.145,0.04,0.431,0.421,WAL
-6.955,-6.062,1.258,-0.001,0.456,0.478,WAL
-6.779,-6.096,1.308,-0.002,0.684,0.515,WAL
-7.121,-6.348,1.58,-0.014,0.836,0.467,WAL
-6.866,-6.163,1.652,-0.011,0.826,0.292,WAL
-7.092,-6.043,1.619,0.061,0.915,0.133,WAL
-7.084,-6.095,1.666,-0.081,0.96,-0.075,WAL
-7.206,-6.392,1.774,0.011,0.824,-0.341,WAL
-7.574,-6.173,1.417,0.016,0.711,-0.472,WAL
-7.665,-6.29,1.392,0.052,0.659,-0.558,WAL
-7.888,-6.188,1.355,-0.024,0.547,-0.58,WAL
-7.986,-6.199,0.823,-0.078,0.346,-0.428,WAL
-7.89,-6.438,0.919,0.015,0.165,-0.199,WAL
-7.954,-6.584,0.379,0.022,-0.051,0.057,WAL
-7.971,-6.626,0.421,-0.072,-0.205,0.224,WAL
-8.14,-6.668,-0.095,0.006,-0.395,0.518,WAL
-8.163,-6.753,-0.112,-0.036,-0.524,0.527,WAL
-8.03,-6.903,0.133,-0.015,-0.634,0.588,WAL
-7.861,-6.857,0.046,-0.048,-0.795,0.525,WAL
-7.963,-6.799,0.01,0.054,-0.889,0.332,WAL
-7.731,-6.655,-0.237,0.034,-0.876,0.155,WAL
-7.718,-6.779,-0.032,0.043,-0.884,-0.112,WAL
-7.412,-6.556,0.025,0.014,-0.885,-0.318,WAL
-7.523,-6.879,-0.152,0.039,-0.791,-0.512,WAL
-7.262,-6.561,-0.192,0.0,-0.74,-0.545,WAL
-7.115,-6.664,0.108,-0.063,-0.522,-0.599,WAL
-6.938,-6.37,-0.014,-0.034,-0.339,-0.465,WAL
-6.778,-6.337,0.118,0.037,-0.138,-0.296,WAL
-6.83,-6.308,0.409,-0.059,-0.057,0.052,WAL
-6.606,-6.371,0.605,-0.04,0.156,0.157,WAL
-6.855,-6.207,0.826,0.129,0.4,0.368,WAL
-6.812,-6.101,1.257,0.083,0.512,0.497,WAL
-6.923,-6.204,1.303,0.014,0.621,0.474,WAL
-6.742,-6.217,1.709,0.026,0.837,0.466,WAL
-7.209,-6.037,1.81,0.098,0.864,0.252,WAL
-7.09,-6.091,1.832,-0.019,0.887,0.193,WAL
-7.394,-6.231,1.552,0.026,0.917,-0.078,WAL
-7.448,-6.204,1.674,-0.038,0.836,-0.243,WAL
-7.492,-6.159,1.64,-0.018,0.831,-0.468,WAL
-7.553,-6.592,1.492,0.018,0.716,-0.507,WAL
-7.769,-6.505,1.246,-0.039,0.606,-0.494,WAL
-7.979,-6.431,1.0,-0.031,0.34,-0.436,WAL
-7.906,-6.267,0.747,0.041,0.191,-0.148,WAL
-8.132,-6.544,0.544,-0.06,0.032,0.035,WAL
-7.973,-6.615,0.152,-0.014,-0.17,0.188,WAL
-7.981,-6.822,0.01,0.005,-0.371,0.416,WAL
-8.397,-6.889,-0.017,0.038,-0.59,0.479,WAL
-8.389,-6.706,-0.078,0.039,-0.778,0.565,WAL
-8.004,-6.724,-0.082,-0.044,-0.744,0.459,WAL
-7.745,-6.71,-0.076,-0.038,-0.817,0.37,WAL
-7.802,-6.569,0.156,0.005,-0.935,0.216,WAL
-7.47,-6.77,0.103,-0.051,-0.875,-0.133,WAL
-7.402,-6.989,-0.055,-0.064,-0.853,-0.243,WAL
-7.461,-6.467,-0.024,-0.009,-0.767,-0.448,WAL
-7.18,-6.631,0.004,-0.008,-0.701,-0.532,WAL
-7.308,-6.591,0.024,0.0,-0.594,-0.577,WAL
-6.902,-6.539,0.002,0.059,-0.4,-0.415,WAL
-6.944,-6.311,0.29,-0.06,-0.157,-0.378,WAL
-6.742,-6.202,0.412,0.007,-0.006,0.004,WAL
-6.816,-6.364,0.59,-0.02,0.149,0.102,WAL
-6.535,-6.224,0.94,0.043,0.292,0.329,WAL
-6.755,-6.155,1.407,0.001,0.456,0.531,WAL
-6.715,-6.407,1.294,-0.017,0.677,0.528,WAL
-6.926,-5.998,1.634,0.04,0.876,0.487,WAL
-7.302,-6.153,1.841,0.096,0.814,0.339,WAL
-7.285,-5.862,1.683,-0.011,0.857,0.088,WAL
-7.151,-6.196,1.969,0.007,0.844,-0.076,WAL
-7.452,-5.978,1.677,-0.017,0.852,-0.253,WAL
