acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-6.755,-6.384,0.496,-0.081,-0.032,-0.016,WAL
-6.675,-6.012,0.585,0.019,0.113,0.331,WAL
-6.608,-6.317,0.806,-0.067,0.324,0.355,WAL
-6.615,-5.867,1.085,-0.017,0.58,0.59,WAL
-6.857,-6.167,1.415,-0.024,0.68,0.438,WAL
-6.843,-5.927,1.633,-0.006,0.77,0.413,WAL
-6.906,-5.954,1.611,0.076,0.976,0.326,WAL
-7.112,-6.041,1.568,-0.012,0.977,0.037,WAL
-7.053,-6.159,1.65,-0.038,0.812,-0.165,WAL
-7.227,-5.973,1.732,0.11,0.801,-0.434,WAL
-7.404,-6.315,1.29,-0.011,0.785,-0.445,WAL
-7.626,-6.311,1.283,-0.036,0.63,-0.509,WAL
-7.737,-6.27,1.037,-0.045,0.43,-0.469,WAL
-7.977,-6.281,0.977,0.009,0.188,-0.29,WAL
-7.813,-6.395,0.635,0.042,0.092,-0.084,WAL
-7.73,-6.508,0.577,0.032,-0.138,0.118,WAL
-7.944,-6.422,0.239,-0.007,-0.239,0.314,WAL
-8.056,-6.4,0.13,0.052,-0.561,0.465,WAL
-8.067,-6.621,0.051,0.052,-0.644,0.466,WAL
-7.902,-6.703,-0.011,-0.021,-0.728,0.518,WAL
-7.729,-6.595,-0.192,-0.012,-0.93,0.416,WAL
-7.76,-6.699,-0.168,-0.076,-0.801,0.135,WAL
-7.435,-6.459,0.073,0.046,-0.936,-0.1,WAL
-7.402,-6.846,-0.074,-0.012,-0.905,-0.312,WAL
-7.325,-6.493,-0.011,0.084,-0.791,-0.419,WAL
-7.045,-6.33,0.087,-0.051,-0.599,-0.569,WAL
-6.939,-6.54,-0.204,0.034,-0.51,-0.606,WAL
-6.907,-6.492,-0.087,0.019,-0.262,-0.402,WAL
-6.584,-6.296,0.382,-0.081,-0.226,-0.28,WAL
-6.71,-6.091,0.463,0.054,-0.051,-0.039,WAL
-6.759,-6.036,0.697,0.029,0.187,0.253,WAL
-6.53,-6.119,0.932,0.061,0.437,0.491,WAL
-6.765,-5.885,1.027,0.002,0.483,0.491,WAL
-6.515,-6.04,1.614,-0.053,0.668,0.532,WAL
-6.809,-6.115,1.381,0.012,0.802,0.343,WAL
-7.153,-6.031,1.721,-0.053,0.877,0.228,WAL
-7.022,-6.069,1.897,-0.049,0.835,0.069,WAL
-7.127,-6.029,1.79,0.007,0.876,-0.142,WAL
-7.329,-6.05,1.782,0.047,0.798,-0.396,WAL
-7.464,-6.124,1.367,-0.03,0.702,-0.42,WAL
-7.9,-6.006,1.147,0.006,0.732,-0.57,WAL
-7.684,-6.319,1.352,0.054,0.4,-0.451,WAL
-7.835,-6.355,0.869,0.04,0.281,-0.279,WAL
-7.755,-6.607,0.586,0.001,0.138,-0.178,WAL
-7.908,-6.42,0.161,0.016,-0.167,0.14,WAL
-8.217,-6.607,-0.039,-0.105,-0.219,0.313,WAL
-7.88,-6.596,-0.019,-0.002,-0.488,0.502,WAL
-7.731,-6.591,-0.084,-0.093,-0.544,0.555,WAL
-7.716,-6.705,0.199,-0.053,-0.722,0.522,WAL
-7.785,-6.632,-0.099,-0.004,-0.763,0.436,WAL
-7.73,-6.477,-0.2,0.087,-0.872,0.094,WAL
-7.538,-6.63,-0.056,-0.107,-0.864,-0.033,WAL
-7.515,-6.807,-0.113,0.029,-0.929,-0.297,WAL
-7.002,-6.452,-0.036,-0.021,-0.863,-0.454,WAL
-7.161,-6.577,-0.141,-0.026,-0.698,-0.559,WAL
-7.042,-6.54,0.091,-0.047,-0.626,-0.582,WAL
-6.797,-6.201,0.051,-0.025,-0.291,-0.433,WAL
-6.554,-6.372,0.131,-0.109,-0.236,-0.261,WAL
-6.551,-6.462,0.253,-0.081,-0.076,0.084,WAL
-6.768,-6.378,0.703,0.138,0.214,0.229,WAL
-6.757,-6.099,1.099,-0.071,0.264,0.451,WAL
-6.558,-5.918,1.164,-0.009,0.513,0.577,WAL
-6.816,-5.867,1.585,0.047,0.654,0.572,WAL
-6.955,-6.043,1.676,0.059,0.86,0.504,WAL
-6.912,-5.988,1.479,0.032,0.878,0.204,WAL
-7.174,-6.07,1.491,0.005,0.877,0.002,WAL
-7.351,-5.981,1.919,0.014,0.927,-0.136,WAL
-7.244,-6.008,1.477,-0.039,0.773,-0.333,WAL
-7.568,-6.202,1.512,-0.073,0.706,-0.562,WAL
-7.479,-6.302,1.139,-0.017,0.601,-0.532,WAL
-7.869,-6.184,1.126,-0.023,0.479,-0.484,WAL
-7.732,-6.559,0.728,-0.044,0.386,-0.332,WAL
-7.933,-6.441,0.555,-0.016,0.154,-0.048,WAL
-7.89,-6.644,0.355,0.026,-0.137,0.096,WAL
-8.06,-6.672,0.04,-0.014,-0.337,0.328,WAL
-8.106,-6.5,0.045,0.006,-0.436,0.474,WAL
-7.863,-6.611,-0.055,0.069,-0.502,0.656,WAL
-7.963,-6.66,0.039,-0.01,-0.711,0.492,WAL
-7.579,-6.654,0.185,0.003,-0.87,0.351,WAL
-7.722,-6.783,-0.072,-0.06,-0.889,0.226,WAL
-7.642,-6.555,-0.161,0.036,-0.923,-0.096,WAL
-7.326,-6.642,0.044,0.027,-0.788,-0.227,WAL
-7.253,-6.553,-0.143,0.105,-0.805,-0.375,WAL
-7.23,-6.379,-0.02,-0.019,-0.734,-0.615,WAL
-7.053,-6.367,0.027,-0.032,-0.564,-0.501,WAL
-6.949,-6.601,0.156,-0.055,-0.408,-0.389,WAL
-6.713,-6.455,0.235,0.014,-0.214,-0.327,WAL
-6.518,-6.132,0.427,-0.144,-0.033,0.05,WAL
-6.646,-6.197,0.841,-0.099,0.154,0.113,WAL
-6.628,-6.13,0.974,-0.029,0.284,0.373,WAL
-6.894,-6.048,1.238,-0.034,0.508,0.463,WAL
-6.955,-5.615,1.57,0.037,0.582,0.607,WAL
-6.747,-5.922,1.528,0.002,0.761,0.494,WAL
-6.574,-6.105,1.813,0.015,0.807,0.255,WAL
-7.299,-6.108,1.701,0.009,0.901,0.151,WAL
-7.199,-5.957,1.937,0.027,0.923,-0.136,WAL
-7.32,-6.22,1.735,0.069,0.81,-0.391,WAL
-7.393,-6.164,1.407,0.013,0.692,-0.516,WAL
-7.497,-6.278,1.337,0.006,0.585,-0.623,WAL
-7.368,-6.28,1.116,0.021,0.461,-0.596,WAL
-7.575,-6.308,1.07,-0.028,0.309,-0.359,WAL
-7.967,-6.337,0.671,0.051,0.102,-0.042,WAL
-7.926,-6.331,0.499,-0.026,-0.105,0.123,WAL
-7.817,-6.597,0.03,0.088,-0.318,0.28,WAL
-7.939,-6.716,-0.072,-0.054,-0.36,0.414,WAL
-7.878,-6.793,-0.059,-0.021,-0.502,0.649,WAL
-7.619,-6.839,0.11,0.03,-0.748,0.517,WAL
-7.767,-6.793,-0.004,0.03,-0.794,0.393,WAL
-7.739,-6.699,-0.008,-0.012,-0.858,0.175,WAL
-7.599,-6.582,0.05,0.027,-0.849,-0.011,WAL
-7.477,-6.48,0.048,-0.038,-0.918,-0.245,WAL
-7.165,-6.431,-0.087,0.092,-0.852,-0.5,WAL
-6.992,-6.494,-0.038,-0.034,-0.694,-0.477,WAL
-7.052,-6.596,-0.224,0.006,-0.619,-0.461,WAL
-7.059,-6.416,0.103,0.024,-0.412,-0.541,WAL
-6.795,-6.268,0.064,0.015,-0.231,-0.258,WAL
-6.667,-6.463,0.471,0.08,0.009,-0.026,WAL
-6.629,-6.034,0.805,0.038,0.092,0.253,WAL
-6.73,-6.098,1.139,0.003,0.328,0.382,WAL
-6.822,-5.936,1.113,-0.054,0.458,0.57,WAL
-6.723,-6.053,1.444,-0.073,0.712,0.579,WAL
-6.772,-5.975,1.489,-0.064,0.822,0.469,WAL
-6.856,-5.919,1.548,-0.047,0.892,0.346,WAL
-6.988,-5.887,1.489,-0.019,0.901,0.021,WAL
-6.968,-6.189,1.788,0.048,0.826,-0.147,WAL
-7.246,-5.935,1.684,-0.018,0.845,-0.391,WAL
-7.44,-6.183,1.648,0.062,0.703,-0.603,WAL
-7.746,-6.231,1.356,-0.007,0.68,-0.575,WAL
-7.817,-6.163,1.106,-0.071,0.56,-0.501,WAL
-7.736,-6.351,0.908,-0.051,0.391,-0.404,WAL
-7.98,-6.439,0.432,0.066,0.157,-0.212,WAL
