acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-9.22,-9.79,0.44,-0.34,0.22,-3.43,STD
-9.42,-9.95,0.17,-0.35,0.24,-3.45,STD
-9.34,-9.91,0.25,-0.35,0.22,-3.46,STD
-9.29,-9.99,-0.01,-0.35,0.21,-3.49,STD
-9.44,-9.84,0.37,-0.35,0.17,-3.43,STD
-9.41,-9.78,0.25,-0.35,0.15,-3.41,STD
-9.3,-10,0.3,-0.34,0.11,-3.43,STD
-9.16,-10.03,0.07,-0.35,0.11,-3.43,STD
-9.2,-9.9,0.33,-0.35,0.05,-3.43,STD
-9.22,-9.91,0.3,-0.35,0.01,-3.41,STD
-9.25,-9.86,0.35,-0.35,-0.07,-3.44,STD
-9.24,-10.01,0.23,-0.34,-0.14,-3.4,STD
-9.11,-9.95,0.15,-0.35,-0.27,-3.48,STD
-9.31,-9.98,0.28,-0.35,-0.34,-3.43,STD
-9.3,-9.82,0.33,-0.34,-0.49,-3.45,STD
-9.27,-9.85,0.33,-0.34,-0.62,-3.43,STD
-8.97,-10.08,0.09,-0.35,-0.84,-3.46,STD
-9.01,-10.03,0.11,-0.36,-1.09,-3.44,STD
-9.3,-9.86,0.33,-0.35,-1.29,-3.47,STD
-9.16,-9.89,0.31,-0.35,-1.6,-3.45,STD
-9.24,-9.88,0.23,-0.34,-1.77,-3.42,STD
-8.91,-10.17,0.08,-0.34,-2.06,-3.44,STD
-9.09,-9.88,0.05,-0.35,-2.4,-3.46,STD
-9,-9.98,0.29,-0.35,-2.84,-3.41,STD
-9.19,-9.88,0.25,-0.34,-3.13,-3.43,STD
-9.19,-9.9,0.22,-0.35,-3.38,-3.43,STD
-9.15,-10.02,0.12,-0.36,-3.62,-3.41,STD
-8.9,-9.96,0.09,-0.35,-3.74,-3.41,STD
-9.17,-9.95,0.32,-0.35,-3.61,-3.41,STD
-9.08,-9.86,0.28,-0.35,-2.91,-3.44,STD
-9.2,-9.9,0.29,-0.35,-2.09,-3.44,STD
-9.17,-10.07,0.08,-0.35,-1.67,-3.4,STD
-8.89,-9.98,0.16,-0.35,-1.31,-3.38,STD
-8.99,-9.84,0.39,-0.35,-0.99,-3.46,STD
-9.11,-9.82,0.34,-0.35,-0.69,-3.42,STD
-9.07,-9.96,0.27,-0.36,-0.24,-3.44,STD
-9.07,-10.11,0.13,-0.35,0.39,-3.44,STD
-9,-9.93,0.11,-0.34,0.36,-3.46,STD
-9.11,-9.89,0.4,-0.35,0.24,-3.43,STD
-9.18,-9.82,0.35,-0.35,0.24,-3.45,STD
-9,-9.97,0.21,-0.35,0.27,-3.43,STD
-9,-10.09,0.15,-0.35,0.25,-3.44,STD
-9.07,-9.84,0.13,-0.35,0.24,-3.43,STD
-9.05,-10.01,0.44,-0.35,0.25,-3.46,STD
-9.17,-9.83,0.28,-0.34,0.26,-3.43,STD
-9.03,-9.95,0.3,-0.35,0.25,-3.43,STD
-8.96,-10.11,0.15,-0.35,0.26,-3.44,STD
-9.07,-9.89,0.22,-0.35,0.27,-3.47,STD
-9.16,-9.96,0.44,-0.34,0.26,-3.44,STD
-9.3,-9.8,0.36,-0.35,0.28,-3.41,STD
-9.12,-10.04,0.32,-0.34,0.25,-3.45,STD
-9.09,-10.05,0.11,-0.35,0.25,-3.45,STD
-9.03,-9.91,0.3,-0.34,0.26,-3.44,STD
-8.8,-9.93,0.46,-0.34,0.25,-3.46,STD
-9.24,-9.83,0.32,-0.35,0.28,-3.42,STD
-9.03,-10.07,0.36,-0.35,-0.84,-3.44,STD
-8.91,-10.02,0.19,-0.35,-1.93,-3.45,STD
-9.17,-9.83,0.28,-0.33,-3.24,-3.44,STD
-9.19,-9.98,0.57,-0.35,-3.59,-3.42,STD
-9.37,-9.84,0.39,-0.35,-3.51,-3.45,STD
-9.16,-10.17,0.57,-0.35,-3.23,-3.44,STD
-9.39,-10.07,0.38,-0.35,-3.06,-3.44,STD
-9.22,-9.93,0.37,-0.36,-2.63,-3.41,STD
-9.27,-9.77,0.77,-0.35,-2.37,-3.45,STD
-9.29,-9.67,0.5,-0.35,-2.15,-3.44,STD
-9.24,-9.8,0.6,-0.34,-1.83,-3.46,STD
-9.29,-9.93,0.45,-0.35,-1.73,-3.48,STD
-9.41,-10.09,0.47,-0.35,-1.46,-3.45,STD
-9.3,-9.9,0.49,-0.35,-1.37,-3.43,STD
-9.37,-9.71,0.5,-0.35,-1.23,-3.43,STD
-9.07,-9.83,0.55,-0.35,-1.02,-3.46,STD
-9.27,-9.85,0.4,-0.34,-0.9,-3.44,STD
