acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.06,-9.69,1.3,-0.07,-0.02,0,STD
-1.13,-9.7,1.26,-0.1,-0.03,-0.05,STD
-1.07,-9.67,1.23,-0.06,-0.05,-0.03,STD
-1.04,-9.74,1.06,-0.08,0.02,0,STD
-1.09,-9.68,1.21,-0.16,-0.07,-0.02,STD
-1.1,-9.65,1.53,-0.14,-0.06,0,STD
-1.14,-9.74,1.62,-0.02,-0.04,-0.03,STD
-1.12,-9.79,1.35,-0.07,-0.08,-0.02,STD
-1.14,-9.7,1.7,-0.13,-0.11,0.02,STD
-1.06,-9.73,1.46,0.03,-0.03,-0.02,STD
-1.1,-9.78,1.1,-0.06,-0.02,0.01,STD
-1.02,-9.69,1.34,-0.13,-0.06,0.02,STD
-0.99,-9.62,1.3,-0.03,-0.04,0,STD
-1.02,-9.72,1.22,-0.1,-0.01,-0.04,STD
-1.11,-9.6,1.5,-0.11,-0.09,0,STD
-1.05,-9.62,1.41,-0.06,-0.03,0,STD
-0.99,-9.76,1.32,-0.12,-0.02,-0.02,STD
-1.11,-9.69,1.64,-0.13,-0.11,-0.01,STD
-1.08,-9.73,1.52,-0.06,-0.1,-0.02,STD
-1.13,-9.73,1.41,-0.08,-0.03,-0.04,STD
-1.14,-9.7,1.5,-0.09,-0.03,0,STD
-1.09,-9.71,1.45,-0.06,-0.01,-0.02,STD
-1.09,-9.69,1.46,-0.08,-0.01,0,STD
-1.01,-9.65,1.35,-0.07,-0.01,0,STD
-1.1,-9.67,1.5,-0.11,-0.05,0,STD
-1.05,-9.73,1.52,-0.08,-0.02,0.01,STD
-1.04,-9.73,1.47,-0.11,0.02,-0.01,STD
-1.07,-9.65,1.65,-0.11,-0.01,0,STD
-0.98,-9.68,1.54,-0.05,-0.03,0.01,STD
-1.05,-9.71,1.4,-0.12,0.08,-0.03,STD
-1.11,-9.63,1.54,-0.09,-0.02,0.01,STD
-0.99,-9.65,1.36,-0.07,0,-0.02,STD
-1.04,-9.76,1.43,-0.12,0.01,-0.02,STD
-1.11,-9.64,1.51,-0.12,-0.03,-0.04,STD
-1.18,-9.69,1.49,-0.11,-0.03,0,STD
-1.03,-9.74,1.49,-0.1,-0.01,-0.02,STD
-1.14,-9.7,1.5,-0.12,-0.02,-0.03,STD
-1.17,-9.65,1.59,-0.11,-0.06,0,STD
-1.11,-9.67,1.42,-0.08,0.03,-0.02,STD
-1.1,-9.76,1.5,-0.09,0.02,-0.01,STD
-1.19,-9.72,1.38,-0.12,-0.05,-0.01,STD
-1.04,-9.69,1.44,-0.1,0.03,0,STD
-1.1,-9.72,1.47,-0.08,-0.01,0,STD
-1.1,-9.87,1.55,-0.08,-0.08,-0.03,STD
-1.17,-9.49,1.72,-0.12,-0.04,0.03,STD
-0.89,-9.49,1.48,-0.02,-0.03,-0.01,STD
-1.27,-9.83,1.28,-0.06,-0.04,-0.06,STD
-1.33,-9.77,1.32,-0.14,0.01,0.02,STD
-1.09,-9.62,1.6,-0.14,0.06,0.06,STD
-1.04,-9.66,1.51,-0.08,0.02,-0.02,STD
-1.13,-9.76,1.41,-0.1,-0.05,0.02,STD
-1.15,-9.66,1.49,-0.14,-0.02,0.01,STD
-0.92,-9.68,1.48,-0.09,0.02,-0.01,STD
-1.14,-9.66,1.53,-0.11,-0.04,-0.01,STD
-1.02,-9.69,1.56,-0.08,0.01,-0.03,STD
-1.17,-9.67,1.45,-0.11,-0.01,0.01,STD
-1.11,-9.7,1.39,-0.07,-0.01,-0.08,STD
-1.22,-9.68,1.35,-0.07,0.03,-0.07,STD
-1.19,-9.66,1.41,-0.14,-0.02,-0.03,STD
-1.21,-9.64,1.41,-0.09,0.03,-0.04,STD
-1.24,-9.71,1.41,-0.08,0,-0.01,STD
-1.23,-9.64,1.32,-0.15,-0.02,0.02,STD
-1.1,-9.7,1.51,-0.09,-0.02,0.01,STD
-1.18,-9.68,1.35,-0.09,0.02,-0.02,STD
-1.19,-9.73,1.6,-0.13,-0.01,0.02,STD
-1.12,-9.7,1.57,-0.08,0.02,0,STD
-1.19,-9.72,1.53,-0.08,0,0.01,STD
-1.13,-9.65,1.42,-0.08,0,-0.01,STD
-1.13,-9.69,1.48,-0.06,-0.02,-0.01,STD
-1.2,-9.68,1.23,-0.07,-0.03,-0.04,STD
-1.22,-9.66,1.53,-0.11,-0.03,0.03,STD
-1.09,-9.7,1.41,-0.04,0.01,-0.04,STD
-1.16,-9.64,1.28,-0.13,-0.03,0,STD
-1.03,-9.71,1.52,-0.08,-0.05,-0.03,STD
-1.2,-9.68,1.34,-0.11,-0.06,-0.04,STD
-1.16,-9.68,1.68,-0.13,-0.03,0,STD
-1.08,-9.7,1.45,-0.05,0,-0.03,STD
-1.13,-9.7,1.53,-0.12,-0.06,-0.03,STD
-1.16,-9.62,1.55,-0.09,-0.02,-0.02,STD
-1.23,-9.68,1.52,-0.07,-0.01,-0.01,STD
-1.16,-9.71,1.39,-0.11,-0.01,-0.03,STD
-1.2,-9.65,1.66,-0.09,0.05,0.02,STD
-1.14,-9.71,1.4,-0.05,0.01,-0.01,STD
-1.13,-9.62,1.51,-0.1,-0.02,0.01,STD
-1.1,-9.74,1.53,-0.05,-0.01,-0.01,STD
-1.22,-9.65,1.37,-0.12,-0.02,-0.02,STD
-1.15,-9.64,1.7,-0.08,-0.02,0.02,STD
-1.08,-9.69,1.32,-0.06,0.02,-0.03,STD
-1.19,-9.7,1.64,-0.13,-0.05,-0.01,STD
-1.11,-9.62,1.56,-0.09,-0.02,-0.01,STD
-1.06,-9.65,1.58,-0.08,0,-0.04,STD
-1.14,-9.67,1.5,-0.06,-0.08,-0.03,STD
-1.21,-9.68,1.47,-0.11,0.01,-0.04,STD
-1.2,-9.65,1.49,-0.08,-0.02,-0.01,STD
-1.16,-9.67,1.51,-0.11,0,-0.02,STD
-1.13,-9.66,1.46,-0.09,0,-0.01,STD
-1.19,-9.61,1.59,-0.14,-0.01,-0.01,STD
-1.1,-9.69,1.54,-0.07,0,-0.01,STD
-1.13,-9.67,1.58,-0.13,0.01,-0.01,STD
-1.04,-9.65,1.58,-0.08,-0.02,-0.02,STD
-1.13,-9.66,1.48,-0.12,-0.03,-0.03,STD
-1.17,-9.66,1.49,-0.13,-0.03,-0.04,STD
-1.29,-9.72,1.5,-0.11,0.01,-0.01,STD
-1.06,-9.73,1.54,-0.13,0.02,0,STD
-1.1,-9.65,1.56,-0.13,-0.03,-0.02,STD
-1.06,-9.77,1.62,-0.08,-0.06,-0.01,STD
-1.18,-9.74,1.5,-0.1,-0.03,-0.02,STD
-1.17,-9.67,1.71,-0.08,0.03,0.03,STD
-1.01,-9.68,1.43,-0.06,0.09,-0.01,STD
-0.98,-9.68,1.41,-0.07,-0.03,0.02,STD
-1,-9.62,1.34,-0.09,-0.05,-0.05,STD
-1.07,-9.67,1.44,-0.07,0.04,-0.03,STD
-1.08,-9.69,1.27,-0.1,0,-0.03,STD
-1.14,-9.6,1.56,-0.14,0.01,-0.04,STD
-1.14,-9.67,1.49,-0.08,0.02,-0.03,STD
-1.28,-9.69,1.44,-0.15,0,-0.01,STD
-1.15,-9.63,1.58,-0.1,-0.07,0.03,STD
-1.34,-9.68,1.52,-0.11,-0.01,-0.01,STD
-1.25,-9.74,1.58,-0.11,0.01,0.04,STD
-1.12,-9.73,1.53,-0.09,0.01,0.01,STD
-1.07,-9.69,1.52,-0.09,-0.04,0.01,STD
-1.19,-9.62,1.52,-0.08,-0.01,-0.02,STD
-1.06,-9.74,1.44,-0.07,-0.01,-0.01,STD
-1.13,-9.69,1.49,-0.11,-0.02,-0.03,STD
-1.08,-9.7,1.5,-0.1,-0.06,-0.03,STD
