acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-8.73,-5.75,1.74,-0.26,0.61,-0.69,WAL
-8.67,-5.53,2.28,0.11,0.8,-0.42,WAL
-8.12,-5.96,1.39,0.14,0.63,-0.04,WAL
-8.56,-6.51,0.96,-0.1,0.45,0.2,WAL
-7.63,-7.11,1.15,-0.36,-0.27,0.52,WAL
-7.78,-8.85,1.18,-0.29,0.13,0.61,WAL
-7.47,-9.15,0.94,-0.28,0.02,0.66,WAL
-7.07,-8.1,0.47,-0.42,0.06,0.84,WAL
-6.19,-8.31,0.82,-0.34,-0.46,0.94,WAL
-7.07,-7.99,0.04,-0.17,0.15,0.87,WAL
-6.44,-8.45,0.85,-0.39,-0.39,1.18,WAL
-5.37,-7.79,0.52,-0.27,0.09,1.14,WAL
-4.84,-7.18,1.02,-0.46,-0.29,1.1,WAL
-3.88,-6.89,0.87,-0.41,-0.4,0.79,WAL
-3.68,-6.98,1.09,-0.34,-0.37,0.36,WAL
-4.02,-7.34,0.99,-0.23,-0.24,-0.08,WAL
-4.63,-8.65,1.94,-0.07,-0.34,-0.58,WAL
-5.64,-9.82,1.76,0.28,0.09,-1.11,WAL
-5.75,-9.02,0.69,0.59,0.33,-1.53,WAL
-6.02,-6.91,0.7,0.57,0.8,-1.51,WAL
-6.71,-8.92,0.88,0.61,0.41,-1.55,WAL
-7.17,-7.99,0.39,0.46,0.76,-1.53,WAL
-7.51,-6.05,0.11,0.3,0.65,-1.34,WAL
-7.92,-6,1.32,0.04,0.35,-0.84,WAL
-8.29,-6.26,0.66,0.1,0.24,-0.62,WAL
-8.66,-5.87,1.1,-0.02,0.42,-0.23,WAL
-9.24,-7.64,1.05,-0.16,-0.23,0.17,WAL
-9.39,-9.11,1.86,-0.34,-0.23,0.57,WAL
-9.22,-8.66,1.43,-0.26,-0.12,0.84,WAL
-7.97,-7.43,1.12,-0.49,-0.37,1.48,WAL
-6.47,-8.99,1.39,-0.49,-0.61,1.76,WAL
-6.13,-8.77,1.35,-0.44,-0.55,1.58,WAL
-5.3,-8.09,1.16,-0.22,-0.36,1.48,WAL
-4.96,-7.87,0.77,-0.11,-0.15,1.31,WAL
-3.87,-7.74,0.55,-0.23,-0.19,1.1,WAL
-3.49,-7.31,1.1,-0.26,-0.31,0.69,WAL
-3.45,-8.28,1.33,-0.07,-0.27,0.11,WAL
-4.43,-8.24,1.33,-0.04,0.01,-0.45,WAL
-4.77,-10,2.45,0.08,-0.05,-0.83,WAL
-5.47,-7.81,1.31,0.16,0.34,-1.45,WAL
-5.36,-7.92,1.97,0.46,0.98,-1.51,WAL
-6.5,-8.57,1.46,0.42,0.58,-1.72,WAL
-6.26,-6.74,0.71,0.23,0.69,-1.69,WAL
-6.95,-6.63,1.27,0.01,0.24,-1.56,WAL
-8.07,-7.02,1.25,0.06,0.13,-1.4,WAL
-9.05,-6.24,1.13,-0.05,0.33,-1.1,WAL
-9.57,-6.75,1.81,-0.18,-0.05,-0.42,WAL
-9.75,-7.41,1.28,-0.13,-0.08,0.05,WAL
-9.99,-9.72,2.23,-0.09,0.11,0.65,WAL
-8.66,-7.46,1.1,-0.19,0.09,1.17,WAL
-7.79,-8.33,1.39,-0.29,-0.13,1.77,WAL
-6.78,-9.85,1.24,-0.43,-0.69,1.88,WAL
