acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-4.38,-9.15,0.36,-0.3,-0.33,0.43,WAL
-4.1,-8.96,-0.05,-0.36,-0.14,0.71,WAL
-3.4,-9.56,0.19,-0.02,-0.24,0.66,WAL
-3.18,-9.43,-0.43,-0.14,-0.07,0.47,WAL
-2.62,-9.22,0.05,-0.03,-0.07,0.54,WAL
-2.03,-9.19,-0.17,-0.03,-0.19,0.48,WAL
-1.74,-9.23,0.7,-0.08,0,0.2,WAL
-1.76,-9.18,0.67,0.35,0.29,-0.07,WAL
-2.09,-10.21,1.17,0.61,0.81,-0.38,WAL
-2.51,-10.35,-0.15,0.9,0.86,-0.75,WAL
-3.28,-9.2,0.58,0.3,0.79,-0.96,WAL
-3.81,-8.87,0.41,0.32,0.13,-0.9,WAL
-5.3,-10.12,0.38,0.3,-0.23,-0.96,WAL
-6.3,-8.36,0.55,-0.35,-0.08,-0.46,WAL
-6.47,-7.87,1.78,-0.22,0.13,-0.28,WAL
-6.54,-8,0.6,-0.12,0.25,-0.02,WAL
-6.58,-7.88,1.05,-0.51,0.12,0.25,WAL
-5.98,-8.05,0.75,-0.51,-0.57,0.81,WAL
-5.29,-8.18,0.7,-0.57,-0.3,0.95,WAL
-5.05,-9.08,0.72,-0.62,-0.07,1.12,WAL
-5.57,-12.38,0.35,0.02,-0.79,0.92,WAL
-4.83,-10.81,0.66,-0.77,-0.35,1.34,WAL
-4.06,-11,0.9,-0.08,-0.46,1.52,WAL
-2.07,-9.53,0.14,-0.38,0.09,1.4,WAL
-0.93,-8.41,0.55,-0.14,-0.29,1.11,WAL
-0.79,-8.16,0.83,-0.14,-0.68,0.51,WAL
-0.67,-8.04,0.3,0.19,-0.42,-0.06,WAL
-1.52,-8.67,0.26,0.24,0.25,-1.02,WAL
-2.57,-9.84,0.52,0.45,0,-1.36,WAL
-4.09,-10.47,0.1,0.24,-0.14,-1.89,WAL
-5.36,-13.47,2.58,0.94,0.34,-1.74,WAL
-6.1,-10.4,-1.76,0.29,1.48,-1.85,WAL
-7.08,-8.46,2.1,-0.48,0.92,-1.19,WAL
-6.6,-7.2,1.44,-0.1,0.32,-0.73,WAL
-7.29,-6.69,1.18,-0.07,0.68,-0.55,WAL
-7.17,-7.02,0.79,0.06,0.13,-0.1,WAL
-7.31,-7.47,0.61,-0.36,-0.17,0.39,WAL
-6.52,-8.23,1.2,-0.48,-0.59,0.91,WAL
-6.11,-9.44,0.54,-0.52,-0.5,1.13,WAL
-5.7,-9.7,0.51,-0.58,-0.46,1.37,WAL
-5.68,-13.22,1.67,-0.15,-0.68,1.39,WAL
-4.75,-11.07,0.62,-0.77,-0.73,1.87,WAL
-2.97,-11.47,1.31,0.02,-0.08,1.7,WAL
-1.55,-9.45,-0.38,-0.39,0.56,1.18,WAL
-1.47,-7.71,0.4,-0.46,-0.2,0.71,WAL
-0.92,-7.48,0.5,-0.35,-0.85,0.35,WAL
-1.41,-7.58,0.55,-0.11,-1,-0.3,WAL
-1.92,-8.18,0.38,0.15,-0.26,-0.84,WAL
-2.43,-9.83,0.66,0.36,0.26,-1.61,WAL
-4.92,-11.06,-0.31,-0.38,0.15,-2.24,WAL
-4.98,-14.5,2.87,1.04,-0.94,-1.74,WAL
-6.51,-10.19,-0.62,-0.92,1.27,-2.21,WAL
-6.88,-8.1,3.98,-0.7,0.87,-1.17,WAL
-5.17,-7.28,1.79,0.55,1.12,-0.64,WAL
-5.65,-7.46,0.35,0.6,1.89,-0.86,WAL
-6.1,-7.65,0.6,0.53,0.89,-0.36,WAL
-6.23,-8,-0.56,-0.05,0.01,-0.15,WAL
-6.7,-7.38,1.24,-0.58,-0.91,0.44,WAL
-6.53,-9.39,0.65,-0.36,-0.88,0.98,WAL
-6.23,-8.49,1.45,-1.07,-0.12,1.24,WAL
-7.86,-13.6,3.19,-0.09,-1.33,1.33,WAL
-6.23,-12.43,1.28,-0.42,-0.37,1.99,WAL
-4.47,-11.91,0.88,0.11,0.24,2.12,WAL
-2.22,-9.55,0.41,-0.41,0.43,2.03,WAL
-1.09,-8.02,0.77,-0.22,-0.27,1.76,WAL
0,-7.27,0.54,-0.14,-0.36,0.92,WAL
-1.73,-7.86,0.47,0.12,-0.82,0.17,WAL
-1.4,-8.21,-0.08,0.49,0.15,-0.29,WAL
-2.82,-9.45,0.14,0.31,0.35,-1.02,WAL
-2.87,-9.56,0.28,0.25,0.31,-1.36,WAL
-4.51,-13.92,2.6,0.84,-0.28,-1.79,WAL
-5.03,-10.38,-0.7,-0.28,0.69,-2.2,WAL
-6.74,-9.37,3.1,-0.47,0.27,-2.2,WAL
-7.05,-8.52,2.56,-0.25,-0.71,-1.32,WAL
-6.71,-7.59,2.07,-0.21,0.61,-1.51,WAL
-7.01,-6.77,1.99,-0.07,0.68,-0.95,WAL
-6.57,-6.85,1.31,0.14,0.09,-0.52,WAL
-6.5,-7.84,1.16,-0.24,-0.2,-0.16,WAL
-7.19,-8.76,1.31,-0.12,-0.43,0.26,WAL
-6.47,-9.48,0.8,-0.19,0.15,0.84,WAL
-7.38,-12.84,2.21,0.31,-0.18,1.15,WAL
-6.17,-10.75,0.97,-0.45,0.05,2.06,WAL
-5.12,-11.43,2,0.06,-0.09,2.12,WAL
-3.42,-10.67,0.15,-0.15,-0.19,2.27,WAL
-2.27,-8.35,0.79,-0.53,-0.05,1.65,WAL
-2.34,-8.1,0.78,-0.31,-0.41,1.3,WAL
-1.85,-7.86,0.47,-0.23,-0.45,0.79,WAL
-1.64,-7.79,0.61,-0.04,0.16,0.35,WAL
-2.04,-8.66,0.65,0.37,0.03,-0.44,WAL
-2.55,-8.6,0.26,-0.1,-0.08,-1.09,WAL
-3.43,-12.41,3.62,0.7,-0.43,-1.64,WAL
-4.73,-11.15,-0.63,0.28,0.19,-2.54,WAL
-6,-9.37,2.99,-0.8,0.44,-2.15,WAL
-6.04,-8.49,3.18,-0.37,-0.5,-1.62,WAL
-5.18,-8.09,2.02,0.04,0.36,-1.26,WAL
-6.02,-8.31,1.34,-0.05,0.56,-1.49,WAL
-6.2,-7.45,1.53,-0.18,-0.54,-0.5,WAL
-5.85,-7.55,1.92,-0.22,-0.63,-0.28,WAL
-6.67,-8.98,1.34,-0.06,-0.12,0.03,WAL
-5.65,-8.94,0.71,-0.23,0.53,0.58,WAL
-5.77,-11.57,2.12,0.05,0.27,0.7,WAL
-6.25,-11.82,0.59,-0.45,-0.44,1.06,WAL
-5.36,-11.14,1.81,-0.43,-0.29,1.59,WAL
-4.17,-10.66,0.72,-0.16,-0.01,1.88,WAL
-3.06,-9.29,0.68,-0.7,-0.17,1.92,WAL
-2.26,-8.11,1.39,-0.71,-0.68,1.89,WAL
-1.96,-8.25,1.29,-0.19,-0.58,1.38,WAL
-1.67,-8.3,0.74,-0.05,0.02,0.82,WAL
-1.92,-8.66,1,0.28,0.08,0.1,WAL
-2.27,-9.02,0.29,0.14,0.1,-0.53,WAL
-3,-9.63,2.15,0,-0.29,-1.07,WAL
-3.55,-12.14,0.62,1.12,-0.05,-1.92,WAL
-5.19,-9.46,0.51,-0.63,0.6,-2.08,WAL
-5.92,-9.09,2.76,-0.62,-0.43,-1.72,WAL
-5.45,-8.6,2.14,-0.21,-0.33,-0.87,WAL
-5.11,-8.43,1.45,-0.28,0.74,-1.27,WAL
-5.54,-7.55,1.43,-0.26,0.24,-1.01,WAL
-5.3,-7.27,1.6,-0.12,-0.66,-0.71,WAL
-5.63,-7.86,1.61,-0.42,-0.47,-0.48,WAL
-6.36,-8.62,1.92,0,-0.58,-0.28,WAL
-6.06,-8.97,0.54,-0.1,-0.02,0.34,WAL
-6.65,-12.15,2.89,0.12,-0.26,0.58,WAL
-6.43,-12.22,1.33,-0.04,-0.69,1.04,WAL
-4.87,-11.98,2.49,-0.02,0.28,1.94,WAL
-3.64,-10.44,0.85,0.28,0.48,2.04,WAL
-2.63,-8.6,0.41,-0.4,0.55,2.13,WAL
-1.87,-7.94,1.06,-0.19,-0.32,1.94,WAL
-1.31,-8,0.38,-0.17,-0.76,1.34,WAL
-1.26,-7.67,0.5,-0.06,-0.42,0.54,WAL
-1.86,-8.1,0.59,0.11,0.13,-0.35,WAL
-2.26,-9.09,0.8,0.14,0.16,-0.89,WAL
-2.83,-9.24,1.41,-0.07,0.31,-1.21,WAL
-3.45,-12.7,2.56,0.98,0.26,-2.1,WAL
-5.04,-10.26,0.26,-0.33,0.52,-2.18,WAL
-6.18,-9.96,3.03,-0.43,0,-1.93,WAL
-5.97,-8.75,2.43,-0.48,-0.29,-0.78,WAL
-4.66,-8.03,2.2,-0.25,0.48,-1.01,WAL
-6,-7.77,2.09,-0.15,0.16,-0.92,WAL
-5.86,-7.35,1.79,-0.07,-0.68,-0.55,WAL
-6.15,-7.56,1.87,-0.24,-0.14,-0.22,WAL
-6.13,-8.67,1.44,0.1,-0.02,0.21,WAL
-6.08,-9.84,0.8,-0.12,0.28,0.72,WAL
-6.42,-12.69,2.26,0.19,0.1,0.85,WAL
-5.63,-10.61,0.71,-0.58,0.26,1.43,WAL
-4.77,-10.98,2.13,-0.14,-0.49,1.72,WAL
-3.07,-9.83,0.09,-0.24,-0.1,1.83,WAL
-2.61,-8.29,1.28,-0.55,-0.18,1.56,WAL
-2.2,-8.46,1.17,-0.06,-0.45,1.4,WAL
-1.72,-8.33,0.63,-0.02,-0.42,1.08,WAL
-1.34,-8.61,0.98,0.31,0.24,0.39,WAL
-1.38,-9.25,0.07,0.39,0.44,-0.23,WAL
-1.91,-9.1,0.85,0.11,0.16,-0.81,WAL
-2.69,-10.19,1.87,0.29,0.05,-1.38,WAL
-4.22,-11.8,1.11,0.79,-0.02,-2.05,WAL
-5.09,-9.91,0.79,-0.41,0.68,-2.29,WAL
-6.69,-10.07,2.43,-0.29,-0.5,-1.97,WAL
-5.83,-8.69,1.66,-0.61,-0.54,-1.21,WAL
-5.83,-7.73,2.53,-0.69,0.34,-0.99,WAL
-5.85,-7.59,2.27,-0.12,0.16,-0.61,WAL
-5.68,-7.74,1.28,-0.14,0.08,-0.23,WAL
-5.79,-8.09,1.99,-0.4,-0.11,0.14,WAL
-4.63,-8.68,1.27,-0.32,0.07,0.61,WAL
