acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.54,-9.66,2.20,-0.10,0.53,-0.12,WAL
-0.42,-9.79,2.09,-0.04,0.47,-0.09,WAL
-0.42,-9.62,2.01,-0.11,0.45,-0.07,WAL
-0.60,-9.61,2.01,-0.13,0.43,-0.02,WAL
-0.52,-9.53,2.14,-0.10,0.39,0.07,WAL
-0.45,-9.21,2.16,-0.09,0.46,0.07,WAL
-0.43,-9.55,2.44,-0.02,0.65,0.09,WAL
-0.41,-9.90,2.66,0.06,0.74,0.12,WAL
-0.51,-10.07,2.67,-0.13,0.61,-0.15,WAL
-0.65,-8.98,2.54,-0.52,0.52,-0.21,WAL
-0.72,-8.90,2.65,-0.48,0.56,-0.33,WAL
-0.74,-9.13,2.34,-0.29,0.48,-0.45,WAL
-0.68,-9.10,2.29,-0.14,0.40,-0.58,WAL
-1.32,-9.26,2.60,0.21,0.37,-0.57,WAL
-0.83,-10.35,2.05,0.38,0.54,-0.65,WAL
-1.52,-10.82,1.95,0.01,0.50,-0.85,WAL
-1.27,-11.22,2.14,0.15,0.24,-0.58,WAL
-1.14,-10.61,1.64,0.03,-0.15,-0.37,WAL
-1.05,-9.05,1.44,-0.37,-0.48,0.12,WAL
-0.67,-8.78,1.54,-0.19,-0.87,0.42,WAL
-0.23,-9.45,1.11,0.11,-1.09,0.62,WAL
-0.51,-10.53,1.17,0.23,-1.48,0.68,WAL
-0.49,-10.85,1.25,0.40,-1.46,1.01,WAL
-0.52,-10.70,0.92,-0.06,-0.55,0.84,WAL
-1.17,-10.09,1.48,-0.42,-0.13,0.95,WAL
-0.96,-9.51,1.98,-0.28,-0.15,1.29,WAL
-0.87,-9.44,1.63,-0.12,-0.07,1.28,WAL
-0.57,-9.25,1.91,-0.45,0.02,1.09,WAL
-0.43,-9.50,2.17,-0.27,0.30,0.66,WAL
-0.41,-9.39,1.52,-0.23,0.19,0.28,WAL
-0.15,-10.12,2.15,-0.08,0.09,-0.06,WAL
-0.54,-9.73,1.42,0.09,0.03,-0.42,WAL
-0.67,-8.67,1.70,-0.15,-0.09,-0.43,WAL
-0.46,-8.92,2.12,-0.00,0.29,-0.54,WAL
-0.34,-10.02,2.17,0.11,0.63,-0.64,WAL
0.03,-10.63,1.84,0.01,0.87,-0.76,WAL
-0.17,-10.18,1.85,-0.54,0.43,-0.97,WAL
-0.34,-9.08,2.25,-0.43,0.14,-0.82,WAL
-0.30,-9.40,1.58,-0.50,0.26,-1.06,WAL
-0.57,-9.73,2.04,-0.16,0.85,-1.30,WAL
-0.87,-10.33,1.11,-0.24,0.61,-1.26,WAL
-0.79,-10.73,1.53,-0.26,0.43,-1.20,WAL
-0.96,-11.29,1.29,-0.05,0.58,-1.12,WAL
-0.70,-12.14,1.54,0.41,0.89,-0.73,WAL
-0.29,-10.22,0.89,-0.13,0.71,-0.36,WAL
-1.09,-8.82,1.39,-0.05,0.24,0.00,WAL
-0.78,-8.91,1.14,0.24,-0.04,0.72,WAL
0.19,-10.36,1.03,0.58,0.16,1.08,WAL
0.06,-10.67,0.83,-0.00,-0.27,1.23,WAL
-0.37,-10.38,1.04,-0.05,-1.09,1.37,WAL
-0.35,-10.41,1.04,0.19,-1.39,1.45,WAL
0.02,-10.20,0.79,-0.14,-1.06,1.51,WAL
-0.30,-10.05,1.52,-0.39,-0.38,1.22,WAL
-0.53,-9.63,1.47,-0.63,-0.46,1.15,WAL
0.02,-9.84,2.03,-0.49,-0.00,1.05,WAL
0.26,-9.85,1.38,-0.24,0.16,0.55,WAL
0.43,-10.06,1.81,-0.21,0.11,0.15,WAL
-0.34,-9.25,1.63,-0.13,-0.15,-0.24,WAL
-0.29,-8.68,1.84,-0.36,-0.21,-0.24,WAL
-0.13,-9.52,2.27,-0.17,0.26,-0.61,WAL
-0.09,-10.48,2.21,0.18,0.47,-0.76,WAL
-0.26,-10.32,1.59,0.08,0.36,-0.83,WAL
-0.45,-9.23,2.02,-0.36,0.29,-0.85,WAL
-0.40,-8.73,2.07,-0.29,0.35,-0.96,WAL
-0.88,-9.63,2.38,-0.24,1.50,-1.32,WAL
-1.01,-9.93,1.41,0.29,0.98,-1.05,WAL
-0.43,-10.72,1.77,0.25,-0.20,-0.89,WAL
-0.57,-11.29,1.96,0.43,0.18,-1.10,WAL
-0.70,-11.99,1.71,0.07,0.72,-0.98,WAL
-1.41,-10.68,1.32,-0.06,0.31,-0.70,WAL
-1.72,-8.69,1.21,-0.41,-0.32,-0.00,WAL
-1.25,-9.00,1.80,0.04,-0.62,0.48,WAL
-0.69,-10.73,1.12,0.68,-0.46,0.86,WAL
-0.41,-10.68,0.61,-0.06,-0.38,1.20,WAL
-0.20,-10.26,1.74,-0.15,-0.47,1.20,WAL
-0.04,-10.01,0.77,-0.18,-0.83,1.39,WAL
0.25,-9.71,1.07,-0.35,-0.50,1.19,WAL
-0.01,-9.72,0.94,-0.23,-0.24,0.91,WAL
-0.02,-9.36,0.96,-0.23,-0.32,0.88,WAL
0.23,-9.67,1.16,-0.18,-0.06,0.72,WAL
0.53,-10.38,1.20,-0.18,0.51,0.41,WAL
0.45,-10.65,1.86,-0.24,0.62,0.07,WAL
0.12,-9.42,1.70,-0.40,0.53,-0.15,WAL
-0.00,-9.05,2.18,-0.42,0.54,-0.53,WAL
-0.15,-9.33,2.50,-0.10,0.53,-0.57,WAL
0.17,-10.38,2.19,0.41,0.95,-0.64,WAL
0.74,-10.08,2.00,0.10,1.09,-0.77,WAL
0.23,-9.28,2.19,-0.09,0.97,-1.12,WAL
-0.21,-9.37,2.22,0.04,0.47,-1.36,WAL
-0.37,-10.30,2.23,0.59,0.37,-1.43,WAL
-0.83,-10.37,1.44,0.43,0.57,-1.53,WAL
-1.33,-10.95,2.22,0.41,0.73,-1.39,WAL
-1.50,-11.62,1.34,0.55,0.70,-1.09,WAL
-1.36,-12.06,1.21,0.21,0.47,-0.49,WAL
-1.66,-9.60,0.91,-0.50,-0.11,0.16,WAL
-0.69,-8.42,1.69,-0.57,-0.16,0.75,WAL
0.35,-10.09,1.94,0.07,-0.34,0.91,WAL
0.47,-10.76,0.57,0.46,-0.72,1.03,WAL
0.03,-10.22,1.13,-0.33,-1.43,1.28,WAL
0.62,-10.58,1.31,-0.12,-1.03,1.43,WAL
0.72,-10.47,0.96,-0.36,-0.38,1.22,WAL
1.18,-10.11,1.34,-0.65,-0.15,0.99,WAL
0.84,-8.90,2.21,-0.88,-0.69,0.75,WAL
1.20,-8.34,2.12,-0.41,-0.59,0.46,WAL
1.03,-8.89,1.99,-0.05,-0.59,0.08,WAL
1.03,-11.21,2.38,0.56,-0.23,0.01,WAL
0.97,-9.61,1.44,-0.15,0.04,-0.20,WAL
0.48,-9.39,1.20,0.22,0.60,-0.56,WAL
-0.05,-9.13,2.00,-0.50,0.34,-0.43,WAL
0.57,-9.99,2.43,-0.07,0.53,-0.35,WAL
0.81,-9.76,1.94,-0.17,0.26,-0.34,WAL
0.44,-9.23,2.63,-0.36,0.09,-0.54,WAL
0.10,-8.82,2.41,-0.10,-0.05,-0.65,WAL
0.14,-9.49,2.30,0.06,0.23,-0.71,WAL
0.48,-10.08,1.82,0.06,0.61,-0.88,WAL
-0.35,-10.56,2.67,-0.07,0.39,-1.10,WAL
-0.51,-11.38,2.35,0.12,0.13,-1.06,WAL
-0.72,-11.88,2.21,0.17,0.26,-0.95,WAL
-1.22,-10.28,1.58,-0.16,0.38,-0.51,WAL
-1.23,-8.71,1.68,-0.38,0.37,0.03,WAL
0.01,-9.66,2.09,-0.05,0.01,0.40,WAL
-0.24,-10.65,1.30,0.60,-1.06,0.74,WAL
0.36,-10.20,0.94,0.07,-1.07,1.27,WAL
0.17,-10.13,1.48,-0.12,-0.36,1.11,WAL
0.03,-9.74,1.02,-0.28,-0.38,1.21,WAL
0.41,-9.39,1.39,-0.40,-0.43,1.04,WAL
0.10,-9.59,1.78,-0.15,-0.47,0.87,WAL
0.13,-9.92,1.51,0.05,-0.32,0.73,WAL
0.15,-10.38,1.42,-0.04,-0.13,0.62,WAL
0.42,-11.36,1.73,0.06,0.16,0.39,WAL
0.26,-9.55,0.82,-0.51,0.23,0.34,WAL
-0.28,-7.84,1.97,-0.86,0.25,0.24,WAL
0.31,-9.09,2.15,-0.12,0.38,0.26,WAL
0.84,-10.18,1.71,0.03,0.30,0.18,WAL
0.35,-9.17,1.92,-0.46,-0.15,-0.18,WAL
0.00,-8.54,2.81,-0.33,-0.33,-0.35,WAL
-0.17,-8.98,2.39,-0.11,-0.14,-0.73,WAL
-0.35,-9.52,2.28,-0.16,0.02,-0.87,WAL
-0.41,-9.71,2.41,-0.12,0.16,-1.02,WAL
-0.67,-10.25,2.34,0.08,0.31,-1.23,WAL
-0.72,-11.23,1.89,0.23,0.44,-1.17,WAL
-0.65,-12.32,1.63,0.23,0.55,-1.08,WAL
-0.92,-10.49,1.53,-0.26,0.55,-0.80,WAL
-1.34,-9.62,1.63,-0.11,0.44,-0.64,WAL
-1.22,-9.95,1.48,0.23,0.05,-0.25,WAL
-1.17,-10.89,0.92,0.51,-0.64,0.13,WAL
