acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-3.09,-9.14,3.25,-0.4,-1.01,0.34,WAL
-2.6,-9.9,2.24,0.41,-0.84,0.6,WAL
-1.63,-8.63,1.33,0.12,0.25,0.36,WAL
-1.2,-6.85,1.82,-0.97,0.67,-0.26,WAL
-1.03,-6.21,2.16,-1.3,0.34,-0.72,WAL
-1.58,-7.43,2.26,-1.09,0.19,-1.19,WAL
-2.44,-9.53,2.11,-0.53,0.58,-1.64,WAL
-3.85,-12.91,2.43,0.14,0.86,-1.99,WAL
-3.93,-13.28,2.55,0.2,1.56,-1.89,WAL
-4,-11.26,2.92,-0.52,1.92,-2.1,WAL
-4.17,-10.81,2.97,-0.34,1.26,-1.5,WAL
-3.28,-10.6,2.78,0.06,1.42,-1.12,WAL
-3.51,-8.98,2.8,-0.23,0.92,-0.71,WAL
-2.45,-7.57,3.12,-0.27,0.87,-0.14,WAL
-2.5,-6.86,2.38,0.14,0.62,-0.14,WAL
-3.36,-6.93,2.66,-0.05,0.31,0,WAL
-4.72,-7.77,3.7,-0.19,-0.37,0.07,WAL
-5.97,-11.73,4.49,0.62,-1.97,0.71,WAL
-4.42,-12.28,2.82,0.87,-1.47,1.59,WAL
-2.53,-10.7,3.06,0.08,0.2,1.73,WAL
-2.79,-11.3,4.01,0.14,0.39,1.69,WAL
-2.52,-12.22,2.56,1.19,-0.13,2.07,WAL
-1.76,-11.73,2.26,0.9,-0.06,2.28,WAL
-1.08,-9.11,1.51,0.3,0.06,1.83,WAL
-1.03,-6.99,1.53,-0.43,-0.45,1.37,WAL
-1,-6.18,1.52,-0.7,-1.19,0.99,WAL
-0.78,-6.44,2.12,-0.67,-1.28,0.58,WAL
-1.23,-8.51,2.1,-0.13,-0.9,-0.21,WAL
-1.67,-10.88,2.16,0.04,-0.19,-0.95,WAL
-1.67,-9.63,3.73,-1.42,0.67,-1.55,WAL
-2.62,-11.88,4.07,-0.67,0.22,-1.89,WAL
-2.68,-13.24,5.22,-0.71,0.3,-1.66,WAL
-2.76,-11.2,4.01,-1.03,0.79,-2.03,WAL
-2.74,-8.57,3.77,-1.34,1.67,-1.94,WAL
